HCH_012_218_000257	一貫欲不予，中使輒搏顙幾流血，一貫惶遽繳入。
HCH_012_218_000258	時吏部尚書李戴、左都御史溫純期即日奉行，頒示天下，刑部尚書蕭大亨則謂弛獄須再請。
HCH_012_218_000259	無何，事變。
HCH_012_218_000260	太僕卿南企仲劾戴、大亨不即奉帝諭，起廢釋囚。
HCH_012_218_000261	帝怒，並二事寢不行。
HCH_012_218_000262	當帝欲追還成命，司禮太監田義力爭。
HCH_012_218_000263	帝怒，欲手刃之。
HCH_012_218_000264	義言愈力，而中使已持一貫所繳前諭至。
HCH_012_218_000265	後義見一貫唾曰：「相公稍持之，礦稅撤矣，何怯也！」
HCH_012_218_000266	自是大臣言官疏請者日相繼，皆不復聽。
HCH_012_218_000267	礦稅之害，遂終神宗世。
HCH_012_218_000268	帝自疾瘳以後，政益廢弛。
HCH_012_218_000269	稅監王朝、梁永、高淮等所至橫暴，奸人乘機虐民者愈眾。
HCH_012_218_000270	一貫與鯉、賡共著論以風，又嘗因事屢爭，且揭陳用人行政諸事。
HCH_012_218_000271	帝不省。
HCH_012_218_000272	顧遇一貫厚，嘗特賜敕獎之。
HCH_012_218_000273	一貫素忌鯉，鯉亦自以講筵受主眷，非由一貫進，不為下，二人漸不相能。
HCH_012_218_000274	禮部侍郎郭正域以文章氣節著，鯉甚重之。
HCH_012_218_000275	都御史溫純、吏部侍郎楊時喬皆以清嚴自持相標置，一貫不善也。
HCH_012_218_000276	會正域議奪呂本謚，一貫、賡與本同鄉，寢其議。
HCH_012_218_000277	由是益惡正域，並惡鯉及純、時喬等，而黨論漸興。
HCH_012_218_000278	浙人與公論忤，由一貫始。
HCH_012_218_000279	三十一年，楚府鎮國將軍華勣訐楚王華奎為假王。
HCH_012_218_000280	一貫納王重賄，令通政司格其疏月餘，先上華奎劾華勣欺罔四罪疏。
HCH_012_218_000281	正域，楚人，頗聞假王事有狀，請行勘虛實以定罪案。
HCH_012_218_000282	一貫持之。
HCH_012_218_000283	正域以楚王饋遺書上，帝不省。
HCH_012_218_000284	及撫按臣會勘並廷臣集議疏入，一貫力右王，嗾給事中錢夢臯、楊應文劾正域，勒歸聽勘，華勣等皆得罪。
HCH_012_218_000285	正域甫登舟，未行，而「妖書」事起。
HCH_012_218_000286	一貫方銜正域與鯉，其黨康丕揚、錢夢臯等遂捕僧達觀、醫生沈令譽等下獄，窮治之。
HCH_012_218_000287	一貫從中主其事，令錦衣帥王之禎與丕揚大索鯉私第三日，發卒圍正域舟，執掠其婢仆乳媼，皆無所得。
HCH_012_218_000288	乃以生光具獄。
HCH_012_218_000289	二事錯見正域及楚王傳中。
HCH_012_218_000290	始，都御史純劾御史於永清及給事中姚文蔚，語稍涉一貫。
HCH_012_218_000291	給事中鐘兆鬥為一貫論純，御史湯兆京復劾兆鬥而直純。
HCH_012_218_000292	純十七疏求去，一貫佯揭留純。
HCH_012_218_000293	至歲乙巳，大察京朝官。
HCH_012_218_000294	純與時喬主其事，夢臯、兆鬥皆在黜中。
