HCH_009_040_000376	進第一爵，登歌《王道昌明之曲》：明明我皇，道光化溥。
HCH_009_040_000377	百度惟新，禮修樂舉。
HCH_009_040_000378	藻飾太平，爛然可睹。
HCH_009_040_000379	超躋三王，暉映千古。
HCH_009_040_000380	設群官食，奏《和甯之曲》、《功成治定之舞》：穆穆我君，威折群醜。
HCH_009_040_000381	輝光日新，仁洽九有。
HCH_009_040_000382	容典葳蕤，超前絕後。
HCH_009_040_000383	端拱深嚴，寶冊膺受。
HCH_009_040_000384	第二爵，登歌奏《天子萬年之曲》：典禮修，惟明後。
HCH_009_040_000385	揚鴻名，燦瓊玖。
HCH_009_040_000386	羅華紳，為萬壽。
HCH_009_040_000387	歌南山，堅且久。
HCH_009_040_000388	行群官酒，奏《和甯之曲》、《四海會同之舞》：道隆政平，天開有德。
HCH_009_040_000389	萬國和甯，來王來極。
HCH_009_040_000390	昭受鴻名，俯徇列辟。
HCH_009_040_000391	錫飲行觴，歡心各得。
HCH_009_040_000392	第三爵，登歌奏《嘉禾之曲》：眾瑞畢至昭升平，爰生嘉禾乃合穗。
HCH_009_040_000393	膴膴大田無南東，稼茂如雲成豐歲。
HCH_009_040_000394	既刈既獲百室盈，擊壤歌沸野老聲。
HCH_009_040_000395	陶唐之民茲其比，帝力何有若自遂。
HCH_009_040_000396	大定十八年十二月，上受命寶，皇帝將升御座，宮縣奏《泰甯之曲》：上帝有赫，懷此明德。
HCH_009_040_000397	畀之神寶，庸鎮萬國。
HCH_009_040_000398	臨軒是膺，登降維則。
HCH_009_040_000399	群臣拜首，年卜萬億。
HCH_009_040_000400	寶入門，奏《天保報上之曲》：受命大寶，昭答眷佑。
HCH_009_040_000401	珍符明貺，人為天授。
HCH_009_040_000402	文物具舉，韶、濩迭奏。
HCH_009_040_000403	群臣上之，天子萬壽。
HCH_009_040_000404	群臣合班，奏《歸美揚功之曲》：德冒生民，明明元後。
HCH_009_040_000405	端冕臨軒，神寶是受。
HCH_009_040_000406	群工來賀，鹹拜稽首。
HCH_009_040_000407	無疆無期，享祚長久。
HCH_009_040_000408	皇太子升殿、並自侍立位降階，宮縣《稱觴介壽之曲》：上儀昭舉，膺時瑞玉。
HCH_009_040_000409	群辟在列，蹌蹌肅肅。
HCH_009_040_000410	袞衣桓圭，歸美稽首。
HCH_009_040_000411	升降惟時，天子萬壽。
HCH_009_040_000412	舉酒，登歌奏《萬壽無疆之曲》：上帝眷命，純休茲至。
HCH_009_040_000413	誕膺洪寶，光臨大器。
HCH_009_040_000414	稱觴對揚，嵩嶽萬歲。
HCH_009_040_000415	其甯惟永，無疆卜世。
