HCH_012_120_000305	十年預擇東宮侍班講讀官，命禮部尚書姜逢元，詹事姚明恭，少詹王鐸、屈可伸侍班；禮部侍郎方逢年，諭德項煜，修撰劉理順，編修吳偉業、楊廷麟、林曾志講讀；編修胡守恒、楊士聰校書。
HCH_012_120_000306	十一年二月，太子出閤。
HCH_012_120_000307	十五年正月開講，閣臣條上講儀。
HCH_012_120_000308	七月改慈慶宮為端本宮。
HCH_012_120_000309	慈慶，懿安皇后所居也。
HCH_012_120_000310	時太子年十四，議明歲選婚，故先為置宮，而移懿安后於仁壽殿。
HCH_012_120_000311	既而以寇警暫停。
HCH_012_120_000312	京師陷，賊獲太子，偽封宋王。
HCH_012_120_000313	及賊敗西走，太子不知所終。
HCH_012_120_000314	由崧時，有自北來稱太子者，驗之，以為駙馬都尉王昺孫王之明者偽為之，繋獄中，南京士民嘩然不平。
HCH_012_120_000315	袁繼咸及劉良佐、黃得功輩皆上疏爭。
HCH_012_120_000316	左良玉起兵亦以救太子為名。
HCH_012_120_000317	一時真偽莫能知也。
HCH_012_120_000318	由崧既奔太平，南京亂兵擁王之明立之。
HCH_012_120_000319	越五日，降於我大清。
HCH_012_120_000320	懷隱王慈烜，莊烈帝第二子。
HCH_012_120_000321	殤。
HCH_012_120_000322	定王慈炯，莊烈帝第三子。
HCH_012_120_000323	崇禎十四年六月諭禮臣：「朕第三子，年已十齡，敬遵祖制，宜加王號。但既受冊封，必具冕服，而《會典》開載，年十二或十五始行冠禮。十齡受封加冠，二禮可並行乎？」
HCH_012_120_000324	於是禮臣歷考經傳及本朝典故以奏。
HCH_012_120_000325	定於是歲冊封，越二年行冠禮。
HCH_012_120_000326	九月封為定王。
HCH_012_120_000327	十一月選新進士為檢討，國子助教等官為待詔，充王講讀官，以兩殿中書充侍書。
HCH_012_120_000328	十七年，京師陷，不知所終。
HCH_012_120_000329	永王慈炤，莊烈帝第四子。
HCH_012_120_000330	崇禎十五年三月封永王。
HCH_012_120_000331	賊陷京師，不知所終。
HCH_012_120_000332	悼靈王慈煥，莊烈帝第五子。
HCH_012_120_000333	生五歲而病，帝視之，忽云：「九蓮菩薩言，帝待外戚薄，將盡殤諸子。」
HCH_012_120_000334	遂薨。
HCH_012_120_000335	九蓮菩薩者，神宗母，孝定李太后也。
HCH_012_120_000336	太后好佛，宮中像作九蓮座，故云。
HCH_012_120_000337	帝念王靈異，封為孺孝悼靈王玄機慈應真君，命禮臣議孝和皇太后、莊妃、懿妃道號。
HCH_012_120_000338	禮科給事中李焻言：「諸後妃，祀奉先殿，不可崇邪教以亂徽稱。」
HCH_012_120_000339	不聽。
HCH_012_120_000340	十六年十二月，改封宣顯慈應悼靈王，去「真君」號。
HCH_012_120_000341	悼懷王，莊烈帝第六子，生二歲殤。
HCH_012_120_000342	第七子，生三歲殤。
HCH_012_120_000343	名俱無考。
HCH_012_120_000344	贊曰：有明諸藩，分封而不錫土，列爵而不臨民，食祿而不治事。
HCH_012_120_000345	蓋矯枉鑒覆，所以杜漢、晉末大之禍，意固善矣。
HCH_012_120_000346	然徒擁虛名，坐縻厚祿，賢才不克自見，知勇無所設施。
HCH_012_120_000347	防閑過峻，法制日增。
HCH_012_120_000348	出城省墓，請而後許，二王不得相見。
HCH_012_120_000349	藩禁嚴密，一至於此。
HCH_012_120_000350	當太祖時，宗藩備邊，軍戎受制，贊儀疏屬，且令遍歷各國，使通親親。
HCH_012_120_000351	然則法網之繁，起自中葉，豈太祖眾建屏藩初計哉！
