HCH_012_148_000314	宣德元年，漢王高煦反。
HCH_012_148_000315	帝召榮等定計。
HCH_012_148_000316	榮首請帝親征，曰：「彼謂陛下新立，必不自行。今出不意，以天威臨之，事無不濟。」
HCH_012_148_000317	帝從其計。
HCH_012_148_000318	至樂安，高煦出降。
HCH_012_148_000319	師還，以決策功，受上賞，賜銀章五，褒予甚至。
HCH_012_148_000320	三年從帝巡邊，至遵化。
HCH_012_148_000321	聞兀良哈將寇邊，帝留扈行諸文臣於大營，獨命榮從。
HCH_012_148_000322	自將輕騎出喜峰口，破敵而還。
HCH_012_148_000323	五年進少傅，辭大學士祿。
HCH_012_148_000324	九年復從巡邊，至洗馬林而還。
HCH_012_148_000325	英宗即位，委寄如故。
HCH_012_148_000326	正統三年，與士奇俱進少師。
HCH_012_148_000327	五年乞歸展墓，命中官護行。
HCH_012_148_000328	還至武林驛而卒，年七十。
HCH_012_148_000329	贈太師，諡文敏，授世襲都指揮使。
HCH_012_148_000330	榮歷事四朝，謀而能斷。
HCH_012_148_000331	永樂末，浙、閩山賊起，議發兵。
HCH_012_148_000332	帝時在塞外，奏至，以示榮。
HCH_012_148_000333	榮曰：「愚民苦有司，不得已相聚自保。兵出，將益聚不可解。遣使招撫，當不煩兵。」
HCH_012_148_000334	從之，盜果息。
HCH_012_148_000335	安南之棄，諸大臣多謂不可，獨榮與士奇力言不宜以荒服疲中國。
HCH_012_148_000336	其老成持重類如此。
HCH_012_148_000337	論事激發，不能容人過。
HCH_012_148_000338	然遇人觸帝怒致不測，往往以微言導帝意，輒得解。
HCH_012_148_000339	夏原吉、李時勉之不死，都御史劉觀之免戍邊，皆賴其力。
HCH_012_148_000340	嘗語人曰：「事君有體，進諫有方，以悻直取禍，吾不為也。」
HCH_012_148_000341	故其恩遇亦始終無間。
HCH_012_148_000342	重修《太祖實錄》及太宗、仁、宣三朝《實錄》，皆為總裁官。
HCH_012_148_000343	先後賜賚，不可勝計。
HCH_012_148_000344	性喜賓客，雖貴盛無稍崖岸，士多歸心焉。
HCH_012_148_000345	或謂榮處國家大事，不愧唐姚崇，而不拘小節，亦頗類之。
HCH_012_148_000346	家富，曾孫曄為建寧指揮，以貲敗。
HCH_012_148_000347	詳《宦官傳》。
HCH_012_148_000348	曄從弟旦，字晉叔，弘治中進士。
HCH_012_148_000349	歷官太常卿。
HCH_012_148_000350	以忤劉瑾，左遷知溫州府，治最，稍遷浙江提學副使。
HCH_012_148_000351	瑾誅，累擢至戶部侍郎，督京、通倉，出理餉甘肅。
