HCH_012_094_000211	嘉靖元年，給事中劉濟等以囚廖鵬父子及王欽、陶傑等頗有內援，懼上意不決，乃言：「往歲三覆奏畢，待駕帖則已日午，鼓下仍受訴詞，得報且及未申時，及再請始刑，時已過酉，大非刑人於市與眾棄之之意。請自今決囚，在未前畢事。」
HCH_012_094_000212	從之。
HCH_012_094_000213	七年定議，重囚有冤，家屬於臨決前一日撾鼓，翼日午前下，過午行刑，不覆奏。
HCH_012_094_000214	南京決囚，無刑科覆奏例。
HCH_012_094_000215	弘治十八年，南刑部奏決不待時者三人，大理寺已審允，下法司議，謂：「在京重囚，間有決不待時者，審允奏請，至刑科三覆奏，或蒙恩仍監候會審。南京無覆奏例，乞俟秋後審竟，類奏定奪。如有巨憝難依常例者，更具奏處決，著為令。」
HCH_012_094_000216	詔可。
HCH_012_094_000217	各省決囚，永樂元年，定制，死囚百人以上者，差御史審決。
HCH_012_094_000218	弘治十三年，定歲差審決重囚官，俱以霜降後至，限期復命。
HCH_012_094_000219	凡有大慶及災荒皆赦，然有常赦，有不赦，有特赦。
HCH_012_094_000220	十惡及故犯者不赦。
HCH_012_094_000221	律文曰：「赦出臨時定罪名，特免或降減從輕者，不在此限。」
HCH_012_094_000222	十惡中，不睦又在會赦原宥之例，此則不赦者亦得原。
HCH_012_094_000223	若傳旨肆赦，不別定罪名者，則仍依常赦不原之律。
HCH_012_094_000224	自仁宗立赦條三十五，皆楊士奇代草，盡除永樂年間敝政，歷代因之。
HCH_012_094_000225	凡先朝不便於民者，皆援遺詔或登極詔革除之。
HCH_012_094_000226	凡以赦前事告言人罪者，即坐以所告者罪。
HCH_012_094_000227	弘治元年，民呂梁山等四人坐竊盜殺人死，遇赦，都御史馬文升請宥死戍邊，帝特命依律斬之。
HCH_012_094_000228	世宗雖屢停刑，尤慎無赦。
HCH_012_094_000229	廷臣屢援赦令，欲宥大禮大獄暨建言諸臣，益持不允。
HCH_012_094_000230	及嘉靖十六年，同知薑輅酷殺平民，都御史王廷相奏當發口外，乃特命如詔書宥免，而以違詔責廷相等。
HCH_012_094_000231	四十一年，三殿成，羣臣請頒赦。
HCH_012_094_000232	帝曰：「赦乃小人之幸。」
HCH_012_094_000233	不允。
HCH_012_094_000234	穆宗登極覃恩，雖徒流人犯已至配所者，皆許放還，蓋為遷謫諸臣地也。
HCH_012_094_000235	有明一代刑法大概。
HCH_012_094_000236	太祖開國之初，懲元季貪冒，重繩贓吏，揭諸司犯法者於申明亭以示戒。
HCH_012_094_000237	又命刑部，凡官吏有犯，宥罪復職，書過榜其門，使自省。
HCH_012_094_000238	不悛，論如律。
HCH_012_094_000239	累頒犯諭、戒諭、榜諭，悉象以刑，誥示天下。
HCH_012_094_000240	及十八年《大誥》成，序之曰：「諸司敢不急公而務私者，必窮搜其原而罪之。」
HCH_012_094_000241	凡三《誥》所列淩遲、梟示、種誅者，無慮千百，棄市以下萬數。
HCH_012_094_000242	貴溪儒士夏伯啟叔侄斷指不仕，蘇州人才姚潤、王謨被徵不至，皆誅而籍其家。
HCH_012_094_000243	「寰中士夫不為君用。」
HCH_012_094_000244	之科所由設也。
HCH_012_094_000245	其《三編》稍寬容，然所記進士監生罪名，自一犯至四犯者猶三百六十四人。
HCH_012_094_000246	幸不死還職，率戴斬罪治事。
