HCH_012_164_000177	宣德八年，命吏部擇外官有文學者六十八人試之，得友諒及進士胡端禎等七人，悉令辦事六科。
HCH_012_164_000178	居二年，皆授給事中，惟友諒未授官而卒。
HCH_012_164_000179	範濟，元進士。
HCH_012_164_000180	洪武中，以文學舉為廣信知府，坐累謫戍興州。
HCH_012_164_000181	宣宗即位，濟年八十餘矣，詣闕言八事：其一曰楮幣之法，昉於漢、唐。
HCH_012_164_000182	元造元統交鈔，後又造中統鈔。
HCH_012_164_000183	久而物重鈔輕，公私俱敝，乃造至元鈔與中統鈔兼行。
HCH_012_164_000184	子母相權，新陳通用。
HCH_012_164_000185	又令民間以昏鈔赴平準庫，中統鈔五貫得換至元鈔一貫。
HCH_012_164_000186	又其法日造萬錠，共計官吏俸稍、內府供用若干，天下正稅雜課若干，斂發有方，周流不滯，以故久而通行。
HCH_012_164_000187	太祖皇帝造大明寶鈔。
HCH_012_164_000188	以鈔一貫當白金一兩，民歡趨之。
HCH_012_164_000189	迄今五十餘年，其法稍弊，亦由物重鈔輕所致。
HCH_012_164_000190	願陛下因時變通，重造寶鈔，一準洪武初制，使新舊兼行。
HCH_012_164_000191	取元時所造之數而增損之，審國家度支之數而權衡之。
HCH_012_164_000192	俾鈔少而物多，鈔重而物輕。
HCH_012_164_000193	嚴偽造之條，開倒換之法，推陳出新，無耗無阻，則鈔法流通，永永無弊。
HCH_012_164_000194	其二曰備邊之道，守險為要。
HCH_012_164_000195	若朔州、大同、開平、宣府、大寧，乃京師之藩垣，邊僥之門戶。
HCH_012_164_000196	士可耕，城可守。
HCH_012_164_000197	宜盛兵防禦，廣開屯田，修治城堡，謹烽火，明斥堠。
HCH_012_164_000198	毋貪小利，毋輕遠求，堅壁清野，使無所得。
HCH_012_164_000199	俟其憊而擊之，得利則止，毋窮追深入。
HCH_012_164_000200	此守邊大要也。
HCH_012_164_000201	其三曰兵不在多，在於堪戰。
HCH_012_164_000202	比者多發為事官吏人民充軍塞上，非白面書生，則老弱病廢。
HCH_012_164_000203	遇有征行，有力者得免，貧弱者備數。
HCH_012_164_000204	器械不完，糗糧不具。
HCH_012_164_000205	望風股栗，安能效死？
HCH_012_164_000206	今宜選其壯勇，勤加訓練，余但令乘城擊柝，趨走牙門，庶幾各得其用。
HCH_012_164_000207	其四曰民病莫甚於勾軍。
HCH_012_164_000208	衛所差官至六七員，百戶差軍旗亦二三人，皆有力交結及畏避征調之徒，重賄得遣。
HCH_012_164_000209	既至州縣，擅作威福，迫脅裏甲，恣為奸私。
HCH_012_164_000210	無丁之家，誅求不已；有丁之戶，詐稱死亡。
HCH_012_164_000211	托故留滯，久而不還。
HCH_012_164_000212	及還，則以所得財物，遍賄官吏，朦朧具覆。
HCH_012_164_000213	究其所取之丁，十不得一，欲軍無缺伍難矣。
HCH_012_164_000214	自今軍士有故，令各衛報都督府及兵部，府、部諜布政、按察司。
HCH_012_164_000215	令府州縣準籍貫姓名，勾取送衛，則差人騷擾之弊自絕。
HCH_012_164_000216	其五曰洪武中令軍士七分屯田，三分守城，最為善策。
HCH_012_164_000217	比者調度日繁，興造日廣，虛有屯種之名，田多荒蕪。
HCH_012_164_000218	兼養馬、采草、伐薪、燒炭，雜役旁午，兵力焉得不疲、農業焉得不廢？
HCH_012_164_000219	願敕邊將課卒墾荒，限以頃畝，官給牛種，稽其勤惰，明賞罰以示勸懲。
HCH_012_164_000220	則塞下田可盡墾，轉餉益紓，諸邊富實，計無便於此者。
HCH_012_164_000221	其六曰，學校者，風化之源，人材所自出，貴明體適用，非徒較文藝而已也。
HCH_012_164_000222	洪武中妙選師儒，教養甚備，人材彬彬可觀。
HCH_012_164_000223	邇來士習委靡，立志不弘，執節不固。
HCH_012_164_000224	平居無剛方正大之氣，安望其立朝為名公卿哉！
HCH_012_164_000225	宜選良士為郡縣學官，擇民間子弟性行端謹者為生徒，訓以經史，勉以節行。
HCH_012_164_000226	俟其有成，貢於國學。
HCH_012_164_000227	磨礱砥礪，使其氣充誌定，卓然成材，然後舉而用之，以任天下國家事無難矣。
HCH_012_164_000228	其七曰兵者凶器，聖人不得已而用之。
HCH_012_164_000229	漢高祖解平城之圍，未聞蕭、曹勸以復仇；唐太宗禦突厥於便橋，未聞房、杜勸以報怨。
HCH_012_164_000230	古英君良相不欲疲民力以誇武功，計慮遠矣。
HCH_012_164_000231	洪武初年嘗赫然命將，欲清沙漠。
HCH_012_164_000232	既以饋運不繼，旋即頒師。
HCH_012_164_000233	遂撤東勝衛於大同，塞山西陽武谷口，選將練兵，扼險以待。
HCH_012_164_000234	內修政教，外嚴邊備，廣屯田，興學校，罪貪吏，徙頑民。
HCH_012_164_000235	不數年間，朵兒只巴獻女，伯顏帖木兒、乃兒不花等相繼擒獲，納哈出亦降。
HCH_012_164_000236	此專務內治，不勤遠略之明效也。
HCH_012_164_000237	伏望遠鑒漢、唐，近法太祖，毋以窮兵黷武為快，毋以犁庭掃穴為功。
HCH_012_164_000238	棄捐不毛之地，休養冠帶之民，俾竭力於田桑，盡心於庠序。
HCH_012_164_000239	邊塞絕傷痍之苦，閭里絕呻吟之聲。
HCH_012_164_000240	將無幸功，士無夭閼，遠人自服，荒外自歸。
HCH_012_164_000241	國祚靈長於萬年矣。
HCH_012_164_000242	其八曰官不在眾，在乎得人。
HCH_012_164_000243	國家承大亂後，因時損益，以府為州，以州為縣。
HCH_012_164_000244	繼又裁並小縣之糧不及俸者，量民數以設官。
HCH_012_164_000245	民多者縣設丞薄，少者知縣、典史而已。
HCH_012_164_000246	其時官無廢事，民不愁勞。
HCH_012_164_000247	今藩、臬二司及府、州、縣官，視洪武中再倍，政愈不理，民愈不寧，奸弊叢生，詐偽滋起。
HCH_012_164_000248	甚有官不能聽斷，吏不諳文移，乃容留書寫之人，在官影射，賄賂公行，獄訟淹滯，皆官冗吏濫所致也。
HCH_012_164_000249	望斷自宸衷，凡內外官吏，並依洪武中員額，冗濫者悉汰，則天工無曠，庶績咸熙，而天下大治矣。
HCH_012_164_000250	奏上，命廷臣議之。
HCH_012_164_000251	尚書呂震以為文辭冗長，且事多已行，不足采。
HCH_012_164_000252	帝曰：「所言甚有學識，多契朕心，當察其素履以聞。」
HCH_012_164_000253	震乃言：「濟故元進士，曾守郡，坐事戍邊。」
HCH_012_164_000254	帝曰：「惜哉斯人！令久淹行伍，今猶足用。」
HCH_012_164_000255	震曰：「年老矣。」
HCH_012_164_000256	帝曰：「國家用人，正須老成，但不宜任以繁劇。」
HCH_012_164_000257	乃以濟為儒學訓導。
HCH_012_164_000258	聊讓，蘭州人。
HCH_012_164_000259	肅府儀衛司余丁也。
HCH_012_164_000260	好學有誌尚，明習時務。
HCH_012_164_000261	景帝嗣位，懲王振蒙蔽，大辟言路，吏民皆得上書言事。
HCH_012_164_000262	景泰元年六月，讓詣闕陳數事，其略曰：邇歲土木繁興，異端盛起，番僧絡驛，汙吏縱橫，相臣不正其非，御史不劾其罪，上下蒙蔽，民生雕瘵。
HCH_012_164_000263	狡寇犯邊，上皇播越。
HCH_012_164_000264	陛下枕戈嘗膽之秋，可不拔賢舉能，一新政治乎？
HCH_012_164_000265	昔宗、嶽為將，敵國不敢呼名；韓、範鎮邊，西賊聞之破膽。
HCH_012_164_000266	司馬光居相位，強鄰戒勿犯邊。
HCH_012_164_000267	今文武大臣之有威名德望者，宜使典樞要，且延訪智術才能之士，布滿朝廷，則也先必畏服，而上皇可指日還矣。
HCH_012_164_000268	大臣，陽也；宦寺，陰也。
HCH_012_164_000269	君子，陽也；小人，陰也。
HCH_012_164_000270	近日食地震，陰盛陽微，謫見天地。
HCH_012_164_000271	望陛下總攬乾綱，抑宦寺使不得預政，遏小人俾不得居位，則陰陽順而天變弭矣。
HCH_012_164_000272	天下治亂，在君心邪正。
HCH_012_164_000273	田獵是娛，宮室是侈，宦寺是狎，三者有一，足蠱君心。
HCH_012_164_000274	願陛下涵養克治，多接賢士大夫，少親宦官宮妾，自能革奢靡，戒遊佚，而心無不正矣。
HCH_012_164_000275	堯立謗木，恐人不言，所以聖；秦除謚法，恐人議己，所以亡。
HCH_012_164_000276	陛下廣從諫之量，旌直言之臣，則國家利弊，閭閻休戚，臣下無所顧忌，而言無不盡矣。
HCH_012_164_000277	蘇子曰：「平居無犯顏敢諫之臣，則臨難必無仗節死義之士。」
HCH_012_164_000278	願陛下恒念是言而審察之。
HCH_012_164_000279	書奏，帝頗嘉納之。
HCH_012_164_000280	後四年，讓登進士。
HCH_012_164_000281	官知縣卒。
HCH_012_164_000282	景泰二年，監生郭佑亦上書言兵事，略曰：逆寇犯順，上皇蒙塵，此千古非常之變，百世必報之仇也。
HCH_012_164_000283	今使臣之來，動以數千，務驕蹇責望於我，而我乃隱忍姑息，致賊勢日張，我氣日索，求和與和，求戰與戰，是和戰之權，不在我而在賊也。
HCH_012_164_000284	願陛下結人心，親賢良，以固國本，廣儲蓄，練將士，以壯國氣。
HCH_012_164_000285	正分定名，裁之以義。
HCH_012_164_000286	如桀驁侵軼，則提兵問罪。
HCH_012_164_000287	使大漠之南，不敢有匹馬闌入，乃可保百年無虞。
HCH_012_164_000288	不然西北力罷，東南財竭，不能一日安枕矣。
HCH_012_164_000289	昨以國用耗乏，謀國大臣欲紓一時之急，令民納粟者賜冠帶。
HCH_012_164_000290	今軍旅稍寧，行之如故。
HCH_012_164_000291	農工商販之徒，不較賢愚，惟財是授。
HCH_012_164_000292	驕親戚，誇鄉里，長非分之邪心。
HCH_012_164_000293	贓汙吏罷退為民，欲掩閭黨之恥，納粟納草，冠帶而歸。
HCH_012_164_000294	前以冒貨去職，今以輸貨得官，何以禁貪殘、重名爵？
HCH_012_164_000295	況天下統一，藏富在民，未至大不得已，而舉措如此，是以空乏啟寇心也。
HCH_012_164_000296	章下廷議，格不行。
HCH_012_164_000297	又有胡仲倫者，雲南鹽課提舉司吏目也。
HCH_012_164_000298	緣事入都，會上皇北狩，也先欲妻以妹，上皇因遣廣寧伯劉安入言於帝。
HCH_012_164_000299	仲倫上疏爭之，言：「今日事不可屈者有七。降萬乘之尊，與諧婚媾，一也。敵假和議，使我無備，二也。必欲為姻，驕尊自大，三也。索金帛，使我坐困，四也。以送駕為名，乘機入犯，五也。逼上皇手詔，誘取邊城，六也。欲求山後之地，七也。稍從其一，大事去矣。曩上皇在位，王振專權。忠諫者死，鯁直者戍；君子見斥，小人驟遷。章奏多決中旨，黑白混淆，邪正倒置。閩、浙之寇方殷，瓦剌之釁大作。陛下宜親賢遠奸，信賞必罰，通上情，達下誌。賣國之奸無所投隙，倉卒之變末由發機，朝廷自此尊，天下自此安矣。」
HCH_012_164_000300	帝嘉納焉。
HCH_012_164_000301	又有華敏者，南京錦衣軍余也。
HCH_012_164_000302	意氣慷慨，讀書通大義，憤王振亂國，與儕輩言輒裂眥怒詈。
HCH_012_164_000303	景泰三年九月上書曰：近年以來，內官袁琦、唐受、喜寧、王振專權害政，致國事傾危。
HCH_012_164_000304	望陛下防微杜漸，總攬權綱，為子孫萬世法。
HCH_012_164_000305	不然恐禍稔蕭墻，曹節、侯覽之害，復見於今日。
HCH_012_164_000306	臣雖賤陋，不勝痛哭流涕。
HCH_012_164_000307	謹以虐軍害民十事，為陛下痛切言之。
HCH_012_164_000308	內官家積金銀珠玉，累室兼籯，從何而至？
HCH_012_164_000309	非內盜府藏，則外朘民膏。
HCH_012_164_000310	害一也。
HCH_012_164_000311	怙勢矜寵，占公侯邸舍，興作工役，勞擾軍民。
HCH_012_164_000312	害二也。
HCH_012_164_000313	家人外親，皆市井無籍之子，縱橫豪悍，任意作奸，納粟補官，貴賤淆雜。
HCH_012_164_000314	害三也。
HCH_012_164_000315	建造佛寺，耗費不貲，營一己之私，破萬家之產。
HCH_012_164_000316	害四也。
HCH_012_164_000317	廣置田莊，不入賦稅，寄戶郡縣，不受征徭，阡陌連亙，而民無立錐。
HCH_012_164_000318	害五也。
HCH_012_164_000319	家人中鹽，虛占引數，轉而售人，倍支鉅萬，壞國家法，豪奪商利。
HCH_012_164_000320	害六也。
HCH_012_164_000321	奏求塌房，邀接商旅，倚勢賒買，恃強不償，行賈坐敝，莫敢誰何。
HCH_012_164_000322	害七也。
HCH_012_164_000323	賣放軍匠，名為伴當，俾辦月錢，致內府監局營作乏人，工役煩重，並力不足。
HCH_012_164_000324	害八也。
HCH_012_164_000325	家人貿置物料，所司畏懼，以一科十，虧官損民。
HCH_012_164_000326	害九也。
HCH_012_164_000327	監作所至，非法酷刑，軍匠塗炭，不勝怨酷。
HCH_012_164_000328	害十也。
HCH_012_164_000329	章下禮部，寢不行。
HCH_012_164_000330	又有賈斌者，商河人，山西都司令史也。
HCH_012_164_000331	亦疏言宦官之害，引漢桓帝、唐文宗、宋徽欽為戒。
HCH_012_164_000332	且獻所輯《忠義集》四卷，采史傳所記直諫盡忠守節之士，而宦官恃寵蠹政，可為鑒戒者附焉，乞命工刊布。
HCH_012_164_000333	禮部以其言當，乞垂鑒納，不必刊行。
HCH_012_164_000334	帝報聞。
HCH_012_164_000335	左鼎，字周器，永新人。
HCH_012_164_000336	正統七年進士。
HCH_012_164_000337	明年，都御史王文以御史多闕，請會吏部於進士選補。
HCH_012_164_000338	帝從之。
HCH_012_164_000339	尚書王直考鼎及白圭等十餘人，曉諳刑名，皆授御史。
HCH_012_164_000340	而鼎得南京。
HCH_012_164_000341	尋改北，巡按山西。
HCH_012_164_000342	時英宗北狩，兵荒洊臻。
HCH_012_164_000343	請蠲太原諸府稅糧，停大同轉餉夫，以蘇其困。
HCH_012_164_000344	也先請和，抗言不可。
HCH_012_164_000345	尋以山東、河南饑，遣鼎巡視，民賴以安。
HCH_012_164_000346	律，官吏故勘平人致死者抵罪，時以給事中於泰言，悉得寬貰。
HCH_012_164_000347	鼎言：「小民無知，情貸可也。官吏深文巧詆，與故殺何異？法者，天下之公，不可意為輕重。」
HCH_012_164_000348	自是論如律。
HCH_012_164_000349	瓦剌變作，將士無用，由軍政不立。
