HCH_009_008_000229	甲午，以臨潢尹僕散守中等為賀宋正旦使。
HCH_009_008_000230	丙申，夏國遣使問起居。
HCH_009_008_000231	戊戌，以曹王永功為御史大夫。
HCH_009_008_000232	壬寅，以禮部員外郎移剌履為高麗生日使。
HCH_009_008_000233	十二月戊午，以皇孫金源郡王麻達葛判大興尹，進封原王。
HCH_009_008_000234	甲子，太白晝見，經天。
HCH_009_008_000235	丙寅，左相完顏守道、左丞張汝弼、右丞粘割斡特剌、參知政事張汝霖坐擅增東宮諸皇孫食料，各削官一階。
HCH_009_008_000236	甲戌，制增留守、統軍、總管、招討、都轉運、府尹、轉運、節度使月俸。
HCH_009_008_000237	上謂宰臣曰：「太尉守道論事止務從寬，犯罪罷職者多欲複用。若懲其首惡，後來知畏，罪而複用，何以示戒。」
HCH_009_008_000238	是日，命範銅為「禮信之寶」，凡賜外方禮物，給信袋則用之。
HCH_009_008_000239	丙子，上問宰臣曰：「原王大興行事如何？」
HCH_009_008_000240	右丞斡特剌對曰：「聞都人皆稱之。」
HCH_009_008_000241	上曰：「朕令察於民間，鹹言見事甚明，予奪皆不失當，曹、豳二王弗能及也。又聞有女直人訴事，以女直語問之，漢人訴事，漢語問之。大習不失本朝語為善，不習，則淳風將棄。」
HCH_009_008_000242	汝弼對曰：「不忘本者，聖人之道也。」
HCH_009_008_000243	斡特剌曰：「以西夏小邦，崇尚舊俗，獨能保國數百年。」
HCH_009_008_000244	上曰：「事當任實，一事為偽則喪百真，故凡事莫如真實也。」
HCH_009_008_000245	二十六年正月庚辰朔，宋、高麗、夏遣使來賀。
HCH_009_008_000246	甲辰，如長春宮春水。
HCH_009_008_000247	二月癸酉，還都。
HCH_009_008_000248	乙亥，詔曰：「每季求仕人，問以疑難，令剖決之。其才識可取者，仍訪察政跡，如其言行相副，即加升用。」
HCH_009_008_000249	三月乙卯朔，萬春節，宋、高麗、夏遣使來賀。
HCH_009_008_000250	丁亥，以大理卿闕，上問誰可？
HCH_009_008_000251	右丞粘割斡特剌言，前使部尚書唐括貢可，乃授以是職。
HCH_009_008_000252	己丑，尚書省擬奏除授，上曰：「卿等在省未嘗薦士，止限資級，安能得人？古有布衣人相者，聞宋亦多用山東、河南流寓疏遠之人，皆不拘於貴近也。以本朝境土之大，豈無其人，朕難遍知，卿又不舉。自古豈有終身為相者，外官三品以上，必有可用之人，但無故得進耳。」
HCH_009_008_000253	左丞張汝弼曰：「下位雖有才能，必試之乃見。」
HCH_009_008_000254	參政程輝曰：「外官雖有聲，一旦入朝，卻不稱任，亦在沙汰而已。」
HCH_009_008_000255	癸巳，香山寺成，幸其寺，賜名大永安，給田二千畝，栗七千株，錢二萬貫。
HCH_009_008_000256	丁酉，以親軍完顏乞奴言，制猛安謀克皆先讀女直字經史然後承襲。
HCH_009_008_000257	因曰：「但令稍通古今，則不肯為非。爾一親軍粗人，乃能言此，審其有益，何憚而不從。」
HCH_009_008_000258	四月壬子，尚書省奏定院務監官虧陪兌納法及橫班格。
HCH_009_008_000259	因曰：「朕常日禦膳亦從減省，嘗有一公主至，至無餘膳可與，當直官皆目睹之。若欲豐腆，雖日用五十羊亦不難矣！然皆民之脂膏，不忍為也。監臨官惟知利己，不知其利自何而來？朕嘗曆外任，稔知民間之事，想前代之君，雖享富貴，不知稼穡艱難者甚多，其失天下，皆由此也！遼主聞民間乏食，謂何不食幹臘，蓋幼失師保之訓，及其即位，故不知民間疾苦也。隨煬帝時，楊素專權行事，乃不慎委任之過也。與正人同處，所知必正道，所聞必正言，不可不慎也。今原王府官屬，當選純謹秉性正直者充，勿用有權術之人。」
HCH_009_008_000260	戊午，尚書左丞張汝弼罷。
HCH_009_008_000261	己未，幸壽安宮。
HCH_009_008_000262	壬戌，太尉、左丞相完顏過道致仕。
HCH_009_008_000263	以客省使李磐為橫賜高麗使。
HCH_009_008_000264	尚書省奏北京轉運使以贓除名。
HCH_009_008_000265	尚書省奏事，上曰：「比有上書言，職官犯除名不可複用，朕謂此言極當。如軍期急速，權可使用。今天下無事，複用此輩，何以戒將來。」
HCH_009_008_000266	又奏：「年前以諸路水旱，於軍民地土二十一萬餘頃內，擬免稅四十九萬余石。」
HCH_009_008_000267	從之。
HCH_009_008_000268	詔曰：「今之稅，考古行之，但遇災傷，常加蠲免。」
HCH_009_008_000269	五月甲申，以司徒、樞密使徒單克甯為太尉、尚書左丞相，判大宗正事趙王永中複為樞密使，大興尹原王麻達葛為尚書右丞相，賜名璟。
HCH_009_008_000270	參加政事程輝致仕。
HCH_009_008_000271	戊子，盧溝決于上陽村，湍流成河，遂因之。
HCH_009_008_000272	庚寅，御史大夫曹王永功罷，以豳王永成為御史大夫。
HCH_009_008_000273	戊戌，以尚書右丞粘割斡特剌為左丞，參知政事張汝霖為右丞。
HCH_009_008_000274	六月癸亥，尚書省奏速頻、胡裏改世襲謀克事，上曰：「其人皆勇悍，昔世祖與之鄰，苦戰累年，僅能克復。其後乍服乍叛，至穆、康時，始服聲教。近世亦嘗分徙。朕欲稍遷其民上京，實國家長久之計。」
HCH_009_008_000275	己巳，上謂宰執曰：「齊桓中庸主也，得一管仲，遂成霸業。朕夙夜以思，惟恐失人。朕既不知，卿等又不薦，必俟全才而後舉，蓋亦難矣！如舉某人長於某事，朕亦量材用之。朕與卿等俱老矣！天下至大，豈得無人？薦舉人材，當今急務也。」
HCH_009_008_000276	又言：「人之有幹能，固不易得，然不若德行之士最優也。」
HCH_009_008_000277	上謂右丞相原王曰：「爾嘗讀《太祖實錄》乎？太祖征麻產，襲之，至泥淖馬不能進，太祖舍馬而步，歡都射中麻產，遂擒之。創業之難如此，可不思乎。」
HCH_009_008_000278	甲戌，詔曰：「凡陳言文字詣登聞檢院送學士院聞奏，毋經省廷。」
HCH_009_008_000279	七月壬午，詔給內外職事官兼職俸錢。
HCH_009_008_000280	丙申，禦史中丞馬惠迪為參知政事。
HCH_009_008_000281	庚子，上聞同知中都路都轉運使事趙曦瑞，其在職應錢穀利害文字多不題署，但思安身，降授積石州刺史。
HCH_009_008_000282	閏月己未，還都。
HCH_009_008_000283	八月丁丑，上謂宰臣曰：「親軍雖不識字，亦令依例出職，若涉贓賄，必痛繩之。」
HCH_009_008_000284	太尉左丞相克甯曰：「依法則可。」
HCH_009_008_000285	上曰：「朕於女直人未嘗不知優恤。然涉於贓罪，雖朕子弟亦不能恕。太尉之意，欲姑息女直人耳！」
HCH_009_008_000286	戊寅，尚書省奏，河決，衛州壞。
HCH_009_008_000287	命戶部侍郎王寂、都水少監汝嘉徙限衛州胙城縣。
HCH_009_008_000288	丁亥，尚書省奏，遣吏部侍郎李晏等二十六人分路推排諸路物力，從之。
HCH_009_008_000289	己丑，以宿直將軍李達可為夏國生日使。
HCH_009_008_000290	辛卯，以益都尹宗浩等為賀宋生日使。
HCH_009_008_000291	甲午，秋獵。
HCH_009_008_000292	庚子，次薊州。
HCH_009_008_000293	辛丑，幸仙洞寺。
HCH_009_008_000294	壬寅，幸香林、淨名二寺。
HCH_009_008_000295	九月甲辰朔，幸盤山上方寺，因篇曆中盤、天香、感化諸寺。
HCH_009_008_000296	庚申，還都。
HCH_009_008_000297	丙寅，上謂宰臣曰：「烏底改叛亡，已遣人討之，可益以甲士，毀其船筏。」
HCH_009_008_000298	參知政事馬惠迪曰：「得其人不可用，有其地不可居，恐不足勞聖慮。」
HCH_009_008_000299	上曰：「朕亦知此類無用，所以毀其船筏，欲不使再邊境耳！」
HCH_009_008_000300	十月戊寅，定職官犯贓同職相糾察法。
HCH_009_008_000301	庚寅，上謂宰臣曰：「西南、西北兩路招討司地隘，猛安人戶無處圍獵，不能閑習騎射。委各猛安謀克官依時教練，其弛慢過期及不親監視，並決罰之。」
HCH_009_008_000302	甲午，詔增河防軍數。
HCH_009_008_000303	戊戌，甯昌軍節度使崇肅、行軍都統忠道以討烏底改，不待克敵而還，崇肅杖七十，削官一階，忠道杖八十，削官三階。
HCH_009_008_000304	十一月甲辰朔，定閔宗陵廟薦享禮。
