HCH_012_205_000337	宗憲自敘平賊功，言以獻瑞得罪言官，且訐汝正受贓事。
HCH_012_205_000338	帝終憐之，並下汝正獄。
HCH_012_205_000339	宗憲竟瘐死，汝正得釋。
HCH_012_205_000340	萬歷初，復官，謚襄懋。
HCH_012_205_000341	阮鶚者，桐城人，官浙江提學副使。
HCH_012_205_000342	時倭薄杭州，鄉民避難入城者，有司拒不許入。
HCH_012_205_000343	鶚手劍開門納之，全活甚眾。
HCH_012_205_000344	以附文華、宗憲得超擢右僉都御史，代宗憲巡撫浙江。
HCH_012_205_000345	又以文華言，特設福建巡撫，即以命鶚。
HCH_012_205_000346	初在浙不主撫，自桐鄉被圍，懼甚。
HCH_012_205_000347	寇犯福州，賂以羅綺、金花及庫銀數萬，又遺巨艦六艘，俾載以走。
HCH_012_205_000348	不能措一籌，而斂括民財動千萬計，帷帟盤盂率以錦綺金銀為之。
HCH_012_205_000349	御史宋儀望等交章劾，逮下刑部。
HCH_012_205_000350	嚴嵩為屬法司，僅黜為民。
HCH_012_205_000351	所侵餉數，浮於宗憲，追還之官。
HCH_012_205_000352	曹邦輔，字子忠，定陶人。
HCH_012_205_000353	嘉靖十一年進士。
HCH_012_205_000354	歷知元城、南和，以廉幹稱。
HCH_012_205_000355	擢御史，巡視河東鹽政。
HCH_012_205_000356	巡按陜西，劾總督張珩等冒功，皆謫戍。
HCH_012_205_000357	出為湖廣副使，補河南。
HCH_012_205_000358	柘城賊師尚詔反，陷歸德。
HCH_012_205_000359	檢校董綸率民兵巷戰，手刃數賊，與其妻賈氏俱死之。
HCH_012_205_000360	又陷柘城，劫舉人陳聞詩為帥。
HCH_012_205_000361	不聽，斬從者脅之。
HCH_012_205_000362	聞詩紿曰：「必欲我行，毋殺人，毋縱火。」
HCH_012_205_000363	賊許諾，擁上馬。
HCH_012_205_000364	不食三日，至鹿邑自縊。
HCH_012_205_000365	賊圍太康，都指揮尚允紹與戰鄢陵，敗績。
HCH_012_205_000366	允紹復擊賊於霍山，賊圍之，兵無敢進。
HCH_012_205_000367	邦輔斬最後者，士卒競進。
HCH_012_205_000368	賊大潰，擒斬六百餘人。
HCH_012_205_000369	尚詔走莘縣，被擒。
HCH_012_205_000370	賊起四十餘日，破府一，縣八，殺戳十餘萬。
HCH_012_205_000371	邦輔亟戰，殲之。
HCH_012_205_000372	詔賚銀幣，擢山西右參政，遷浙江按察使。
HCH_012_205_000373	三十四年拜右僉都御史，巡撫應天。
HCH_012_205_000374	倭聚柘林。
HCH_012_205_000375	其黨自紹興竄，轉掠杭、嚴、徽、寧、太平，遂犯南京，破溧水，抵宜興。
HCH_012_205_000376	為官軍所迫，奔滸墅。
HCH_012_205_000377	副總兵俞大猷、副使任環數邀擊之，而柘林余賊已進據陶宅。
HCH_012_205_000378	邦輔督副使王崇古圍之，僉事董邦政、把總婁宇協剿。
