HCH_012_197_000280	且嘗薦「大禮」大獄得罪諸臣，及廢籍李夢陽、康海等。
HCH_012_197_000281	在南都，禁喪家宴飲，絕婦女入寺觀，罪娼戶市良人女，毀淫祠，建社學，散僧尼，表忠節。
HCH_012_197_000282	既去，士民思之。
HCH_012_197_000283	始與璁、萼結，既而比郭勛。
HCH_012_197_000284	舉進士出毛澄門下，素執弟子禮，議禮不合，遂不復稱為座主。
HCH_012_197_000285	及總裁己丑會試，亦遂不以唐順之等為門生。
HCH_012_197_000286	其議禮時，詆司馬光。
HCH_012_197_000287	後議薛瑄從祀，至追論光不可祀孔廟。
HCH_012_197_000288	其不顧公論如此。
HCH_012_197_000289	子與瑕，舉進士。
HCH_012_197_000290	授慈溪知縣。
HCH_012_197_000291	鄢懋卿巡鹽行部，與瑕不禮，為所劾罷。
HCH_012_197_000292	起知鄞縣，終廣西僉事。
HCH_012_197_000293	熊浹，字悅之，南昌人。
HCH_012_197_000294	正德九年進士。
HCH_012_197_000295	授禮科給事中。
HCH_012_197_000296	寧王宸濠將為變，浹與同邑御史熊蘭草奏，授御史蕭淮上之。
HCH_012_197_000297	濠倉卒舉事，卒敗，本兩人早發之力。
HCH_012_197_000298	出核松潘邊餉。
HCH_012_197_000299	副總兵張傑倚江彬勢，贓累巨萬，誘殺熟番上功啟邊釁，箠死千戶以下至五百人。
HCH_012_197_000300	又嘗率家眾遮擊副使胡澧。
HCH_012_197_000301	撫、按莫敢言。
HCH_012_197_000302	浹至，盡發其狀，傑遂褫職。
HCH_012_197_000303	世宗踐阼，廷議追崇禮未定。
HCH_012_197_000304	浹馳疏言：「陛下起自藩服，入登大寶，倘必執為後之說，考孝宗而母慈壽，則興獻母妃當降稱伯叔父母矣。不知陛下承歡內庭時，將仍舊稱乎，抑改而從今稱乎？若仍舊稱，而不得尊之為後，則於慈壽徒有為後之虛文，於母妃則又缺尊崇之大典，無一而可也。臣愚謂興獻王尊以帝號，別建一廟，以示不敢上躋於列聖。母妃則尊為皇太后，而少殺其徽稱，以示不敢上同於慈壽。此於大統固無所妨，而天性之恩亦得以兼盡。」
HCH_012_197_000305	疏至，會興王及妃已稱為帝後，下之禮官。
HCH_012_197_000306	嘉靖初，由右給事中出為河南參議。
HCH_012_197_000307	外艱歸。
