HCH_009_009_000198	乙卯，祈於北郊及太廟。
HCH_009_009_000199	朝于隆慶宮，是月凡三朝。
HCH_009_009_000200	丙辰，以鷹坊使移剌寧為橫賜夏國使。
HCH_009_009_000201	戊午，拜天於西苑。
HCH_009_009_000202	射柳、擊球，縱百姓觀。
HCH_009_009_000203	壬戌，祈雨於社稷。
HCH_009_009_000204	甲子，制省元及四舉終場人許該恩。
HCH_009_009_000205	己巳，複祈雨於太廟。
HCH_009_009_000206	庚午，置知登聞鼓院事一人。
HCH_009_009_000207	丙子，以祈雨，望祭嶽鎮海瀆於北郊。
HCH_009_009_000208	戊寅，命內外官五品以上，任內舉所知才能官一員以自代。
HCH_009_009_000209	壬午，以參政事移剌履為尚書右丞，御史中丞徒單鎰為參知政事，尚書右丞相襄罷。
HCH_009_009_000210	六月己丑，制定親王家人有犯，其長史府掾失覺察、故縱罪。
HCH_009_009_000211	壬辰，奉皇太后幸慶壽寺。
HCH_009_009_000212	甲辰，敕僧、道三年一試。
HCH_009_009_000213	秋七月己巳，以禮部尚書王翛等為賀宋生日使。
HCH_009_009_000214	庚午，朝于隆慶宮。
HCH_009_009_000215	丁丑，詔罷西北路蝦䗫山市場。
HCH_009_009_000216	八月癸未朔，禁指托親王、公主奴隸占綱船、侵商旅及妄征錢債。
HCH_009_009_000217	乙酉，詔設常平倉。
HCH_009_009_000218	丁亥，至自壽安宮。
HCH_009_009_000219	戊子，朝于隆慶宮，是月凡三朝。
HCH_009_009_000220	己丑，以判大睦親府事宗甯為平章政事。
HCH_009_009_000221	壬辰，幸玉泉山，即日還宮。
HCH_009_009_000222	癸巳，罷諸府鎮流泉務。
HCH_009_009_000223	選才幹之官為諸州刺史，皆召見諭戒之。
HCH_009_009_000224	戊戌，上諭宰臣曰：「何以使民棄末而務本，以廣儲蓄？」
HCH_009_009_000225	令集百官議。
HCH_009_009_000226	戶部尚書鄧儼等曰：「今風俗侈靡，宜定制度，辨上下，使服用居室，各有差等。抑昏喪過度之禮，禁追逐無名之費。用度有節，蓄積自廣矣！」
HCH_009_009_000227	右丞履、參知政事守貞、鎰曰：「凡人之情，見美則願，若不節以制度，將見奢侈無極，費用過多，民之貧乏，殆由此致。方今承平之際，正宜講究此事，為經久法。」
HCH_009_009_000228	上是履議。
HCH_009_009_000229	壬寅，敕麻吉以皇家袒免之親，特收充尚書省祗候郎君，仍為永制。
HCH_009_009_000230	丁未，獵於近郊。
HCH_009_009_000231	巳酉，宋、高麗、夏遣使來賀天壽節。
HCH_009_009_000232	九月壬子朔，天壽節，以世宗喪，不受朝。
HCH_009_009_000233	丙辰，為廉能進擢北海縣令張翱等十八人官。
HCH_009_009_000234	己未，以武衛軍副都指揮使烏林答謀甲為夏國生日使。
HCH_009_009_000235	庚申，朝于隆慶宮。
HCH_009_009_000236	壬戌，如秋山。
HCH_009_009_000237	冬十月丁亥，至自秋山。
HCH_009_009_000238	戊子，朝于隆慶宮。
HCH_009_009_000239	丙申，詔賜貴德州孝子翟單、遂州節婦張氏各絹十匹、粟二十石。
HCH_009_009_000240	戊戌，以有司言，登聞鼓院同記注院，勿有所隸。
HCH_009_009_000241	制民庶聘財為三等，上百貫，次五十貫，次二十貫。
HCH_009_009_000242	丁未，獵於近郊。
HCH_009_009_000243	十一月乙卯，朝于隆慶宮。
HCH_009_009_000244	是月凡五朝。
HCH_009_009_000245	以惑眾亂民，禁罷全真及五行毗盧。
HCH_009_009_000246	以僉書樞密院事把德固等為賀宋正旦使。
HCH_009_009_000247	丁巳，制諸職官讓廕兄弟子侄者，從其所請。
HCH_009_009_000248	戊辰，召禮部尚書王翛、諫議大夫張暐詣殿門，諭之曰：「朝廷可行之事，汝諫官、禮官即當辯析。小民之言，有可采者朕尚從之，況卿等乎？自今所議毋但附合於尚書省。」
HCH_009_009_000249	辛未，以西上閣門使移剌撻不也為高麗生日使。
HCH_009_009_000250	丙子，冬獵。
HCH_009_009_000251	巳卯，次雄州。
HCH_009_009_000252	判真定府事吳王永成、判定武軍節度使隋王永升來朝。
HCH_009_009_000253	十二月壬午，免獵地今年稅。
HCH_009_009_000254	丁亥，次饒陽。
HCH_009_009_000255	己丑，平章政事張汝霖薨。
HCH_009_009_000256	丁酉，至自饒陽。
HCH_009_009_000257	甲辰，幸太傳徒單克寧第視疾。
HCH_009_009_000258	以克甯為太師、尚書令，封淄王，賜銀千五百兩，絹二千匹。
HCH_009_009_000259	乙巳，朝于隆慶宮。
HCH_009_009_000260	丙午，詔有司，正旦可先賀隆慶宮，然後進酒。
HCH_009_009_000261	丁未，宋、高麗、夏遣使來賀正旦。
HCH_009_009_000262	二年春正月庚戌朔，以世宗喪，不受朝。
HCH_009_009_000263	癸丑，諭有司，夏國使可令館內貿易一日。
HCH_009_009_000264	尚書省言，故事許貿易三日，從之。
HCH_009_009_000265	甲寅，始許宮中稱聖主。
HCH_009_009_000266	乙卯，皇太后不豫，自是日往侍疾，丙夜乃還。
HCH_009_009_000267	辛酉，皇太后崩。
HCH_009_009_000268	丙寅，以左副都點檢皞等報哀于宋、高麗、夏。
HCH_009_009_000269	庚午，太師、尚書令淄王徒單克寧薨。
HCH_009_009_000270	甲戌，百官表請聽政，不許。
HCH_009_009_000271	戊寅，詔賜陀括裏部羊三萬口、重幣五百端、絹二千匹，以振其乏。
HCH_009_009_000272	吳王永成、隋王永升以聞國喪奔赴失期，罰其俸一月，其長史笞五十。
HCH_009_009_000273	己卯，在司言，漢王永中以疾失期，上諭使回。
HCH_009_009_000274	二月壬午，百官複聽政，不許。
HCH_009_009_000275	壬辰，上始視朝。
HCH_009_009_000276	敕親王及三品官之家，毋許僧尼道士出入。
HCH_009_009_000277	諭有司：「進士程文但合格者即取之，毋限人數。」
HCH_009_009_000278	丙申，以樞密副使夾穀清臣為尚書左丞。
HCH_009_009_000279	戊戌，更定奴誘良人法。
HCH_009_009_000280	丙午，初設王傳府尉官。
HCH_009_009_000281	三月丁巳，夏國遣使來吊。
HCH_009_009_000282	癸亥，敕有司，國號犯漢、遼、唐、宋等名不得封臣下。
HCH_009_009_000283	有司議：「以遼為恆，宋為汴，秦為鎬，晉為並，漢為益，梁為邵，齊為彭，殷為譙，唐為絳，吳為鄂，蜀為夔，陳為宛，隋為涇，虞為澤。」
HCH_009_009_000284	制可，丁卯，夏國遣使來祭。
HCH_009_009_000285	乙亥，高麗遣使來弔祭。
HCH_009_009_000286	丁丑，宋遣使來弔祭。
HCH_009_009_000287	四月戊寅朔，尚書省言：「齊民與屯田戶往往不睦，若令遞相婚姻，實國家長久安寧之計。」
HCH_009_009_000288	從之。
HCH_009_009_000289	乙酉，葬孝懿皇太后于裕陵。
HCH_009_009_000290	戊子，制諸部內災傷，主司應言而不言及妄言者杖七十，檢視不以實者罪如之，因而有傷人命者以違制論，致枉有征免者坐贓論，妄告者戶長坐詐不以實罪，計贓重從詐匿不輸法。
HCH_009_009_000291	庚寅，禁民庶不得服純黃銀褐色，婦人勿禁，著為永制。
HCH_009_009_000292	辛卯，上幸壽安宮，諫議大夫張暐等上疏請止其行，不允。
HCH_009_009_000293	癸巳，諭有司：「自今女直字直譯為漢字，國史院專寫契丹字者罷之。」
HCH_009_009_000294	甲午，改封永中為並王，永功為魯王，永成袞王，永升曹王，永蹈鄭王，永濟韓王，永德豳王。
HCH_009_009_000295	戊戌，增太學博士助教員。
HCH_009_009_000296	己亥，學士院新進唐杜甫、韓愈、劉禹錫、杜牧、賈島、王建，宋王禹備、歐陽修、王安石、蘇軾、張耒、秦觀等集二十六部。
HCH_009_009_000297	庚子，改壽安宮名萬寧。
HCH_009_009_000298	壬寅，如萬甯宮。
HCH_009_009_000299	詔襲封衍聖公孔元措視四品秩。
HCH_009_009_000300	五月庚戌，敕自今四日一奏事，仍免朝。
HCH_009_009_000301	戊辰，詔諸郡邑文宣王廟、風雨師、社稷神壇隳廢者，複之。
HCH_009_009_000302	詔御史台令史並以終場舉人充。
HCH_009_009_000303	六月戊子，平章政事宗寧薨。
HCH_009_009_000304	癸巳，禁稱本朝人及朝言語為「蕃」，違者杖之。
HCH_009_009_000305	丙午，尚書右丞移剌履薨。
