HCH_012_179_000279	天啟初，追謚忠介。
HCH_012_179_000280	舒芬，字國裳，進賢人。
HCH_012_179_000281	年十二，獻《馴雁賦》於知府祝瀚，遂知名。
HCH_012_179_000282	正德十二年舉進士第一，授修撰。
HCH_012_179_000283	時武宗數微行，畋遊無度。
HCH_012_179_000284	其明年，孝貞皇后崩甫逾月，欲幸宣府。
HCH_012_179_000285	托言往視山陵，罷沿道兵衛。
HCH_012_179_000286	芬上言：「陛下三年之內當深居不出，雖釋服之後，固儼然煢疚也。且自古萬乘之重，非奔竄逃匿，未有不嚴侍衛者。又等威莫大於車服，以天子之尊下同庶人，舍大輅袞冕而羸車褻服是禦，非所以辨上下、定禮儀。」
HCH_012_179_000287	不聽。
HCH_012_179_000288	孝貞山陵畢，迎主祔廟，自長安門入。
HCH_012_179_000289	芬又言：「孝貞皇后作配茂陵，未聞失德。祖宗之制，既葬迎主，必入正門。昨孝貞之主，顧從陛下駕由旁門入，他日史臣書之曰「六月己丑，車駕至自山陵，迎孝貞純皇后主入長安門」，將使孝貞有不得正終之嫌，其何以解於天下後世？昨祔廟之夕，疾風迅雷甚雨，意者聖祖列宗及孝貞皇后之靈，儆告陛下也。陛下宜即明詔中外，以示改過。」
HCH_012_179_000290	不報。
HCH_012_179_000291	遂乞歸養，不許。
HCH_012_179_000292	又明年三月，帝議南巡。
HCH_012_179_000293	時寧王宸濠久蓄異謀，與近幸相結，人情惶懼。
HCH_012_179_000294	言官伏闕諫，忤旨被責讓。
HCH_012_179_000295	芬憂之，與吏部員外郎夏良勝、禮部主事萬潮、庶吉士汪應軫要諸曹連章入諫，眾許諾。
