HCH_012_194_000295	獻民言：「祖宗有舊制，孝廟有禁例，陛下登極有明詔。賢無公家庸，又非泰子姓，猥以廝養竊名器，紊棨典章，不可之大者。宜納諫官言。」
HCH_012_194_000296	弗聽。
HCH_012_194_000297	錦衣副千戶李全、王邦奇等以冒濫汰去，至是奏辨不已，下部覆議。
HCH_012_194_000298	獻民言：「全等足不履行陣而坐論首功，身不隸公家而躐躋顯秩。陛下登極，汰去者三百餘人，人心稱快。萬一幸端再啟，則前詔皆虛，將來奏擾，有何紀極。」
HCH_012_194_000299	帝竟授全等試百戶。
HCH_012_194_000300	獻民復奏曰：「令出惟行勿惟反。今以小人奏辨，一旦復官九十餘人，徇左右私，壞祖宗法，竊為陛下惜之。明旨不許夤緣管事，而奔競已成風矣；不許比例陳乞，而奏擾已踵至矣。誰生厲階，至今為梗。望仍斥全等，以息人言，消天變。」
HCH_012_194_000301	言官任洛等亦以為言，不聽。
HCH_012_194_000302	會寧夏總兵官種勛行賂京師，偵事者獲其籍，獻民名在焉。
HCH_012_194_000303	給事蔡經、御史高世魁等交章劾之，獻民因引疾歸。
HCH_012_194_000304	居二年，邦奇訐前尚書彭澤，詞連獻民，逮下刑部獄。
HCH_012_194_000305	法司劾獻民奉命專征，未至其地，掠功妄報。
HCH_012_194_000306	失大臣體，宜奪職閑住，削其世蔭。
HCH_012_194_000307	詔可。
HCH_012_194_000308	初，「大禮」議起，獻民數偕廷臣疏爭。
HCH_012_194_000309	及左順門哭諫，又與徐文華倡之。
HCH_012_194_000310	帝由此不悅，卒得罪。
HCH_012_194_000311	隆慶初，贈恤如制。
HCH_012_194_000312	秦金，字國聲，無錫人。
HCH_012_194_000313	弘治六年進士。
HCH_012_194_000314	授戶部主事，歷郎中。
HCH_012_194_000315	正德初，遷河南提學副使，改右參政。
HCH_012_194_000316	守開封，破趙鐩於陳橋。
HCH_012_194_000317	歷山東左、右布政使。
HCH_012_194_000318	承寇躪後，與巡撫趙璜共拊循，瘡痍始起。
HCH_012_194_000319	九年擢右副都御史，巡撫湖廣。
HCH_012_194_000320	諸王府所據山場湖蕩，皆奏還之官。
HCH_012_194_000321	降盜賀璋、羅大洪復叛，討平之。
HCH_012_194_000322	郴州桂陽瑤龔福全稱王，金先後破寨八十餘，斬首二千級，擒福全及其黨劉福興等。
HCH_012_194_000323	錄功，增俸一級，蔭錦衣世百戶，力辭得請。
HCH_012_194_000324	入為戶部右侍郎。
HCH_012_194_000325	世宗即位，改吏部。
HCH_012_194_000326	言官論金無人倫鑒，復改戶部，轉左，署部事。
HCH_012_194_000327	外戚邵喜乞莊田，金述祖制，請按治。
HCH_012_194_000328	帝宥喜，命都察院禁如制。
HCH_012_194_000329	中旨各宮仍置皇莊，遣官校分督。
HCH_012_194_000330	金言：「西漢盛時以苑囿賦貧民，今奈何剝民以益上。乞勘正德間額外侵占者，悉歸其主，而盡撤管莊之人。」
HCH_012_194_000331	帝稱善，即從其議。
