HCH_012_041_000001	山東《禹貢》青、兗二州地。
HCH_012_041_000390	會通河在城南，有衛河自西來會，至天津直沽入海，爲北運河。
HCH_012_041_000391	東南距府百二十里。
HCH_012_041_000392	領縣二：丘州西。
HCH_012_041_000393	元直隸東昌路。
HCH_012_041_000394	弘治二年改屬州。
HCH_012_041_000395	東南有衛河，又有漳河。
HCH_012_041_000396	館陶州西南。
HCH_012_041_000397	元屬濮州。
HCH_012_041_000398	洪武二年七月屬東昌府，三年三月省，尋復置，仍屬東昌府。
HCH_012_041_000399	弘治二年改屬州。
HCH_012_041_000400	西有衛河，自元城縣流入。
HCH_012_041_000401	又西南有漳河。
HCH_012_041_000402	又西南有南館陶鎮巡檢司。
HCH_012_041_000403	高唐州元直隸中書省。
HCH_012_041_000404	洪武初，以州治高唐縣省入，來屬。
HCH_012_041_000405	西有漯河，溢涸無常。
HCH_012_041_000406	又有馬頰河，一名舊黃河。
HCH_012_041_000407	西南距府百二十里。
HCH_012_041_000408	領縣三：恩州北。
HCH_012_041_000409	元恩州，直隸中書省。
HCH_012_041_000410	洪武二年降爲縣，來屬。
HCH_012_041_000411	西有故城。
HCH_012_041_000412	今治本許官店，洪武七年七月徙於此。
HCH_012_041_000413	西北有衛河。
HCH_012_041_000414	東南有馬頰枯河。
HCH_012_041_000415	又高雞泊亦在縣西北。
HCH_012_041_000416	夏津州西。
HCH_012_041_000417	洪武三年三月省，尋復置。
HCH_012_041_000418	西南有衛河。
HCH_012_041_000419	又東有馬頰故河。
HCH_012_041_000420	又西有裴家圈巡檢司。
HCH_012_041_000421	武城州西北。
HCH_012_041_000422	西有衛河。
HCH_012_041_000423	東南有沙河。
HCH_012_041_000424	東北有甲馬營巡檢司。
HCH_012_041_000425	濮州元直隸中書省。
HCH_012_041_000426	洪武二年以州治鄄城縣省入，來屬。
HCH_012_041_000427	故城在東，景泰三年以河患遷於王村，即今治也。
HCH_012_041_000428	東南有故黃河，永樂中，河流由此入會通河，後堙。
HCH_012_041_000429	又西南有濮水，一名洪河。
HCH_012_041_000430	東北距府二百里。
HCH_012_041_000431	領縣三：範州東北。
HCH_012_041_000432	洪武三年三月省，尋復置。
HCH_012_041_000433	東南有故城，洪武二十五年圮於河，始遷今治。
HCH_012_041_000434	又東南有水保寨巡檢司。
HCH_012_041_000435	觀城州西北。
HCH_012_041_000436	洪武三年三月省，尋復置。
HCH_012_041_000437	又東有馬頰河，有黑羊山水自西北流入焉。
HCH_012_041_000438	朝城州北。
HCH_012_041_000439	洪武三年三月省，尋復置。
HCH_012_041_000440	西南有故漯河。
HCH_012_041_000441	青州府元益都路，屬山東東西道宣慰司。
HCH_012_041_000442	太祖吳元年爲青州府。
HCH_012_041_000443	領州一，縣十三。
HCH_012_041_000444	西距布政司三百二十里。
HCH_012_041_000445	益都倚。
HCH_012_041_000446	洪武三年四月建齊王府，永樂四年廢。
HCH_012_041_000447	十三年建漢王府，十五年遷於樂安。
HCH_012_041_000448	成化二十三年建衡王府。
HCH_012_041_000449	南有云門山，與劈山連。
HCH_012_041_000450	西北有堯山。
