HCH_010_004_000307	己未，重威、守貞引兵南遁，追至陽城，大敗之。
HCH_010_004_000308	復以步卒為方陣來拒，與戰二十餘合。
HCH_010_004_000309	壬戌，復搏戰十餘里。
HCH_010_004_000310	癸亥，圍晉兵于白團衛村。
HCH_010_004_000311	晉兵下鹿角為營。
HCH_010_004_000312	是夕大風。
HCH_010_004_000313	至曙，命鐵鷂軍下馬，拔其鹿角，奮短兵入擊。
HCH_010_004_000314	順風縱火揚塵，以助其勢。
HCH_010_004_000315	晉軍大呼曰：「都招討何不用兵，令士卒徒死！」
HCH_010_004_000316	諸將皆奮出戰。
HCH_010_004_000317	張彥澤、藥元福、皇甫遇出兵大戰，諸將繼至，遼軍卻數百步。
HCH_010_004_000318	風益甚，晝晦如夜。
HCH_010_004_000319	符彥卿以萬騎橫擊遼軍，率步卒並進，遼軍不利。
HCH_010_004_000320	上乘奚車退十餘里，晉追兵急，獲一橐駝乘之乃歸。
HCH_010_004_000321	晉兵退保定州。
HCH_010_004_000322	夏四月甲申，還次南京，杖戰不力者各數百。
HCH_010_004_000323	庚寅，宴將士于元和殿。
HCH_010_004_000324	癸巳，如涼陘。
HCH_010_004_000325	六月戊辰，回鶻來貢。
HCH_010_004_000326	辛未，吐谷渾、鼻骨德皆來貢。
HCH_010_004_000327	辛巳，黑車子室韋來貢。
HCH_010_004_000328	丁亥，趙延壽奏晉兵襲高陽，戍將擊走之。
HCH_010_004_000329	秋七月乙卯，獵平地松林。
HCH_010_004_000330	晉遣孟守中奉表請和，仍以前事答之。
HCH_010_004_000331	八月己巳，詔侍衛蕭素撒閱群牧于北陘。
HCH_010_004_000332	九月壬寅，次赤山，宴從臣，問軍國要務，對曰：「軍國之務，愛民為本。民富則兵足，兵足則國強。」
HCH_010_004_000333	上以為然。
HCH_010_004_000334	辛酉，還上京。
HCH_010_004_000335	冬十月辛未，祠木葉山。
HCH_010_004_000336	十一月戊戌，女直、鐵驪來貢。
HCH_010_004_000337	十二月癸亥朔，朝謁太祖行宮。
HCH_010_004_000338	乙丑，雲州節度使耶律孔阿獲晉諜者。
HCH_010_004_000339	戊辰，臘，賜諸國貢使衣馬。
HCH_010_004_000340	九年春正月庚子，回鶻來貢。
HCH_010_004_000341	丁未，女直來貢。
HCH_010_004_000342	二月戊辰，鼻骨德奏軍籍。
HCH_010_004_000343	三月乙亥，吐谷渾遣軍校恤烈獻生口千戶，授恤烈檢校司空。
HCH_010_004_000344	夏四月辛酉朔，吐谷渾白可久來附。
HCH_010_004_000345	是月，如涼陘。
HCH_010_004_000346	五月庚戌，晉易州戍將孫方簡請內附。
HCH_010_004_000347	六月戊子，謁祖陵，更閟神殿為長思。
HCH_010_004_000348	秋七月辛亥，詔征諸道兵，敢傷禾稼者，以軍法論。
HCH_010_004_000349	癸丑，女直來貢。
HCH_010_004_000350	乙卯，以阻卜酋長曷剌為本部夷離堇。
HCH_010_004_000351	八月丙寅，烏古來貢。
HCH_010_004_000352	是月，自將南伐。
HCH_010_004_000353	九月壬辰，閱諸道兵于漁陽西棗林淀。
HCH_010_004_000354	是月，趙延壽與晉張彥澤戰于定州，敗之。
HCH_010_004_000355	冬十一月戊子朔，進圍鎮州。
HCH_010_004_000356	丙申，先遣候騎報晉兵至，遣精兵斷河橋，晉兵退保武強。
HCH_010_004_000357	南院大王迪輦、將軍高模翰分兵由瀛州間道以進，杜重威遣貝州節度使梁漢璋率眾來拒。
HCH_010_004_000358	與戰，大敗之，殺梁漢璋。
HCH_010_004_000359	杜重威、張彥澤引兵據中渡橋，趙延壽以步卒前擊，高彥溫以騎兵乘之，追奔逐北，殭屍數萬，斬其將王清，宋彥筠墮水死。
HCH_010_004_000360	重威等退保中渡寨。
HCH_010_004_000361	義武軍節度使李殷以城降，遂進兵，夾滹沱而營。
HCH_010_004_000362	去中渡寨三里，分兵圍之。
HCH_010_004_000363	夜則列騎環守，晝則出兵抄掠。
HCH_010_004_000364	覆命大內惕隱耶律朔骨里及趙延壽分兵圍守，自將騎卒夜渡河出其後。
HCH_010_004_000365	攻下欒城，降騎卒數千。
HCH_010_004_000366	分遣將士據其要害。
HCH_010_004_000367	於是軍中預備軍食，三日不得舉煙火，但獲晉人，即黥而縱之。
HCH_010_004_000368	諸饋運見者皆棄而走。
HCH_010_004_000369	於是晉兵內外隔絕，食盡勢窮。
HCH_010_004_000370	十二月丙寅，杜重威、李守貞、張彥澤等率所部二十萬眾來降。
HCH_010_004_000371	上擁數萬騎，臨大阜，立馬以受之。
HCH_010_004_000372	授重威守太傅、鄴都留守，守貞天平軍節度使，餘各領舊職。
HCH_010_004_000373	分降卒之半付重威，半以隸趙延壽。
HCH_010_004_000374	命御史大夫解里、監軍傅桂兒、張彥澤持詔入汴，諭晉帝母李氏，以安其意，且召桑維翰、景延廣先來。
HCH_010_004_000375	留騎兵千人守魏，自率大軍而南。
HCH_010_004_000376	壬申，解里等至汴，晉帝重貴素服拜命，輿母李氏奉表請罪。
HCH_010_004_000377	初，重貴絕和好，維翰數諫止之，不從，至是彥澤殺維翰，紿言自經死。
HCH_010_004_000378	詔收葬之，復其田園第宅，仍厚恤其家。
