HCH_012_016_000342	丙寅，崩於豹房，年三十有一。
HCH_012_016_000343	遺詔召興獻王長子嗣位。
HCH_012_016_000344	罷威武團營，遣還各邊軍，革京城內外皇店，放豹房番僧及教坊司樂人。
HCH_012_016_000345	戊辰，頒遺詔於天下，釋繫囚，還四方所獻婦女，停不急工役，收宣府行宮金寶還內庫。
HCH_012_016_000346	庚午，執江彬等下獄。
HCH_012_016_000347	世宗入立。
HCH_012_016_000348	五月己未，上尊諡，廟號武宗，葬康陵。
HCH_012_016_000349	贊曰：明自正統以來，國勢寖弱。
HCH_012_016_000350	毅皇手除逆瑾，躬禦邊寇，奮然欲以武功自雄。
HCH_012_016_000351	然耽樂嬉遊，暱近羣小，至自署官號，冠履之分蕩然矣。
HCH_012_016_000352	猶幸用人之柄躬自操持，而秉鈞諸臣補苴匡救，是以朝綱紊亂，而不底於危亡。
HCH_012_016_000353	假使承孝宗之遺澤，制節謹度，有中主之操，則國泰而名完，豈至重後人之訾議哉。
