HCH_009_068_000148	憲、潞等州複叛，骨赧引兵複取之，並收撫保德、火山而還。
HCH_009_068_000149	後領軍鎮夏邊，在職十二年。
HCH_009_068_000150	天會八年，授世襲猛安。
HCH_009_068_000151	天眷初，為天德軍節度使，致仕。
HCH_009_068_000152	累遷開府儀同三司，卒，年八十五。
HCH_009_068_000153	子喜哥襲猛安，加宣武將軍。
HCH_009_068_000154	訛古乃，冶訶子，姿質魁偉。
HCH_009_068_000155	年十四，隸秦王宗翰軍中，常領兵行前為偵候。
HCH_009_068_000156	及大軍襲遼主，訛古乃以甲騎六十，追遼招討徒山，獲之，又以七騎追獲遼公主牙不裏以獻。
HCH_009_068_000157	有軍來為遼援，方臨陣，中有躍馬而出者，軍帥謂之曰：「爾能為我取此乎？」
HCH_009_068_000158	訛古乃曰：「諾。」
HCH_009_068_000159	果生擒而還，問其名，曰同瓜，蓋北部中之勇者也。
HCH_009_068_000160	訛古乃善馳驛，日能千里。
HCH_009_068_000161	及伐宋，屢遣將命以行。
HCH_009_068_000162	天會八年，從秦王在燕，聞余睹反于西北，秦王令訛古乃馳驛以往，訛古乃黎明走天德，及至，日未曛也。
HCH_009_068_000163	皇統元年，以功授甯遠大將軍，迭刺唐古部節度使。
HCH_009_068_000164	五年，授千戶。
HCH_009_068_000165	六年，遷西北路招討使。
HCH_009_068_000166	九年，再遷天德尹、西南路招討使。
HCH_009_068_000167	天德二年，召見。
HCH_009_068_000168	四年，遷臨洮尹，加金紫光祿大夫。
HCH_009_068_000169	卒官，年五十三。
HCH_009_068_000170	蒲查，自上京梅堅河徙屯天德。
HCH_009_068_000171	初為元帥府紮也，使于四方稱職，按事能得其實，領猛安。
HCH_009_068_000172	皇統間，除同知開遠軍節度使，斥候嚴整，邊境無事。
HCH_009_068_000173	正隆初，為中都路兵馬判官。
HCH_009_068_000174	是時，京畿多盜，蒲查捕得大盜四十余人，百姓稍安。
HCH_009_068_000175	改安化軍節度副使。
HCH_009_068_000176	大定二年，領行軍萬戶，充邳州刺史、知軍事，領本州萬戶，管所屯九猛安軍，昌武軍節度使，山東副都統。
HCH_009_068_000177	撒改南征，元帥府以蒲查行副統事。
HCH_009_068_000178	入為太子少詹事，再遷開遠軍節度使，襲伯父骨赧猛安，曆婆速路兵馬都總管，西北路招討使，卒。
HCH_009_068_000179	蒲查性廉潔忠直，臨事能斷，凡被任使，無不稱雲。
HCH_009_068_000180	贊曰：賢石魯與昭祖為友，歡都事景祖、世祖為之臣。
HCH_009_068_000181	蓋金自景祖始大，諸部君臣之分始定，故傳異姓之臣，以歡都為首。
HCH_009_068_000182	冶訶雖宗室，與歡都同功，故列敘焉。
