HCH_010_041_000277	戶五千。
HCH_010_041_000278	河陰縣。
HCH_010_041_000279	本漢陰館縣地。
HCH_010_041_000280	初隸朔州，清寧中來屬。
HCH_010_041_000281	戶三千。
HCH_010_041_000282	朔州，順義軍，下，節度。
HCH_010_041_000283	本漢馬邑縣地。
HCH_010_041_000284	元魏孝文帝始置朔州，在今州北三百八十里定襄故城。
HCH_010_041_000285	葛榮亂，廢。
HCH_010_041_000286	高齊天保六年復置，在今州南四十七里新城。
HCH_010_041_000287	八年徙馬邑，即今城。
HCH_010_041_000288	武成帝置北道行臺。
HCH_010_041_000289	周武帝置朔州總管府。
HCH_010_041_000290	隋大業三年改馬邑郡。
HCH_010_041_000291	唐武德四年復朔州。
HCH_010_041_000292	遼升順義軍節度。
HCH_010_041_000293	兵事屬西京都部署司。
HCH_010_041_000294	統州一、縣三：鄯陽縣。
HCH_010_041_000295	本漢定襄縣地。
HCH_010_041_000296	建安中置新興郡。
HCH_010_041_000297	元魏置桑乾郡。
HCH_010_041_000298	高齊置招遠縣，郡仍舊。
HCH_010_041_000299	隋開皇三年罷郡，隸朔州。
HCH_010_041_000300	大業元年初名鄯陽縣，遼因之。
HCH_010_041_000301	戶四千。
HCH_010_041_000302	寧遠縣。
HCH_010_041_000303	齊天保六年，於朔州西置招遠縣。
HCH_010_041_000304	唐乾元元年改今名，遼因之。
HCH_010_041_000305	有寧遠鎮。
HCH_010_041_000306	東至朔州八十里。
HCH_010_041_000307	戶二千。
HCH_010_041_000308	馬邑縣。
HCH_010_041_000309	漢置屬雁門郡。
HCH_010_041_000310	唐開元五年，析鄯陽縣東三十里置大同軍，倚郭置馬邑縣。
HCH_010_041_000311	南至朔州四十里。
HCH_010_041_000312	戶三千。
HCH_010_041_000313	武州，宣威軍，下，刺史。
HCH_010_041_000314	趙惠王置武川塞。
HCH_010_041_000315	魏置神武縣。
HCH_010_041_000316	唐末置武州，後唐改毅州。
HCH_010_041_000317	重熙九年復武州，號宣威軍。
HCH_010_041_000318	統縣一：神武縣。
HCH_010_041_000319	魏置。
HCH_010_041_000320	晉改新城。
HCH_010_041_000321	後唐太祖生神武川之新城，即此。
HCH_010_041_000322	初隸朔州，後置州，並寧遠為一縣來屬。
HCH_010_041_000323	戶五千。
HCH_010_041_000324	東勝州，武興軍，下，刺史。
HCH_010_041_000325	隋開皇七年置勝州。
HCH_010_041_000326	大業五年改榆林郡。
HCH_010_041_000327	唐貞觀五年於南河地置決勝州，故謂此為東勝州。
HCH_010_041_000328	天寶七年又為榆林郡。
HCH_010_041_000329	乾元元年復為勝州。
HCH_010_041_000330	太祖神冊元年破振武軍，勝州之民皆趨河東，州廢。
HCH_010_041_000331	晉割代北來獻，復置。
HCH_010_041_000332	兵事屬西南面招討司。
HCH_010_041_000333	統縣二：榆林縣。
HCH_010_041_000334	河濱縣。
HCH_010_041_000335	金肅州。
HCH_010_041_000336	重熙十二年伐西夏置。
HCH_010_041_000337	割燕民三百戶、防秋軍一千實之。
HCH_010_041_000338	屬西南而招討司。
HCH_010_041_000339	河清軍。
HCH_010_041_000340	西夏歸遼，開直路以趨上京。
HCH_010_041_000341	重熙十二年建城，號河清軍。
HCH_010_041_000342	徙民五百戶、防秋兵一千人實之。
HCH_010_041_000343	屬西南面招討司。
HCH_010_041_000344	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
