HCH_012_154_000277	尋與中將兵送故安南王孫陳天平歸國，至芹站，天平被劫去，坐奪官。
HCH_012_154_000278	帝薄毅罪，起為鷹揚將軍，從張輔討季犛有功，掌交阯都司事。
HCH_012_154_000279	至是與賊戰，深入陷陣死。
HCH_012_154_000280	昱，武城人。
HCH_012_154_000281	自吏科給事中遷左通政，出為河南參政，改交阯。
HCH_012_154_000282	嚴肅有治材，吏民畏憚。
HCH_012_154_000283	軍敗，亦死之。
HCH_012_154_000284	陳洽，字叔遠，武進人。
HCH_012_154_000285	好古力學，與兄濟、弟浚並有名。
HCH_012_154_000286	洪武中，以善書薦授兵科給事中。
HCH_012_154_000287	嘗奉命閱軍，一過輒識之。
HCH_012_154_000288	有再至者，輒叱去。
HCH_012_154_000289	帝嘉其能，賜金織衣。
HCH_012_154_000290	父戍五開歿，洽奔喪。
HCH_012_154_000291	會蠻叛道梗，冒險間行，負父骨以歸。
HCH_012_154_000292	建文中以茹瑺薦，起文選郎中。
HCH_012_154_000293	成祖即位，擢吏部右侍郎，改大理卿。
HCH_012_154_000294	安南兵起，命洽赴廣西，與韓觀選士卒從征。
HCH_012_154_000295	及大軍出，遂命贊軍務，主饋餉。
HCH_012_154_000296	安南平，轉吏部左侍郎。
HCH_012_154_000297	是時黃福掌布、按二司事，專務寬大，拊循其民。
HCH_012_154_000298	洽甄拔才能，振以風紀。
HCH_012_154_000299	核將士功罪，建置土官，經理兵食，剖決如流。
HCH_012_154_000300	還朝，命兼署禮部、工部事。
HCH_012_154_000301	七年復參張輔軍討簡定，平之。
HCH_012_154_000302	還，從帝北征，與輔練兵塞外。
HCH_012_154_000303	九年復與輔往交阯，討陳季擴。
HCH_012_154_000304	居五年，進兵部尚書，復留贊李彬軍事。
HCH_012_154_000305	仁宗召黃福還，以洽掌布、按二司，仍參軍務。
HCH_012_154_000306	中官馬騏貪暴，洽不能制，反者四起，黎利尤桀黠。
HCH_012_154_000307	而榮昌伯陳智、都督方政不相能，寇勢日張。
HCH_012_154_000308	洽上疏言：「賊雖乞降，內懷詭詐，黨羽漸盛，將不可制。乞諭諸將速滅賊，毋為所餌。」
HCH_012_154_000309	宣宗降敕切責智等，令進兵，復敗於茶籠州，帝乃削智、政官爵。
HCH_012_154_000310	命成山侯王通佩征夷將軍印往討，洽仍贊其軍。
HCH_012_154_000311	宣德元年九月，通至交阯。
HCH_012_154_000312	十一月進師應平，次寧橋。
HCH_012_154_000313	洽與諸將言地險惡，恐有伏，宜駐師覘賊。
HCH_012_154_000314	通不聽，麾兵徑渡，陷泥淖中。
HCH_012_154_000315	伏發，官軍大敗。
HCH_012_154_000316	洽躍馬入賊陣，創甚墜馬。
HCH_012_154_000317	左右欲扶還，洽張目叱曰：「吾為國大臣，食祿四十年，報國在今日，義不茍生。」
HCH_012_154_000318	揮刀殺賊數人，自剄死。
HCH_012_154_000319	事聞，帝嘆曰：「大臣以身殉國，一代幾人！」
HCH_012_154_000320	贈少保，謚節湣。
HCH_012_154_000321	官其子樞刑科給事中。
HCH_012_154_000322	自黎利反，用兵三四年，將吏先後死者甚眾。
HCH_012_154_000323	侯保，贊皇人。
HCH_012_154_000324	由國子生歷知襄城、贛榆、博興三縣，有善政。
HCH_012_154_000325	交阯初設府縣，擇人撫綏，以保知交州府，遷右參政。
HCH_012_154_000326	永樂十八年，黎利反，保以黃江要害，築堡守之。
HCH_012_154_000327	賊至，力拒數月，出戰，不勝死。
HCH_012_154_000328	馮貴，武陵人。
HCH_012_154_000329	舉進士，為兵科給事中。
HCH_012_154_000330	從張輔征交阯，督兵餉。
HCH_012_154_000331	累遷左參政。
HCH_012_154_000332	涖事明敏，善撫流亡。
HCH_012_154_000333	士兵二千人，驍果善戰，貴撫以恩意，數擊賊有功，中官馬騏盡奪之。
HCH_012_154_000334	黎利反，貴以羸卒數百，禦賊於瑰縣，力屈而死。
HCH_012_154_000335	仁宗時，尚書黃福言狀，贈貴左布政使，保右布政使。
HCH_012_154_000336	然貴嘗言交阯產金，遂命以參議提督金場，時論非之。
HCH_012_154_000337	伍雲，定遠人。
