HCH_013_018_000216	自少靜朴峻厲，博通經書，究兵略。
HCH_013_018_000217	嘗同兄璉侍父入朝，太祖奇之曰：「阿璉明秀，阿璟凝重，伯溫有子矣。」
HCH_013_018_000218	授谷王長史，之國宣府。
HCH_013_018_000219	建文初，燕師起，璟隨谷王還朝，獻十六策，不能用，以病辭歸。
HCH_013_018_000220	文皇登極，璟臥家不起。
HCH_013_018_000221	上欲用之，罪以逃叛親王，逮繫之。
HCH_013_018_000222	臨別，姻戚舉餞，戒之曰：「皇上神武，何止唐文皇，先生忠良，允為魏徵可也。」
HCH_013_018_000223	璟瞪目曰：「爾謂我學魏徵耶？吾死生之分決矣。」
HCH_013_018_000224	至京，授以官，不受。
HCH_013_018_000225	對上語，猶稱殿下，遂大忤旨，下獄。
HCH_013_018_000226	一夕，辮髮自經死。
HCH_013_018_000227	漳州府學教授陳思賢，聞即位詔至，慟哭曰：「明倫之義，正在今日。」
HCH_013_018_000228	遂堅臥不出迎，率其徒伍性原、陳應宗、林珏、鄒君默、曾廷瑞、呂賢集明倫堂，為舊君位哭臨如禮。
HCH_013_018_000229	郡人執送京師，思賢與六生皆死之。
HCH_013_018_000230	參軍斷事高巍，洪武十七年旌孝行。
HCH_013_018_000231	巍嘗上書燕王曰：「臣竊自負，既為孝子，當為忠臣，死忠死孝，臣願也。」
HCH_013_018_000232	京城破，縊死驛舍。
HCH_013_018_000233	又有高不危者，同時死義。
HCH_013_018_000234	弟宣戍南海衛。
HCH_013_018_000235	大常寺少卿盧原質，少從方孝孺游。
HCH_013_018_000236	後文皇召見，不屈，死之，族其家。
HCH_013_018_000237	教授劉政聞孝孺死，痛哭不食斃。
HCH_013_018_000238	刑部右侍郎胡子昭，坐方黨受戮。
HCH_013_018_000239	臨刑詩曰：「兩間正氣歸泉壤，一點丹心在帝鄉。」
HCH_013_018_000240	弟僉事子義，聞子昭死，辟世丹稜。
HCH_013_018_000241	蜀獻王聞而憐之，令為僧，子義以親遺體辭。
HCH_013_018_000242	有子二人。
HCH_013_018_000243	數歲，子義曰：「吾兄無後，天不絕吾姓，二子當免于難。」
HCH_013_018_000244	竟棄去，莫知所終。
HCH_013_018_000245	右副都御史茅大方，聞燕王兵起，遺詩淮南守將梅殷曰：「幽燕消息近如何？聞道將軍志不磨。縱有火龍翻地軸，莫教鐵騎過天河。關中事業蕭丞相，塞上功勛馬伏波。老我不才無補報，西風一度一悲歌。」
HCH_013_018_000246	文皇登極，大方逮至，責問不屈，與其子順童、道壽、文生同日棄市。
HCH_013_018_000247	二孫添生、歸生死獄中。
HCH_013_018_000248	妻張氏發教坊，病死，命棄其屍。
HCH_013_018_000249	僉都御史司中，召見，不屈，命以鐵帚刷其膚肉，至盡而死。
HCH_013_018_000250	姻婭同死者八十餘人。
HCH_013_018_000251	監察御史鄭公智，坐方黨，召見，不屈，死之，戍其族。
HCH_013_018_000252	大理寺少卿胡閏，字松友，日夜與齊、黃密謀，設法防禦，又請誅徐增壽。
HCH_013_018_000253	遜國後，文皇召方孝孺草詔，繼召閏及高翔，皆衰絰至，哭聲徹殿陛。
HCH_013_018_000254	文皇召閏先入，諭令更服，閏曰：「死即死，服不可更。」
HCH_013_018_000255	文皇以族誅恐之，閏不屈。
HCH_013_018_000256	命力士以瓜落其齒，齒盡，駡聲不絕。
HCH_013_018_000257	文皇大怒，縊殺之，以灰蠡水浸脫其皮，剝之，實以草，懸武功坊。
HCH_013_018_000258	子傳慶同日論死，傳福方六歲，戍雲南。
HCH_013_018_000259	抄提全家二百十七人。
HCH_013_018_000260	女郡奴，年四歲，其母王氏縛就刑，郡奴自懷中墮地。
HCH_013_018_000261	一卒提入功臣家，付爨下婢收之。
HCH_013_018_000262	稍長，識大義，髮至寸，即自截去，日以灰污面，禿垢二十餘年，功臣不以人畜之。
HCH_013_018_000263	洪熙初，赦諸死事者苗裔，郡奴得同女輩行丐歸鄱陽，貧無所依。
HCH_013_018_000264	鄉人憐之曰：「此忠臣女也。」
HCH_013_018_000265	爭饋遺不絕。
HCH_013_018_000266	郡奴所受免死而已。
HCH_013_018_000267	年五十六終，尚處子也。
HCH_013_018_000268	鄉人諡曰忠胤貞姑。
HCH_013_018_000269	監察御史高翔，在建文時，戮力戎事，激發忠義。
HCH_013_018_000270	文皇聞翔名，召之，翔持喪服入見，大哭，語不遜，乃命殺之，沒產誅族。
HCH_013_018_000271	諸給高氏產者，皆加稅，曰：「令世世駡翔也。」
HCH_013_018_000272	親戚悉戍邊。
HCH_013_018_000273	又發其先墓，雜犬馬骨焚灰揚之，而以其地為漏澤院。
HCH_013_018_000274	刑部尚書侯泰，督餉至淮安，聞京師失守。
HCH_013_018_000275	泰行至高郵，被執，下錦衣衛。
HCH_013_018_000276	泰不屈，死之。
HCH_013_018_000277	妻曾氏配象奴，弟敬祖、子玘皆論死，籍其家。
HCH_013_018_000278	左拾遺戴德彝，被執，責問不屈，死之。
HCH_013_018_000279	德彝死時，有兄俱從京師，嫂項氏家居，聞變，度禍且赤族，令盡室逃，并藏德彝二子于山間，毀戴族譜，獨身留家。
HCH_013_018_000280	及收者至，一無所得，械項氏焚炙，遍體焦爛，竟無一言，戴族遂全。
HCH_013_018_000281	戶部侍郎郭任，不屈，死之。
HCH_013_018_000282	子經亦坐死，少子金、山、保戍廣西，三女給配。
HCH_013_018_000283	戶部侍郎盧逈，不屈，縛就刑，長謳而死，聞者悲之。
HCH_013_018_000284	袁州太守楊任，與黃子澄謀求舊君，以圖大舉，事泄，被執至京，磔于市。
HCH_013_018_000285	子禮、益坐死。
HCH_013_018_000286	籍產族誅，親戚莊毅衍等百餘家皆遠戍。
HCH_013_018_000287	禮部侍郎黃魁，不屈，死之。
HCH_013_018_000288	御史連楹，立金川門下，自馬首數文皇，詞色不屈，命收之，引頸受刃，白氣沖天，屍僵立不仆。
HCH_013_018_000289	太常少卿廖昇，聞茹瑺使燕軍還，痛哭與家人訣，自縊死。
HCH_013_018_000290	監察御史王度，奉敕勞軍徐州，比還，鳳陽失守，方孝孺與度書，誓死社稷。
HCH_013_018_000291	壬午秋，坐黨戍賀縣千戶所，以語不遜論死，誅其族。
HCH_013_018_000292	監察御史董鏞，會諸御史中有氣節者于鏞所，相誓以死。
HCH_013_018_000293	後被執論死，女發教坊，姻族死戍者二百三十人。
HCH_013_018_000294	監察御史甘霖，被執，抗言求死，從容就戮。
HCH_013_018_000295	子孫相戒，不復求仕。
HCH_013_018_000296	御史林英，劾李景隆誤國，謫知瑞安。
HCH_013_018_000297	賜還，同王叔英募兵廣德，力屈，自經。
HCH_013_018_000298	妻宋氏繫獄，亦自經死。
HCH_013_018_000299	監察御史丁志，方燕兵逼京城，謂妻韓氏曰：「師至城必克，吾惟一死報國。汝其攜幼子潛歸，撫之，以延丁氏後。」
HCH_013_018_000300	及兵入，被執，不屈，死之。
HCH_013_018_000301	晉府長史龍鐔，被執，不屈，死之。
HCH_013_018_000302	有收其遺骨，得所自書贊云：「捐生固殞，弗事二主。別父與兄，忍慟肝腑。盡忠為臣，盡孝為子。二端于我，歸于一所。」
HCH_013_018_000303	宗人府經歷宋徵，嘗上疏請削罪宗屬籍，數言李景隆失律，懷二心。
HCH_013_018_000304	被執，責問不屈，遂磔之，誅其族。
HCH_013_018_000305	徽州知府黃希范，聞金川門失守，素服不治事，坐與長史程通善，嘗共上防禦策，論死，籍其家。
HCH_013_018_000306	遼府長史程通，上防禦燕兵數千言。
HCH_013_018_000307	衛士紀綱者，方幸遼王，通輒辱之，文皇即位，綱乘間言通有封事指斥，遂械通論死，家人戍遼。
HCH_013_018_000308	簿錄其家，得遺書數百卷而已。
HCH_013_018_000309	賓州知州蔡運，有善政，遜國後，論死，百姓憐而思之。
HCH_013_018_000310	燕山衛卒儲福，建文末，攜母妻逃去。
HCH_013_018_000311	文皇即位，錄戍卒入衛，福在錄中，挈妻母行，仰天哭曰：「吾雖一介賤卒，義不為叛逆之人。」
