HCH_012_213_000302	進拱少師兼太子太師、尚書、大學士，改建極殿。
HCH_012_213_000303	拱以邊境稍寧，恐將士惰玩，復請敕邊臣及時閒暇，嚴為整頓，仍時遣大臣閱視。
HCH_012_213_000304	帝皆從之。
HCH_012_213_000305	遼東奏捷，進柱國、中極殿大學士。
HCH_012_213_000306	尋考察科道，拱請與都察院同事。
HCH_012_213_000307	時大學士趙貞吉掌都察院，持議稍異同。
HCH_012_213_000308	給事中韓楫劾貞吉有所私庇。
HCH_012_213_000309	貞吉疑拱嗾之，遂抗章劾拱，拱亦疏辨。
HCH_012_213_000310	帝不直貞吉，令致仕去。
HCH_012_213_000311	拱既逐貞吉，專橫益著。
HCH_012_213_000312	尚寶卿劉奮庸上疏陰斥之，給事中曹大埜疏劾其不忠十事，皆謫外任。
HCH_012_213_000313	拱初持清操，後其門生、親串頗以賄聞，致物議。
HCH_012_213_000314	帝終眷拱不衰也。
HCH_012_213_000315	始拱為祭酒，居正為司業，相友善，拱亟稱居正才。
HCH_012_213_000316	及是李春芳、陳以勤皆去，拱為首輔，居正肩隨之。
HCH_012_213_000317	拱性直而傲，同官殷士儋輩不能堪，居正獨退然下之，拱不之察也。
HCH_012_213_000318	馮保者，中人，性黠，次當掌司禮監，拱薦陳洪及孟沖，帝從之，保以是怨拱。
HCH_012_213_000319	而居正與保深相結。
HCH_012_213_000320	六年春，帝得疾，大漸，召拱與居正、高儀受顧命而崩。
HCH_012_213_000321	初，帝意專屬閣臣，而中官矯遺詔命與馮保共事。
HCH_012_213_000322	神宗即位，拱以主上幼沖，懲中官專政，條奏請詘司禮權，還之內閣。
HCH_012_213_000323	又命給事中雒遒、程文合疏攻保，而己從中擬旨逐之。
HCH_012_213_000324	拱使人報居正，居正陽諾之，而私以語保。
HCH_012_213_000325	保訴於太后，謂拱擅權，不可容。
HCH_012_213_000326	太后頷之。
HCH_012_213_000327	明日，召群臣入，宣兩宮及帝詔。
HCH_012_213_000328	拱意必逐保也，急趨入。
HCH_012_213_000329	比宣詔，則數拱罪而逐之。
HCH_012_213_000330	拱伏地不能起，居正掖之出，僦騾車出宣武門。
HCH_012_213_000331	居正乃與儀請留拱，弗許。
HCH_012_213_000332	請得乘傳，許之。
HCH_012_213_000333	拱既去，保憾未釋。
HCH_012_213_000334	復構王大臣獄，欲連及拱，已而得寢。
HCH_012_213_000335	居家數年，卒。
HCH_012_213_000336	居正請復其官，與祭葬如例。
HCH_012_213_000337	中旨給半葬，祭文仍寓貶詞雲。
HCH_012_213_000338	久之，廷議論拱功，贈太師，諡文襄，廕嗣子務觀為尚寶丞。
HCH_012_213_000339	郭樸，字質夫，安陽人。
HCH_012_213_000340	嘉靖十四年進士。
HCH_012_213_000341	選庶吉士。
HCH_012_213_000342	累官禮部右侍郎，入直西苑。
HCH_012_213_000343	歷吏部左、右侍郎兼太子賓客。
HCH_012_213_000344	南京禮部缺尚書，帝憐樸久次，特加太子少保擢任之。
HCH_012_213_000345	樸辭曰：「幸與撰述，不欲遠離闕下。」
HCH_012_213_000346	帝大喜，命即以太子少保、禮部尚書、詹事府侍直如故。
HCH_012_213_000347	頃之，吏部尚書歐陽必進罷，即以樸代之。
HCH_012_213_000348	越二年，以父喪去。
HCH_012_213_000349	及嚴訥由吏部入閣，帝謀代者。
HCH_012_213_000350	時董份以工部尚書行吏部左侍郎事，方受帝眷，而為人貪狡無行。
HCH_012_213_000351	徐階慮其代訥，急言於帝，起樸故官。
HCH_012_213_000352	樸固請終制，不許。
HCH_012_213_000353	尋以考績，加太子太保。
HCH_012_213_000354	四十五年，兼武英殿大學士，入預機務，與高拱並命。
HCH_012_213_000355	階早貴，權重，春芳、訥事之謹，至不敢講鈞禮。
HCH_012_213_000356	而樸與拱鄉里相得，事階稍倨，拱尤負才自恣。
HCH_012_213_000357	及世宗崩，階草遺詔，盡反時政之不便者。
HCH_012_213_000358	拱與樸不得與聞，大恚，兩人遂與階有隙。
HCH_012_213_000359	言路劾拱者多及樸。
HCH_012_213_000360	拱謝病歸，樸不自安，亦求去。
HCH_012_213_000361	帝固留之。
HCH_012_213_000362	時樸已加至少傅、太子太傅矣。
HCH_012_213_000363	御史龐尚鵬、凌儒等攻不止，遂三疏乞歸。
HCH_012_213_000364	家居二十餘年卒。
HCH_012_213_000365	贈太傅，諡文簡。
HCH_012_213_000366	樸為人長者，兩典銓衡，以廉著。
HCH_012_213_000367	輔政二年無過。
HCH_012_213_000368	特以拱故，不容於朝，時頗有惜之者。
HCH_012_213_000369	張居正，字叔大，江陵人。
HCH_012_213_000370	少穎敏絕倫。
HCH_012_213_000371	十五為諸生。
HCH_012_213_000372	巡撫顧璘奇其文，曰：「國器也。」
HCH_012_213_000373	未幾，居正舉於鄉，璘解犀帶以贈，且曰：「君異日當腰玉，犀不足溷子。」
HCH_012_213_000374	嘉靖二十六年，居正成進士，改庶吉士。
HCH_012_213_000375	日討求國家典故。
HCH_012_213_000376	徐階輩皆器重之。
HCH_012_213_000377	授編修，請急歸，亡何還職。
HCH_012_213_000378	居正為人，頎面秀眉目，須長至腹。
HCH_012_213_000379	勇敢任事，豪傑自許。
HCH_012_213_000380	然沉深有城府，莫能測也。
HCH_012_213_000381	嚴嵩為首輔，忌階，善階者皆避匿。
HCH_012_213_000382	居正自如，嵩亦器居正。
HCH_012_213_000383	遷右中允，領國子司業事。
HCH_012_213_000384	與祭酒高拱善，相期以相業。
HCH_012_213_000385	尋還理坊事，遷侍裕邸講讀。
