HCH_012_232_000266	詔削籍，奪封誥。
HCH_012_232_000267	崇禎初復官。
HCH_012_232_000268	三才才大而好用機權，善籠絡朝士。
HCH_012_232_000269	撫淮十三年，結交遍天下。
HCH_012_232_000270	性不能持廉，以故為眾所毀。
HCH_012_232_000271	其後擊三才者，若邵輔忠、徐兆魁輩，鹹以附魏忠賢名麗逆案。
HCH_012_232_000272	而推轂三才，若顧憲成、鄒元標、趙南星、劉宗周，皆表表為時名臣。
HCH_012_232_000273	故世以三才為賢。
HCH_012_232_000274	贊曰：朋黨之成也，始於矜名，而成於惡異。
HCH_012_232_000275	名盛則附之者眾。
HCH_012_232_000276	附者眾，則不必皆賢而胥引之，樂其與己同也。
HCH_012_232_000277	名高則毀之者亦眾。
HCH_012_232_000278	毀者不必不賢而怒而斥之，惡其與己異也。
HCH_012_232_000279	同異之見岐於中，而附者毀者爭勝而不已，則黨日眾，而為禍熾矣。
HCH_012_232_000280	魏允貞、王國、余懋衡皆以卓犖閎偉之概，為眾望所歸。
HCH_012_232_000281	李三才英邁豪俊，傾動士大夫，皆負重名。
HCH_012_232_000282	當世黨論之盛，數人者實為之魁，則好同惡異之心勝也。
HCH_012_232_000283	《易》曰：「渙其群，元吉。」
HCH_012_232_000284	知此者，其惟聖人乎！
