HCH_012_239_000322	二十一年以總兵官鎮保定。
HCH_012_239_000323	二十四年徙延綏。
HCH_012_239_000324	明年再徙鎮寧夏。
HCH_012_239_000325	著力兔、宰僧入犯，逆戰水塘溝，俘斬百二十。
HCH_012_239_000326	寇益糾諸部連犯平虜、興武，桐督諸將馬孔英、鄧鳳、蕭如蕙等連破之，斬首二百餘級。
HCH_012_239_000327	而延綏將士亦數搗巢，諸部長懼，乞款，詞甚哀。
HCH_012_239_000328	三十年，二鎮撫臣孫維城、黃嘉善協謀撫之，乃復貢市。
HCH_012_239_000329	論功，文臣自內閣以下悉進官。
HCH_012_239_000330	桐以先去職，但賚銀幣，許復用而已。
HCH_012_239_000331	久之，卒於家。
HCH_012_239_000332	桐自偏裨至大帥，積首功一千八百，時服其勇。
HCH_012_239_000333	弟松，字來清。
HCH_012_239_000334	有膽智，勇健絕倫。
HCH_012_239_000335	由舍人從軍，累功為寧夏守備。
HCH_012_239_000336	萬曆二十二年，卜失兔掠張春井，大入下馬關。
HCH_012_239_000337	松偕遊擊史見、李經以二千餘騎邀擊馬蓮井，小勝，誤入伏中，見戰死，松、經皆重傷，士卒死過半。
HCH_012_239_000338	麻貴援軍至，松復裹創力戰，寇始敗走。
HCH_012_239_000339	時松已進遊擊將軍，論功遷延綏參將。
HCH_012_239_000340	貴大舉搗巢，松以右軍出清平塞，多所斬獲，進副總兵。
HCH_012_239_000341	尋以本官改寧夏東路。
HCH_012_239_000342	松為將廉，尚氣不能容物。
HCH_012_239_000343	常因小忿薙髮為僧，部議聽其歸。
HCH_012_239_000344	尋起孤山副總兵。
HCH_012_239_000345	三十三年擢署都督僉事，代李如樟鎮延綏。
HCH_012_239_000346	明年，套寇犯安邊、懷遠，松大破之，改鎮薊州。
HCH_012_239_000347	三十六年夏，代李成梁鎮遼東。
HCH_012_239_000348	十二月敗敵連山驛。
HCH_012_239_000349	賴暈歹者，朶顏長昂子也，狡黠為邊患。
HCH_012_239_000350	與從父蟒金潛入薊鎮河流口，大掠去。
HCH_012_239_000351	復結黃台吉謀犯喜峰口。
HCH_012_239_000352	松受總督王象乾指，潛搗黃台吉帳，以牽薊寇。
HCH_012_239_000353	乃從寧遠中左所夜馳至哈流兔，掩殺拱兔部落百四十餘級。
HCH_012_239_000354	以大捷聞，邀重賞，副使馬拯謂拱兔內屬，不當勦，彼且復讐，與松相訐。
HCH_012_239_000355	松忿，邀賞愈急，詔予之。
HCH_012_239_000356	拱兔果以無罪見勦怒，小歹青又數激之，乃以五千騎攻陷大勝堡，執守將耿尚仁支解之。
HCH_012_239_000357	深入小凌河，肆焚掠。
HCH_012_239_000358	遊擊于守志遇於山口，大敗，死千餘人，守志亦重創。
HCH_012_239_000359	松駐大凌河，不敢救。
HCH_012_239_000360	遼人多咎松，朝議謂松前僅抵錦州邊十里，未嘗出塞，所殺乃保塞部落，悉縛殺之，非陣斬。
HCH_012_239_000361	松愈忿，言撫按諸臣附會馬拯，害其奇功。
HCH_012_239_000362	自提兵出塞，將搗巢以雪前恥，而所得止五級，士馬多陷大凌河。
HCH_012_239_000363	松益慚憤，數欲自經，盡焚其鎧冑器仗，置一切疆事弗問。
HCH_012_239_000364	兵部以聞，乃勒松歸里，而以王威代之。
HCH_012_239_000365	松既廢，時多惜其勇，然惡其僨事，無推轂之者。
HCH_012_239_000366	至四十三年，河套寇大入，令松以輕騎搗火落赤營。
HCH_012_239_000367	獲首功二百有奇，復敘用。
HCH_012_239_000368	逾二年，薊遼多事，特設總兵官鎮山海關，以松任之。
HCH_012_239_000369	四十六年，張承廕戰歿，詔松馳援遼陽。
