HCH_012_028_000306	六月丙戌，雷震奉先殿鴟吻，槅扇皆裂，銅鐶盡毀。
HCH_012_028_000307	嘉靖四十一年二月乙亥，德州九龍廟雨魚，大者數寸。
HCH_012_028_000308	崇禎十年三月，錢塘江木鏚化爲魚，有首尾未變者。
HCH_012_028_000309	洪武五年六月，濟南屬縣及青、萊二府蝗。
HCH_012_028_000310	七月，徐州、大同蝗。
HCH_012_028_000311	六年七月，北平、河南、山西、山東蝗。
HCH_012_028_000312	七年二月，平陽、太原、汾州、歷城、汲縣蝗。
HCH_012_028_000313	六月，懷慶、真定、保定、河間、順德、山東、山西蝗。
HCH_012_028_000314	八年夏，北平、真定、大名、彰德諸府屬縣蝗。
HCH_012_028_000315	建文四年夏，京師飛蝗蔽天，旬餘不息。
HCH_012_028_000316	永樂元年夏，山東、山西、河南蝗。
HCH_012_028_000317	三年五月，延安、濟南蝗。
HCH_012_028_000318	十四年七月，畿內、河南、山東蝗。
HCH_012_028_000319	宣德四年六月，順天州縣蝗。
HCH_012_028_000320	九年七月，兩畿、山西、山東、河南蝗蝻覆地尺許，傷稼。
HCH_012_028_000321	十年四月，兩京、山東、河南蝗蝻傷稼。
HCH_012_028_000322	正統二年四月，北畿、山東、河南蝗。
HCH_012_028_000323	五年夏，順天、河間、真定、順德、廣平、應天、鳳陽、淮安、開封、彰德、兗州蝗。
HCH_012_028_000324	六年夏，順天、保定、真定、河間、順德、廣平、大名、淮安、鳳陽蝗。
HCH_012_028_000325	秋，彰德、衛輝、開封、南陽、懷慶、太原、濟南、東昌、青、萊、兗、登諸府及遼東廣寧前、中屯二衛蝗。
HCH_012_028_000326	七年五月，順天、廣平、大名、河間、鳳陽、開封、懷慶、河南蝗。
HCH_012_028_000327	八年夏，兩畿蝗。
HCH_012_028_000328	十二年夏，保定、淮安、濟南、開封、河南、彰德蝗。
HCH_012_028_000329	秋，永平、鳳陽蝗。
HCH_012_028_000330	十三年七月，飛蝗蔽天。
HCH_012_028_000331	十四年夏，順天、永平、濟南、青州蝗。
HCH_012_028_000332	景泰五年六月，寧國、安慶、池州蝗。
HCH_012_028_000333	七年五月，畿內蝗蝻延蔓。
HCH_012_028_000334	六月，淮安、揚州、鳳陽大旱蝗。
HCH_012_028_000335	九月，應天及太平七府蝗。
HCH_012_028_000336	天順元年七月，濟南、杭州、嘉興蝗。
HCH_012_028_000337	二年四月，濟南、兗州、青州蝗。
HCH_012_028_000338	成化三年七月，開封、彰德、衛輝蝗。
HCH_012_028_000339	九年六月，河間蝗。
HCH_012_028_000340	七月，真定蝗。
HCH_012_028_000341	八月，山東旱蝗。
HCH_012_028_000342	十九年五月，河南蝗。
HCH_012_028_000343	二十二年三月，平陽蝗。
HCH_012_028_000344	四月，河南蝗。
HCH_012_028_000345	七月，順天蝗。
HCH_012_028_000346	弘治三年，北畿蝗。
HCH_012_028_000347	四年夏，淮安、揚州蝗。
HCH_012_028_000348	六年六月，飛蝗自東南向西北，日爲掩者三日。
HCH_012_028_000349	七年三月，兩畿蝗。
HCH_012_028_000350	嘉靖三年六月，順天、保定、河間、徐州蝗。
HCH_012_028_000351	隆慶三閏六月，山東旱蝗。
HCH_012_028_000352	萬曆十五年七月，江北蝗。
HCH_012_028_000353	十九年夏，順德、廣平、大名蝗。
HCH_012_028_000354	三十七年九月，北畿、徐州、山東蝗。
HCH_012_028_000355	四十三年七月，山東旱蝗。
HCH_012_028_000356	四十四年四月，復蝗。
HCH_012_028_000357	七月，常州、鎮江、淮安、揚州、河南蝗。
HCH_012_028_000358	九月，江寧、廣德蝗蝻大起，禾黍竹樹俱盡。
HCH_012_028_000359	四十五年，北畿旱蝗。
HCH_012_028_000360	四十六年，畿南四府又蝗。
HCH_012_028_000361	四十七年八月，濟南、東昌、登州蝗。
HCH_012_028_000362	天啓元年七月，順天蝗。
HCH_012_028_000363	五年六月，濟南飛蝗蔽天，田禾俱盡。
HCH_012_028_000364	六年十月，開封旱蝗。
HCH_012_028_000365	崇禎八年七月，河南蝗。
HCH_012_028_000366	十年六月，山東、河南蝗。
HCH_012_028_000367	十一年六月，兩京、山東、河南大旱蝗。
HCH_012_028_000368	十三年五月，兩京、山東、河南、山西、陝西大旱蝗。
HCH_012_028_000369	十四年六月，兩京、山東、河南、浙江大旱蝗。
HCH_012_028_000370	嘉靖七年，杭州民家有豕，肉膜間生字。
HCH_012_028_000371	萬曆二十三年春，三河民家生八豕，一類人形，手足俱備，額上一目。
HCH_012_028_000372	三十八年四月，燕河路營生豕，一身二頭，六蹄二尾。
HCH_012_028_000373	六月，大同後衛生豕，兩頭四眼四耳。
HCH_012_028_000374	四十七年六月，黃縣生豕，雙頭四耳，一身八足。
