HCH_012_018_000332	六月辛卯，倭犯海豐，俞大猷破之。
HCH_012_018_000333	冬十二月，南韶賊起，守備賀鐸、指揮蔡胤元被執死之。
HCH_012_018_000334	俺答犯山西，遊擊梁平、守備祁謀戰死。
HCH_012_018_000335	是年，西番、哈密、安南入貢，魯迷國貢獅子。
HCH_012_018_000336	四十四年春三月丁巳，賜范應期等進士及第、出身有差。
HCH_012_018_000337	己未，袁煒致仕。
HCH_012_018_000338	辛酉，嚴世蕃伏誅。
HCH_012_018_000339	是月，土蠻犯遼東，都指揮線補袞、楊維藩戰死。
HCH_012_018_000340	夏四月庚辰，吏部尚書嚴訥、禮部尚書李春芳並兼武英殿大學士，預機務。
HCH_012_018_000341	壬午，俺答犯肅州，總兵官劉承業禦卻之。
HCH_012_018_000342	六月甲戌，芝生睿宗原廟柱，告廟受賀，遂建玉芝宮。
HCH_012_018_000343	秋八月壬午，獲仙藥於御座，告廟。
HCH_012_018_000344	冬十一月癸卯，嚴訥致仕。
HCH_012_018_000345	戊申，奉安獻皇帝、后神主於玉芝宮。
HCH_012_018_000346	是年，琉球入貢。
HCH_012_018_000347	四十五年春二月癸亥，戶部主事海瑞上疏，下錦衣衞獄。
HCH_012_018_000348	是月，俞大猷討廣東山賊，大破之。
HCH_012_018_000349	浙江、江西礦賊陷婺源。
HCH_012_018_000350	三月己未，吏部尚書郭朴兼武英殿大學士，禮部尚書高拱兼文淵閣大學士，預機務。
HCH_012_018_000351	夏四月壬戌朔，日有食之。
HCH_012_018_000352	丙戌，俺答犯遼東。
HCH_012_018_000353	六月丙子，旱，親禱雨於凝道雷軒，越三日雨，羣臣表賀。
HCH_012_018_000354	秋七月乙未，俺答犯萬全右衞。
HCH_012_018_000355	冬十月丁卯，犯固原，總兵官郭江敗死。
HCH_012_018_000356	癸酉，犯偏頭關。
HCH_012_018_000357	閏月甲辰，犯大同，參將崔世榮力戰死。
HCH_012_018_000358	十一月己未，帝不豫。
HCH_012_018_000359	十二月庚子，大漸，自西苑還乾清宮。
HCH_012_018_000360	是日崩，年六十，遺詔裕王嗣位。
HCH_012_018_000361	隆慶元年正月，上尊諡，廟號世宗，葬永陵。
HCH_012_018_000362	贊曰：世宗御極之初，力除一切弊政，天下翕然稱治。
HCH_012_018_000363	顧迭議大禮，輿論沸騰，倖臣假托，尋興大獄。
HCH_012_018_000364	夫天性至情，君親大義，追尊立廟，禮亦宜之；然升祔太廟，而躋於武宗之上，不已過乎。
HCH_012_018_000365	若其時紛紜多故，將疲於邊，賊訌於內，而崇尚道教，享祀弗經，營建繁興，府藏告匱，百餘年富庶治平之業，因以漸替。
HCH_012_018_000366	雖剪剔權奸，威柄在御，要亦中材之主也矣。
