HCH_012_321_000238	官軍進擊，其頭目范仰等已率男婦千六百人降，利雖求撫，願以所部來歸，而止俄樂不出，造軍器未已，必當進兵。
HCH_012_321_000239	奏至，會仁宗以踐阼大赦天下，因敕智善撫之，而利已寇茶籠州，敗方政軍，殺指揮伍雲。
HCH_012_321_000240	利未叛時，與鎮守中官山壽善。
HCH_012_321_000241	至是壽還朝，力言利與己相信，今往諭之，必來歸。
HCH_012_321_000242	帝曰：「此賊狡詐，若為所紿，則其勢益熾，不易制也。」
HCH_012_321_000243	壽叩頭言：「如臣往諭，而利不來，臣當萬死。」
HCH_012_321_000244	帝頷之，遣壽齎敕授利清化知府，慰諭甚至。
HCH_012_321_000245	敕甫降，利已寇清化，殺都指揮陳忠。
HCH_012_321_000246	利得敕，無降意，即借撫愚守臣，佯言俟秋涼赴官，而寇掠不已。
HCH_012_321_000247	時洪熙改元，鑄將軍印分頒邊將，智得征夷副將軍印，又命安平伯李安往佐之。
HCH_012_321_000248	智素無將略，憚賊，因借撫以愚中朝，且與方政迕，遂頓兵不進。
HCH_012_321_000249	賊益無所忌，再圍茶籠，智等坐視不救。
HCH_012_321_000250	閱七月，城中糧盡，巡按御史以聞，奏至而仁宗崩。
HCH_012_321_000251	宣宗初即位，敕責智及三司官。
HCH_012_321_000252	智等不為意，茶籠遂陷，知州琴彭死之。
HCH_012_321_000253	尚書掌布按二司陳洽言：「利雖乞降，內攜貳，既陷茶籠，復結玉麻土官、老撾酋長與之同惡。始言俟秋涼，今秋已過，復言與參政梁汝笏有怨，乞改授茶籠州，而遣逆黨潘僚、路文律等往嘉興、廣威諸州招集徒眾，勢日滋蔓。乞命總兵者速行剿滅。」
HCH_012_321_000254	奏上，為降敕切責，期來春平賊。
HCH_012_321_000255	智始懼，與政薄可留關，敗還，至茶籠又敗。
HCH_012_321_000256	政勇而寡謀，智懦而多忌，素不相能，而山壽專招撫，擁兵乂安不救，是以屢敗。
HCH_012_321_000257	宣德元年春，事聞，復降敕切責。
HCH_012_321_000258	時渠魁未平，而小寇蠭起，美留潘可利助逆，宣化周莊、太原黃菴等結雲南寧遠州紅衣賊大掠。
HCH_012_321_000259	帝敕沐晟剿寧遠，又發西南諸衞軍萬五千、弩手三千赴交阯，且敕老撾不得容叛人。
HCH_012_321_000260	四月，命成山侯王通為征夷將軍，都督馬瑛為參將，往討黎利。
HCH_012_321_000261	削陳智、方政職，充為事官。
HCH_012_321_000262	通未至，賊犯清化。
HCH_012_321_000263	政不出戰，都指揮王演擊敗之。
HCH_012_321_000264	詔大赦交阯罪人，黎利、潘僚降亦授職；停採辦金銀、香貨，冀以弭賊，而賊無悛心。
