HCH_015_029_000246	北虜動，明年，詔假廣之節，出淮上。
HCH_015_029_000247	廣之家在彭、沛，啓上求招誘郷里部曲，北取彭城，上許之。
HCH_015_029_000248	以廣之爲使持節、都督淮北軍事、平北將軍、徐州刺史。
HCH_015_029_000249	廣之引軍過淮，無所剋獲，坐免官。
HCH_015_029_000250	尋除征虜將軍，加散騎常侍、太子右率。
HCH_015_029_000251	世祖卽位，遷長沙王鎮軍司馬，南東海太守，司徒司馬，尋陽相，南新蔡太守，安陸王北中郎左軍司馬、廣陵太守，將軍如故。
HCH_015_029_000252	出爲持節、都督徐州諸軍事、徐州刺史，將軍如故。
HCH_015_029_000253	還爲光祿大夫、左將軍、司徒司馬。
HCH_015_029_000254	遷右衞將軍，轉散騎常侍，前將軍。
HCH_015_029_000255	世祖見廣之子珍國應堪大用，謂廣之曰：「卿可謂老蚌也。」
HCH_015_029_000256	廣之曰：「臣不敢辭。」
HCH_015_029_000257	上大笑。
HCH_015_029_000258	除游擊將軍，不拜。
HCH_015_029_000259	十一年，虜動，假廣之節，招募。
HCH_015_029_000260	隆昌元年，遷給事中、左衞將軍。
HCH_015_029_000261	時豫州刺史崔慧景密與虜通，有異志。
HCH_015_029_000262	延興元年，以廣之爲持節、督豫州郢州之西陽司州之汝南二郡軍事、平西將軍、豫州刺史。
HCH_015_029_000263	預廢鬱林勳，增封三百戶。
HCH_015_029_000264	高宗誅害諸王，遣廣之征安陸王子敬於江陽，給鼓吹一部。
HCH_015_029_000265	事平，仍改授使持節、散騎常侍、都督江州諸軍事、鎮南將軍、江州刺史。
HCH_015_029_000266	進封應城縣公，食邑二千戶。
HCH_015_029_000267	建武二年，虜圍司州，遣廣之持節督司州征討，解圍。
HCH_015_029_000268	廣之未至百餘里，虜退，乃還。
HCH_015_029_000269	明年，遷侍中、鎮軍將軍，給扶。
HCH_015_029_000270	四年，卒。
HCH_015_029_000271	年七十三。
HCH_015_029_000272	追贈散騎常侍、車騎將軍，諡曰莊公。
HCH_015_029_000273	史臣曰：公侯扞城，守國之所資也。
HCH_015_029_000274	必須久習兵事，非一戰之力。
HCH_015_029_000275	安國等致效累朝，聲勤克舉，竝識時變，咸知附託。
HCH_015_029_000276	盤龍驍勇，獨冠三軍，匈奴之憚飛將，曾不若也。
HCH_015_029_000277	壯矣哉！
HCH_015_029_000278	贊曰：安國舊將，協同遷社，同裨九江，翊從中夏。
HCH_015_029_000279	盤龍殺敵，洞開胡馬。
HCH_015_029_000280	廣之末年，旌旄驟把。
HCH_015_029_000281	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
