HCH_012_155_000292	戰白溝、真定、夾河鹹有功，屢遷指揮使，留守保定。
HCH_012_155_000293	都督韓觀帥師十二萬來攻。
HCH_012_155_000294	廣以孤軍力拒四十餘日，伺間破走之。
HCH_012_155_000295	永樂九年進大寧都指揮僉事。
HCH_012_155_000296	董建北京。
HCH_012_155_000297	既而領神機營，從北征，充驍騎將軍。
HCH_012_155_000298	十一年練軍山西。
HCH_012_155_000299	明年從征九龍口，為前鋒。
HCH_012_155_000300	賊數萬憑岸，廣命挽強士射之。
HCH_012_155_000301	萬矢齊發，死者無算。
HCH_012_155_000302	乘勝夾擊，賊大敗。
HCH_012_155_000303	論功，進都督僉事。
HCH_012_155_000304	仁宗嗣位，擢左都督，佩鎮朔將軍印，鎮宣府。
HCH_012_155_000305	宣德三年，請軍衛如郡縣例，立風雲雷雨山川社稷壇。
HCH_012_155_000306	六年以宣府糧少，請如開平、獨石召商中鹽納粟，以足兵食。
HCH_012_155_000307	俱從之。
HCH_012_155_000308	明年，帝從戶部議，令他衛軍戍宣府者，悉遣還屯種。
HCH_012_155_000309	廣上言：「臣所守邊一千四百餘里，敵人窺伺，竊發無時。脫有警，征兵數百里外，勢豈能及？屯種之議，臣愚未見其可。」
HCH_012_155_000310	帝以邊卒戍守有餘，但命永樂中調戍者勿遣。
HCH_012_155_000311	正統初，朝議以脫歡雖款塞，狡謀未可測，命廣及他鎮總兵官陳懷、李謙、王彧圖上方略。
HCH_012_155_000312	廣等各上議，大要謂：「邊寇出沒不常，惟守禦為上策。宜分兵扼要害，而間遣精稅巡塞外，遇敵則量力戰守，間諜以偵之，輕兵以躡之。寇來無所得，去有所懼，則邊患可少弭。」
HCH_012_155_000313	帝納其言。
HCH_012_155_000314	六年十一月以禦敵功，封永寧伯，祿千二百石，仍鎮宣府。
HCH_012_155_000315	八年乞致仕。
HCH_012_155_000316	優詔不許。
HCH_012_155_000317	明年十月召還陛見。
HCH_012_155_000318	帝憫其老，免常朝。
HCH_012_155_000319	是月卒，年八十二。
HCH_012_155_000320	謚襄毅。
HCH_012_155_000321	廣長身多力，奮跡行伍至大將，大小百餘戰，未嘗挫衄。
HCH_012_155_000322	在宣府二十年，修屯堡，嚴守備，增驛傳，又請頒給火器於各邊。
