HCH_012_306_000224	瑾忽怒福，取詔旨報曰：「湖廣軍民困敝，朕甚憫之。福任意苛斂，甚不稱朕意，令自劾，吏部舉堪代者以聞。」
HCH_012_306_000225	福引罪求罷，乃召還。
HCH_012_306_000226	四年復命核遼東屯田。
HCH_012_306_000227	福性故刻深，所攜同知劉玉等又奉行過當。
HCH_012_306_000228	軍士不能堪，焚掠將吏及諸大姓家。
HCH_012_306_000229	守臣發帑撫慰之。
HCH_012_306_000230	亂始定。
HCH_012_306_000231	給事中徐仁等極論之。
HCH_012_306_000232	瑾迫公議，勒福致仕。
HCH_012_306_000233	明年瑾敗，籍其貲，則福在湖廣時所饋白金數十萬兩，封識宛然，遂遣戍固原。
HCH_012_306_000234	李憲，岐山人。
HCH_012_306_000235	為吏科給事中，諂事瑾，每率眾請事於瑾，盛氣獨前，自號六科都給事中。
HCH_012_306_000236	時袖白金示同列曰：「此劉公所遺也。」
HCH_012_306_000237	瑾敗，虞禍及，亦劾瑾六事。
HCH_012_306_000238	瑾在獄，笑曰：「李憲亦劾我乎？」
HCH_012_306_000239	卒坐除名。
HCH_012_306_000240	張龍，順天人。
HCH_012_306_000241	官行人，邪媚無賴，與壽寧侯通譜系，因得交諸中人、貴戚，恃勢奪人田宅。
HCH_012_306_000242	正德三年夤緣為兵科給事中，出核遼東軍餉，得腐豆四石。
HCH_012_306_000243	請逮問監守諸臣，罰郎中徐璉以下米三百石有差。
HCH_012_306_000244	瑾以為能，擢通政參議。
HCH_012_306_000245	瑾敗，謫知灤州。
HCH_012_306_000246	後又結朱寧為父，起嘉興同知，遷登州知府。
HCH_012_306_000247	言官彈射無虛月。
HCH_012_306_000248	與山西左布政使倪天民、右布政使陳逵、右參議孫清並貪殘，天下目為「四害」。
HCH_012_306_000249	龍朝覲入都，中旨擢右通政，為寧通中外賄，所乾沒不貲。
HCH_012_306_000250	後以私取賄，為寧所覺，斥逐之。
HCH_012_306_000251	嘉靖初，下獄論死。
HCH_012_306_000252	顧秉謙，昆山人。
HCH_012_306_000253	萬曆二十三年進士。
HCH_012_306_000254	改庶吉士，累官禮部右侍郎，教習庶吉士。
HCH_012_306_000255	天啟元年晉禮部尚書，掌詹事府事。
HCH_012_306_000256	二年，魏忠賢用事，言官周宗建等首劾之。
HCH_012_306_000257	忠賢於是謀結外延諸臣，秉謙及魏廣微率先諂附，霍維華、孫傑之徒從而和之。
HCH_012_306_000258	明年春，秉謙、廣微遂與朱國禎、朱延禧俱入參機務。
HCH_012_306_000259	廣微，南樂人，侍郎允貞子也。
HCH_012_306_000260	萬曆三十二年進士。
HCH_012_306_000261	由庶吉士歷南京禮部侍郎。
HCH_012_306_000262	忠賢用事，以同鄉同姓潛結之，遂召拜禮部尚書。
HCH_012_306_000263	至是，與秉謙俱以原官兼東閣大學士。
HCH_012_306_000264	七月，秉謙晉太子太保，改文淵閣。
HCH_012_306_000265	十一月晉少保、太子太傅。
HCH_012_306_000266	五年正月晉少傅、太子太師、吏部尚書，改建極殿。
HCH_012_306_000267	九月晉少師。
HCH_012_306_000268	秉謙為人，庸劣無恥，而廣微陰狡。
HCH_012_306_000269	趙南星與其父允貞友善，嘗嘆曰：「見泉無子。」
HCH_012_306_000270	見泉，允貞別號也。
HCH_012_306_000271	廣微聞之，恨刺骨。
HCH_012_306_000272	既柄政，三及南星門，閽人辭不見。
HCH_012_306_000273	廣微怫然曰：「他人可拒，相公尊，不可拒也。」
HCH_012_306_000274	益恨南星。
HCH_012_306_000275	楊漣之劾忠賢二十四罪也，忠賢懼，屬廣微為調旨，一如忠賢意。
HCH_012_306_000276	而秉謙以漣疏有「門生宰相」語，怒甚。
HCH_012_306_000277	會孟冬饗廟，且頒朔，廣微偃蹇後至，給事中魏大中、御史李應升連劾之。
HCH_012_306_000278	廣微益憤，遂決意傾善類，與秉謙謀盡逐諸正人，點《縉紳便覽》一冊，若葉向高、韓爌、何如寵、成基命、繆昌期、姚希孟、陳子壯、侯恪、趙南星、高攀龍、喬允升、李邦華、鄭三俊、楊漣、左光鬥、魏大中、黃尊素、周宗建、李應升等百餘人，目為邪黨，而以黃克纘、王永光、徐大化、賈繼春、霍維華等六十餘人為正人，由閹人王朝用進之，俾據是為黜陟。
HCH_012_306_000279	忠賢得內閣為羽翼，勢益張。
HCH_012_306_000280	秉謙、廣微亦曲奉忠賢，若奴役然。
HCH_012_306_000281	葉向高、韓爌相繼罷，何宗彥卒，秉謙遂為首輔。
HCH_012_306_000282	自四年十二月至六年九月，凡傾害忠直，皆秉謙票擬。
HCH_012_306_000283	《三朝要典》之作，秉謙為總裁，復擬御制序冠其首，欲用是鉗天下口。
HCH_012_306_000284	朝廷有一舉動，輒擬旨歸美忠賢，褒贊不已。
HCH_012_306_000285	廣微以劄通忠賢，簽其函曰「內閣家報」，時稱曰「外魏公」。
HCH_012_306_000286	先是，內閣調旨，惟出首輔一人，餘但參議論而已。
HCH_012_306_000287	廣微欲擅柄，謀之忠賢，令眾輔分任，政權始分，後遂沿為故事。
HCH_012_306_000288	楊漣等六人之逮也，廣微實與其謀，秉謙調嚴旨，五日一追比。
HCH_012_306_000289	尚書崔景榮懼其立死杖下，亟請廣微諫止。
HCH_012_306_000290	廣微不自安，疏言：「漣等在今日，誠為有罪之人，在前日實為卿寺之佐。縱使贓私果真，亦當輔付法司，據律論罪，豈可逐日嚴刑，令鎮撫追贓乎？身非木石，重刑之下，就死直須臾耳。以理刑之職，使之追贓，官守安在？勿論傷好生之仁，抑且違祖宗之制，將朝政日亂，與古之帝王大不相侔矣。」
HCH_012_306_000291	疏入，大忤忠賢意。
HCH_012_306_000292	廣微懼，急出景榮手書自明，而忠賢怒已不可解。
HCH_012_306_000293	乃具疏乞休，不許。
HCH_012_306_000294	居兩月，矯詔切責廷臣，中言「朕方率循舊章，而曰『朝政日亂』，朕方祖述堯、舜，而曰『大不相侔』」，蓋即指廣微疏語。
HCH_012_306_000295	廣微益懼，丐秉謙為解，忠賢意少釋。
HCH_012_306_000296	然廣微卒不自安，復三疏乞休，五年八月許之去。
HCH_012_306_000297	廣微先已加少保、太子太傅，改吏部尚書、建極殿大學士，至是復加少傅、太子太師，蔭子中書舍人，賜白金百、坐蟒一、彩幣四表裏，乘傳，行人護歸。
HCH_012_306_000298	典禮優渥，猶用前好故也。
HCH_012_306_000299	居二年，卒於家，贈太傅，恤典如制。
HCH_012_306_000300	秉謙票擬，事事徇忠賢指。
HCH_012_306_000301	初矯旨罪主考丁乾學，又調旨殺漣、光鬥等。
HCH_012_306_000302	惟周順昌、李應升等下詔獄，秉謙請付法司，毋令死非其罪。
HCH_012_306_000303	內臣出鎮，秉謙撰上諭，已復與丁紹軾請罷。
HCH_012_306_000304	二事微有執爭。
HCH_012_306_000305	馮銓既入閣，同黨中日夜交軋，群小亦各有所左右。
HCH_012_306_000306	秉謙不自安，屢疏乞休，後廣微一年致仕去。
HCH_012_306_000307	崇禎元年，為言官祖重曄、徐尚勛、汪應元所糾，命削籍。
HCH_012_306_000308	已，坐交結近侍，入逆案中，論徒三年，贖為民。
HCH_012_306_000309	二年，昆山民積怨秉謙，聚眾焚掠其家。
HCH_012_306_000310	秉謙年八十，倉皇竄漁舟得免，乃獻窖藏銀四萬於朝，寄居他縣以死。
HCH_012_306_000311	廣微亦追論削奪，列逆案遣戍中。
HCH_012_306_000312	自秉謙、廣微當國，政歸忠賢。
HCH_012_306_000313	其後入閣者黃立極、施鳳來、張瑞圖之屬，皆依媚取容，名麗逆案。
HCH_012_306_000314	黃立極，字中五，元城人。
HCH_012_306_000315	萬曆三十二年進士。
HCH_012_306_000316	累官少詹事、禮部侍郎。
HCH_012_306_000317	天啟五年八月，忠賢以同鄉故，擢禮部尚書兼東閣大學士，與丁紹軾、周如磐、馮銓並參機務。
HCH_012_306_000318	時魏廣微、顧秉謙皆以附忠賢居政府。
HCH_012_306_000319	未幾廣微去，如磐卒。
