HCH_012_024_000298	昌平人啟田貴妃墓以葬。
HCH_012_024_000299	明亡。
HCH_012_024_000300	是年夏四月，我大清兵破賊於山海關。
HCH_012_024_000301	五月，入京師，以帝禮改葬，令臣民為服喪三日，諡曰莊烈愍皇帝，陵曰思陵。
HCH_012_024_000302	贊曰：帝承神、熹之後，慨然有為。
HCH_012_024_000303	即位之初，沈機獨斷，刈除奸逆，天下想望治平。
HCH_012_024_000304	惜乎大勢已傾，積習難挽。
HCH_012_024_000305	在廷則門戶糾紛，疆埸則將驕卒惰。
HCH_012_024_000306	兵荒四告，流寇蔓延。
HCH_012_024_000307	遂至潰爛而莫可救，可謂不幸也已。
HCH_012_024_000308	然在位十有七年，不邇聲色，憂勤惕勵，殫心治理。
HCH_012_024_000309	臨朝浩歎，慨然思得非常之材，而用匪其人，益以僨事。
HCH_012_024_000310	乃復信任宦官，布列要地，舉措失當，制置乖方。
HCH_012_024_000311	祚訖運移，身罹禍變，豈非氣數使然哉。
HCH_012_024_000312	迨至大命有歸，妖氛盡掃，而帝得加諡建陵，典禮優厚。
HCH_012_024_000313	是則聖朝盛德度越千古，亦可以知帝之蒙難而不辱其身，為亡國之義烈矣。
