HCH_009_071_000202	詔以南路歲饑，許田獵。
HCH_009_071_000203	其後宋童貫、郭藥師治兵，闍母輒因降人知之，即具奏，語在宋事中。
HCH_009_071_000204	而宗翰、宗望皆請伐宋，於是闍母副宗望伐宋，宗望以闍母屬尊，先皇帝任使有功，請以為都統，己監戰事。
HCH_009_071_000205	於是闍母為都統，掃喝副之，敗郭藥師兵于白河，遂降燕山，以先鋒渡河圍汴，宋人請盟。
HCH_009_071_000206	將士分屯于安肅、雄、霸、廣、信之境，宗望還山西，闍母與劉彥宗留燕京，節制諸軍。
HCH_009_071_000207	八月，複伐宋，大軍克汴州，諸軍屯於城上。
HCH_009_071_000208	城中諸軍潰而西出者十三萬人，闍母、撻懶分擊，大敗之。
HCH_009_071_000209	師還，闍母為元帥左都監，攻河間，下之，大破敵兵萬余于莫州。
HCH_009_071_000210	宗輔為右副元帥，徇地淄、青。
HCH_009_071_000211	闍母與宗弼分兵破山谷諸屯。
HCH_009_071_000212	宋李成兵圍淄州，烏林荅泰欲破之。
HCH_009_071_000213	闍母克濰州。
HCH_009_071_000214	迪古補、術烈速連破趙子昉等兵，至於河上。
HCH_009_071_000215	烏林荅泰欲破敵於靈城鎮。
HCH_009_071_000216	及儀伐康王，闍母欲先定河北，然後進討，太宗乃酌取群議之中，使婁室取陝西，宗翰、宗輔南伐。
HCH_009_071_000217	天會七年，薨，年四十。
HCH_009_071_000218	熙宗時，追封吳國王。
HCH_009_071_000219	天德二年，配享太祖廟廷。
HCH_009_071_000220	正隆，改封譚王。
HCH_009_071_000221	大定二年，徙封魯王，諡莊襄。
HCH_009_071_000222	子宗敘。
HCH_009_071_000223	宗敘，本名德壽，闍母第四子也。
HCH_009_071_000224	奇偉有大志，喜談兵。
HCH_009_071_000225	天德二年，充護衛，授武義將軍。
HCH_009_071_000226	明年，授世襲謀克，擢禦院通進，遷翰林待制，兼修起居注，轉國子司業，兼左補闕。
HCH_009_071_000227	正隆初，轉符寶郎，在宮職凡五年，皆帶劍押領宿衛。
HCH_009_071_000228	遷大宗正丞，以母憂去官。
HCH_009_071_000229	以本官起複，未幾，遷侍衛親軍馬軍都指揮使，改左驍騎都指揮使。
HCH_009_071_000230	明年，海陵幸南京，宗敘至汴。
HCH_009_071_000231	契丹撒八反，宗敘為咸平尹，兼本路兵馬都總管，以甲仗四千付之，許以便宜。
HCH_009_071_000232	宗敘出松亭關，取牛遞于廣寧。
HCH_009_071_000233	聞世宗即位，將歸之。
HCH_009_071_000234	廣甯尹按荅海弟燕京勸宗敘，乃還興中。
HCH_009_071_000235	白彥敬、紇石烈志甯使宗敘奉表降。
HCH_009_071_000236	宗敘見世宗于梁魚務，授甯昌軍節度使。
HCH_009_071_000237	明年二月，契丹攻甯昌，宗敘止有女直、渤海騎兵三十、漢兵百二十人，自將擊之。
HCH_009_071_000238	遇賊千餘騎，漢兵皆散走，宗敘與女直、渤海三十騎盡銳力戰，身被二創，所乘馬中箭而僕，遂為所執。
HCH_009_071_000239	居百餘日，會賊中有臨潢民移刺阿塔等，盜馬授之，得脫歸。
HCH_009_071_000240	宗敘陷賊久，盡得其虛實，見元帥完顏謀衍、平章政事完顏元宜，謂之曰：「賊眾烏合，無紀律，破之易耳。」
HCH_009_071_000241	於是帥府欲授軍職，宗敘見謀衍貪鹵掠，失事機，欲歸白上，不肯受職，曰：「我有機密，須面奏。」
HCH_009_071_000242	是夕，乃遁去，至廣寧，矯取驛馬，馳至京師。
HCH_009_071_000243	而帥府先事以聞，上遣中使詰之曰：「汝為節度，不度眾寡，戰敗被獲，幸得脫歸，乃拒帥府命，輒自乘傳赴都，朕姑置汝罪，可速還軍，並力破賊。」
HCH_009_071_000244	宗敘附奏曰：「臣非辭難者，事須面奏，不得不來。」
HCH_009_071_000245	遂召入，乃條奏賊中虛實，及諸軍進退不合事機狀。
HCH_009_071_000246	詔大臣議，皆以其言為然。
HCH_009_071_000247	是時，已詔僕散忠義代謀衍為元帥進討，於是拜宗敘為兵部尚書，以本職領右翼都統，率宗甯、烏延查刺、烏林荅刺撒兵各千人，號三萬，佐忠義軍。
HCH_009_071_000248	至花道，遇賊，與戰，左翼都統宗亨先敗走，忠義亦引卻，宗敘勒本部遮擊之，麾帳下士三百，舍馬步戰，賊不得逞。
HCH_009_071_000249	大軍整列複至，合勢擊之，賊遂敗去。
HCH_009_071_000250	而元帥右監軍紇石烈志寧率軍至，追及窩斡於陷泉，大破之。
HCH_009_071_000251	複與志甯及徒單克寧，追至七渡河，複大敗之。
HCH_009_071_000252	元帥忠義遂留宗敘自從。
HCH_009_071_000253	賊平，入為右宣徽使。
HCH_009_071_000254	宋兵據海州，將謀深入。
HCH_009_071_000255	詔以宗敘為元帥右監軍，往禦之。
HCH_009_071_000256	宗敘駐山東，分兵據守要害，敵不得西。
HCH_009_071_000257	尋奉詔，與左副元帥紇石烈志甯參議軍事。
HCH_009_071_000258	四年，宗敘入朝，奏曰：「暑月在近，頓兵邊陲，飛挽頗艱，乞俟秋涼進發。」
HCH_009_071_000259	上從其請。
HCH_009_071_000260	及還軍，授以成算，賜襲衣、弓矢。
HCH_009_071_000261	九月，渡淮，宗敘出唐、鄧，比至襄陽，屢戰皆捷。
HCH_009_071_000262	明年，宋人請和，軍還，除河南路統軍使。
HCH_009_071_000263	河決李固渡，分流曹、單之間。
HCH_009_071_000264	詔遣都水監梁肅視河決，宗敘言：「河道填淤不受水，故有決溢之患。今欲河複故道，卒難成功，幸而可塞，它日不免決溢山東，非曹、單比也。沿河數州，驟興大役，人心動搖，恐宋人乘間扇誘，構為邊患。」
HCH_009_071_000265	梁肅亦請聽兩河分流，以殺水勢，遂止不塞。
HCH_009_071_000266	十年，召至京師，拜參知政事，上曰：「卿奏黃河利害，甚合朕意。朕念百姓差調，官吏為奸，率斂星火，所費倍蓰，委積經年，腐朽不可複用，若此等類，百孔千瘡，百姓何以堪之。卿參朝政，擇利而行，以副朕心。」
HCH_009_071_000267	及與上論南邊事，宗敘曰：「南人遣諜來，多得我事情。我遣諜人，多不得其實。蓋彼以厚賞故也。」
HCH_009_071_000268	上曰：「彼以厚利資諜人，徒費其財，何能為也。」
HCH_009_071_000269	十一年，奉詔巡邊。
HCH_009_071_000270	六月，至軍中，將戰，有疾，詔以右丞相紇石烈志甯代，宗敘還。
HCH_009_071_000271	七月，病甚，遺表朝政得失，及邊防利害，力疾，使其子上之。
HCH_009_071_000272	薨，年四十六。
HCH_009_071_000273	上見其遺表，傷悼不已，輟朝，遣宣徽使敬嗣暉致祭，賻銀千兩、彩四十端、絹四百匹。
HCH_009_071_000274	上謂宰臣曰：「宗敘勤勞國家，他人不能及也。」
HCH_009_071_000275	初，宗敘嘗請募貧民戍邊屯田，給以廩粟，既貧者無艱食之患，而富家免更代之勞，得專農業。
HCH_009_071_000276	上善其言，而未行也。
HCH_009_071_000277	十七年，上謂宰臣曰：「戍邊之卒，歲冒寒暑，往來番休，以馬牛往戍，往往皆死。且奪其農時，敗其生業，朕甚閔之。朕欲使百姓安于田裏，而邊圉強固，卿等何術可以致死。」
HCH_009_071_000278	左丞相良弼曰：「邊地不堪耕種，不能久戍，所以番代耳。」
HCH_009_071_000279	上曰：「卿等以此急務為未事耶。往歲，參政宗敘嘗為朕言此事。若宗敘，可謂盡心于國者矣。今以兩路招討司、烏古裏石壘部族、臨潢、泰州等路，分置堡戍，詳定以聞，朕將親覽。」
HCH_009_071_000280	上追念宗敘，聞其子孫家用不給，詔賜錢三千貫。
HCH_009_071_000281	明昌五年，配享世宗廟廷。
