HCH_009_054_000140	泰和元年，定制，自第一等闕外，第二等闕滿，合注縣令者升上令，少一任與中令，少二任與下令，少三任以上者與錄事軍防判，仍減一資，注令。
HCH_009_054_000141	少五任以上者注丞簿。
HCH_009_054_000142	第三等任滿，合注縣令者升中令，少一任與下令，少二任以上者與錄事防判，亦減一資，注令。
HCH_009_054_000143	少四任以上者並注丞簿。
HCH_009_054_000144	已入縣令者，秩滿日與上令，仍依各等資考內通減兩任呈省。
HCH_009_054_000145	已任七品、六品者減一資注授，經保充縣令，明問相同，依資考不待滿升除，見隨朝者考滿升注，既升除後將來覆察公正廉能者不降。
HCH_009_054_000146	宣宗南遷，嘗以御史巡察。
HCH_009_054_000147	興定元年，以縣官或非材，監察御史一過不能備知，遂令每歲兩遣監察御史巡察，仍別選官巡訪，以行黜陟之政。
HCH_009_054_000148	哀宗正大元年，設司農司，自卿而下迭出巡察吏治臧否，以升黜之。
HCH_009_054_000149	舉薦。
HCH_009_054_000150	大定二年，詔隨朝六品、外路五品以上官，各舉廉能官一員。
HCH_009_054_000151	三年，定制，若察得所舉相同者，即議旌除。
HCH_009_054_000152	若聲跡穢濫，所舉官約量降罰。
HCH_009_054_000153	九年，上曰：「朕思得忠廉之臣，與之共治，故嘗命五品以上各舉所知，於今數年矣！以天下之大，豈無其人？由在上者知而不舉也。」
HCH_009_054_000154	參知政事魏子平奏曰：「可令當舉官者，每任須舉一人，視其當否以為旌賞。」
HCH_009_054_000155	上曰：「一任舉一人，則人材或難，恐涉於濫。又少有所犯則罪舉者，故人益畏而不敢舉。宋國被舉之官有犯罪者，所舉官雖宰執亦不免降黜，若有能名，則被遷賞。且人情始慕進，故多廉慎，既得任用，或失所守。宰執自掌黜陟之權，豈可因所舉而置罪耶？」
HCH_009_054_000156	左丞相紇石列良弼曰：「已申前令，命舉之矣。」
HCH_009_054_000157	十年，上曰：「舉人之法，若定三品官當舉幾人，是使小官皆諂媚於上也。惟任滿詢察前政，則得人矣。」
HCH_009_054_000158	十一年，上謂宰臣曰：「昨觀貼黃，五品以下官多闕，而難於得人。凡三品以上，朕則自知，五品以下，不能盡識，卿等曾無一言見舉者。國家之務，朕豈能獨盡哉！蓋嘗思之，欲畫久安之計，興百姓之利，而無良輔佐，雖有所行皆尋常事耳。」
HCH_009_054_000159	十九年，時朝廷既取民所譽望之官而升遷之，後，上以隨路之民赴都舉請者，往往無廉能之實，多為所使而來沽名者，不須舉行。
HCH_009_054_000160	章宗大定二十九年，上以選舉十事，命奉禦合魯諭尚書省定擬。
HCH_009_054_000161	其一曰：「舊格，進士、軍功最高，尚且初除丞簿，第五任縣令升正七品，兩任正七品升六品，三任六品升從五品，兩任從五升正五品，正五三任而後升刺史，計四十餘年始得至刺史也，其他資格出職者可知矣。拘於資格之滯，至於如此，其令提刑司採訪可用之才，減資考而用之，庶使可用者不至衰老。」
HCH_009_054_000162	省臣遂擬，凡三任升者減為兩任，於此資歷內，遇各品闕多，則于第二任未滿人內，選人材、苦辛可以超用者，及外路提刑司所採訪者，升擢之。
HCH_009_054_000163	其二曰：「舊格，隨朝苦辛驗資考升除者，任滿回日一而複降之。如正七滿回降除從七品，從五品回降為六品之類。今若其人果才能，可為免降。」
HCH_009_054_000164	尚書吏部遂擬，今隨朝考滿，遷除外路五品以下職事，並應驗考次職滿有才能者，以本官任滿已前十五月以上、二十月以內，察訪保結呈省。
HCH_009_054_000165	其三曰：「隨路提刑所訪廉能之官，就令定其堪任職事，從宜遷注。」
HCH_009_054_000166	其四曰：「從來宰相不得與求仕官相見，如此何由知天下人材優劣。其許相見，以訪才能。」
HCH_009_054_000167	尚書刑部謂：「在制，求仕官不得於私第謁見達官，違者追一官降等奏除。若有求請饋遺，則以奏聞，仍委御史糾察。」
HCH_009_054_000168	上遂命削此制。
HCH_009_054_000169	其五曰：「舊時，臣下雖知親友有可用者，皆欲遠嫌而不引薦。古者舉賢不避親仇，如祁奚舉仇，仁傑舉子，崔祐甫除吏八百皆親故也。其令五品以上官，各舉所知幾人，違者加以蔽賢之罪。」
HCH_009_054_000170	吏部議，內外五品以上職事官，每歲保廉能官一人。
HCH_009_054_000171	外路五品，隨朝六品願舉者聽。
HCH_009_054_000172	若不如所舉者，各約量降罰。
HCH_009_054_000173	今擬賢而不舉者，亦當約量降罰。
