HCH_012_177_000224	竑往告曰：「民旦夕且為盜。若不吾從，脫有變，當先斬若，然後自請死耳。」
HCH_012_177_000225	中官憚竑威名，不得已從之。
HCH_012_177_000226	竑乃自劾專擅罪，因言「廣運所儲僅支三月，請令死罪以下，得於被災所入粟自贖。」
HCH_012_177_000227	帝復命侍郎鄒幹賫帑金馳赴，聽便宜。
HCH_012_177_000228	竑乃躬自巡行散振，不足，則令沿淮上下商舟，量大小出米。
HCH_012_177_000229	全活百八十五萬餘人。
HCH_012_177_000230	勸富民出米二十五萬餘石，給饑民五十五萬七千家。
HCH_012_177_000231	賦牛種七萬四千餘，復業者五千五百家，他境流移安輯者萬六百餘家。
HCH_012_177_000232	病者給藥，死者具槥，所鬻子女贖還之，歸者予道里費。
HCH_012_177_000233	人忘其饑，頌聲大作。
HCH_012_177_000234	初，帝聞淮、鳳饑，憂甚。
HCH_012_177_000235	及得竑發廣運倉自劾疏，喜曰：「賢哉都御史！活我民矣。」
HCH_012_177_000236	尚書金濂、大學士陳循等皆稱竑功。
HCH_012_177_000237	是年十月，就進左副都御史。
HCH_012_177_000238	時濟寧亦饑，帝遣尚書沈翼賫帑金三萬兩往振。
HCH_012_177_000239	翼散給僅五千兩，余以歸京庫。
HCH_012_177_000240	竑劾翼奉使無狀，請仍易米備振，從之。
HCH_012_177_000241	明年二月上言：「比年饑饉薦臻，人民重困。頃冬春之交，雪深數尺，淮河抵海冰凍四十餘里，人畜僵死萬餘，弱者鬻妻子，強者肆劫奪，衣食路絕，流離載途。陛下端居九重，大臣安處廊廟，無由得見。使目擊其狀，未有不為之流涕者也。陛下嗣位以來，非不敬天愛民，而天變民窮特甚者，臣竊恐聖德雖修而未至，大倫雖正而未篤，賢才雖用而未收其效，邪佞雖屏而未盡其類，仁愛施而實惠未溥，財用省而上供未節，刑罰寬而冤獄未伸，工役停而匠力未息，法制頒而奉行或有更張，賦稅免而有司或仍牽制。有一於此，皆足以幹和召變。伏望陛下修厥德以新厥治。欽天命，法祖宗，正倫理，篤恩義，戒逸樂，絕異端，斯修德有其誠矣。進忠良，遠邪佞，公賞罰，寬賦役，節財用，戒聚斂，卻貢獻，罷工役，斯圖治有其實矣。如是而災變不息，未之有也。」
HCH_012_177_000242	帝褒納之，敕內外臣工同加修省。
HCH_012_177_000243	六年，霍山民趙玉山自稱宋裔，以妖術惑眾為亂，竑捕獲之。
HCH_012_177_000244	先後劾治貪濁吏，革糧長之蠹民者，民大稱便。
HCH_012_177_000245	英宗復辟，革巡撫官，改竑浙江參政。
HCH_012_177_000246	數日，石亨、張軏追論竑擊馬順事，除名，編管江夏。
HCH_012_177_000247	居半歲，帝於宮中得竑疏，見「正倫理，篤恩義」語，感悟。
HCH_012_177_000248	命遣官送歸田裏，敕有司善視之。
HCH_012_177_000249	天順五年，孛來寇莊浪，都督馮宗等出討。
HCH_012_177_000250	用李賢薦，起竑故官，與兵部侍郎白圭參贊軍務。
HCH_012_177_000251	明年正月，竑與宗擊退孛來於紅崖子川。
HCH_012_177_000252	圭等還，竑仍留鎮。
HCH_012_177_000253	至冬，乃召還。
HCH_012_177_000254	明年春，復令督漕撫淮、揚。
HCH_012_177_000255	淮人聞竑再至，歡呼迎拜，數百里不絕。
HCH_012_177_000256	憲宗即位，給事中蕭斌、御史呂洪等，共薦竑及宣府巡撫李秉堪大用。
HCH_012_177_000257	下廷議，尚書王翺、大學士李賢請從其言。
HCH_012_177_000258	帝曰：「古人君夢卜求賢，今獨不能從輿論所與乎？」
HCH_012_177_000259	即召竑為兵部尚書，秉為左都御史。
HCH_012_177_000260	命下，朝野相慶。
HCH_012_177_000261	時將用兵兩廣，竑舉韓雍為總督。
HCH_012_177_000262	雍新得罪，眾難之。
HCH_012_177_000263	竑曰：「天子方棄瑕錄用，雍有罪不當用，竑非罪廢者耶？」
HCH_012_177_000264	卒用雍。
HCH_012_177_000265	竑條上進剿事宜，且言將帥征討，毋得奏攜私人，妄冒首功。
HCH_012_177_000266	又請復京營舊額，禁勢家豪帥擅役禁軍。
HCH_012_177_000267	於是命竑同給事中、御史六人簡閱十二營軍士。
HCH_012_177_000268	竑以擇兵不若擇將，共奏罷營職八十餘人，而慎簡材武補之。
HCH_012_177_000269	兵部清理貼黃缺官，竑偕諸大臣舉修撰嶽正、都給事中張寧，為李賢所沮，竟出二人於外，並罷會舉例。
HCH_012_177_000270	竑憤然曰：「吾尚可居此耶？」
HCH_012_177_000271	即引疾求退。
HCH_012_177_000272	帝方向用竑，優詔慰留，日遣醫視疾。
HCH_012_177_000273	竑請益切。
HCH_012_177_000274	九月命致仕去。
HCH_012_177_000275	竑為尚書一年，謝病者四月，人以未竟其用為惜。
HCH_012_177_000276	既去，中外薦章百十上，並報寢。
HCH_012_177_000277	初，竑號其室曰「戇庵。」
HCH_012_177_000278	既歸，改曰「休庵。」
HCH_012_177_000279	杜門謝客，鄉人希得見。
HCH_012_177_000280	時李秉亦罷歸，日出入裏闬，與故舊談笑遊燕。
HCH_012_177_000281	竑聞之曰：「大臣何可不養重自愛？」
HCH_012_177_000282	秉聞之，亦笑曰：「所謂大臣，豈以立異鄉曲、尚矯激為賢哉。」
HCH_012_177_000283	時兩稱之。
HCH_012_177_000284	竑居家二十年，弘治元年十二月卒，年七十五。
HCH_012_177_000285	正德間，贈太子少保，益莊毅。
HCH_012_177_000286	淮人立祠祀之。
HCH_012_177_000287	李秉，字執中，曹縣人。
HCH_012_177_000288	少孤力學，舉正統元年進士，授延平推官。
HCH_012_177_000289	沙縣豪誣良民為盜而淫其室，秉捕治豪。
HCH_012_177_000290	豪誣秉，坐下獄。
HCH_012_177_000291	副使侯軏直之，論豪如法，由是知名。
HCH_012_177_000292	徵入都察院理刑，將授御史，都御史王文薦為本院經歷，尋改戶部主事。
HCH_012_177_000293	宣府屯田為豪占，秉往視，歸田於民，而請罷科索，邊人賴之。
HCH_012_177_000294	兩淮鹽課弊覺，逮數百人。
HCH_012_177_000295	秉往核，搜得偽印，逮者以白。
HCH_012_177_000296	景帝立，進郎中。
HCH_012_177_000297	景泰二年命佐侍郎劉璉督餉宣府，發璉侵牟狀。
HCH_012_177_000298	即擢右僉都御史代璉，兼參贊軍務。
HCH_012_177_000299	宣府軍民數遭寇，牛具悉被掠。
HCH_012_177_000300	朝廷遣官市牛萬五千給屯卒。
HCH_012_177_000301	人予直，市谷種。
HCH_012_177_000302	璉盡以畀京軍之出守者，一不及屯卒，更停其月餉，而徵屯糧甚急。
HCH_012_177_000303	秉盡反璉政，厚恤之。
HCH_012_177_000304	軍卒自城守外，悉得屯作。
HCH_012_177_000305	凡使者往來及宦官鎮守供億科斂者，皆奏罷，以官錢給費。
HCH_012_177_000306	尋上邊備六事，言：「軍以有妻者為有家，月餉一石，無者減其四。即有父母兄弟而無妻，概以無家論，非義。當一體增給。」
HCH_012_177_000307	從之。
HCH_012_177_000308	時宣府億萬庫頗充裕，秉益召商中鹽納糧，料飭戎裝，市耕牛給軍，軍愈感悅。
HCH_012_177_000309	三年冬命兼理巡撫事。
HCH_012_177_000310	頃之，又命提督軍務。
HCH_012_177_000311	秉盡心邊計，不恤嫌怨。
HCH_012_177_000312	劾都指揮楊文、楊鑒，都督江福貪縱，罪之。
HCH_012_177_000313	論守獨石內官弓勝田獵擾民，請徵還。
