HCH_012_310_000185	宣德元年，禮部以永順宣慰彭仲子英朝正後期，請罪之。
HCH_012_310_000186	帝以遠人不無風濤疾病之阻，仍賜予如例。
HCH_012_310_000187	總兵官蕭綬奏：「酉陽宋農裏、石提洞軍民被臘惹洞長謀古賞等連年攻劫，又及後溪，招之不從，乞調兵剿之。」
HCH_012_310_000188	謀古賞等懼，願罰人馬贖罪，乃罷兵。
HCH_012_310_000189	正統元年命彭仲子世雄襲職。
HCH_012_310_000190	天順二年諭世雄調士兵會剿貴州東苗。
HCH_012_310_000191	成化三年，兵部尚書程信請調永順兵征都掌蠻。
HCH_012_310_000192	十三年以征苗功，命宣慰彭顯英進散官一階，仍賜敕獎勞。
HCH_012_310_000193	十五年免永順賦。
HCH_012_310_000194	弘治七年，貴州奏平苗功，以宣慰彭世麒等與有勞，世麒乞升職。
HCH_012_310_000195	兵部言非例，請進世麒階昭勇將軍，仍賜敕褒獎，從之。
HCH_012_310_000196	八年，世麒進馬謝恩。
HCH_012_310_000197	十四年，世麒以北邊有警，請帥土兵一萬赴延綏助討賊。
HCH_012_310_000198	兵部議不可，賜敕獎諭，並賜奏事人路費鈔千貫，免其明年朝覲，以方聽調征賊婦米魯故也。
HCH_012_310_000199	正德元年以世麒從征有功，賜紅織金麒麟服，世麒進馬謝恩。
HCH_012_310_000200	二年進馬賀立中宮，命給賞如例。
HCH_012_310_000201	五年，永順與保靖爭地相攻，累年不決，訴於朝，命各罰米三百石。
HCH_012_310_000202	六年，四川賊藍廷瑞、鄢本恕等及其黨二十八人倡亂兩川，鳥合十餘萬人，僭王號，置四十八營，攻城殺吏，流毒黔、楚。
HCH_012_310_000203	總制尚書洪鐘等討之，不克。
HCH_012_310_000204	已而為官軍所遏，乏食，乃佯聽撫，劫掠自如。
HCH_012_310_000205	廷瑞以女結婚於永順土舍彭世麟，冀緩兵。
HCH_012_310_000206	世麟偽許之，因與約期。
HCH_012_310_000207	廷瑞、本恕及王金珠等二十八人皆來會，世麟伏兵擒之，余賊潰渡河，官兵追圍之，擒斬及溺死者七百餘人。
HCH_012_310_000208	總制、巡撫以捷聞，獎賚有差，論者以是役世麟為首功雲。
HCH_012_310_000209	七年，賊劉三等自遂平趨東臯，宣慰彭明輔及都指揮曹鵬等以土軍追擊之，賊倉卒渡河，溺死者二千人，斬首八十餘級。
HCH_012_310_000210	巡撫李士實以聞。
HCH_012_310_000211	命永順宣慰格外加賞，仍給明輔誥命。
HCH_012_310_000212	十年，致仕宣慰彭世麒獻大木三十，次者二百，親督運至京，子明輔所進如之。
HCH_012_310_000213	賜敕褒諭，賞進奏人鈔千貫。
HCH_012_310_000214	十三年，世麒獻大楠本四百七十，子明輔亦進大木備營建。
HCH_012_310_000215	詔世麒升都指揮使，賞蟒衣三襲，仍致仕；明輔授正三品散官，賞飛魚服三襲，賜敕獎勵，仍令鎮巡官宴勞之。
HCH_012_310_000216	時政出權幸，恩澤皆由於幹請。
HCH_012_310_000217	於是郴州民頌世麒征賊時號令嚴明，其土官彭芳等亦頌世麒功，乞蟒衣玉帶。
HCH_012_310_000218	兵部格不可，乃已。
HCH_012_310_000219	世麒辭賞，請立坊，賜名曰表勞。
HCH_012_310_000220	會有保靖兩宣慰爭兩江口之議，詞連明輔，主者議逮治。
HCH_012_310_000221	明輔乃令蠻民奏其從征功，悉辭香爐山應得升賞，以贖逮治之辱。
HCH_012_310_000222	部議悉已之。
HCH_012_310_000223	嘉靖六年，論擒岑猛功，免應襲宣慰彭宗漢赴京，而加宗漢父明輔、祖世麒銀幣。
HCH_012_310_000224	二十一年，巡撫陸傑言：「酉陽與永順以采木仇殺，保靖又煽惑其間，大為地方患。」
HCH_012_310_000225	乃命川、湖撫臣撫戢，勿釀兵端。
HCH_012_310_000226	是年，免永順秋糧。
HCH_012_310_000227	三十三年冬，調永順土兵協剿倭賊於蘇、松。
HCH_012_310_000228	明年，永順宣慰彭翼南統兵三千，致仕宣慰彭明輔統兵二千，俱會於松江。
HCH_012_310_000229	時保靖兵敗賊於石塘灣。
HCH_012_310_000230	永順兵邀擊，賊奔王江涇，大潰。
HCH_012_310_000231	保靖兵最，永順次之，帝降敕獎勵，各賜銀幣，翼南賜三品服。
HCH_012_310_000232	先是，永順兵剿新場倭，倭故不出，保靖兵為所誘遽先入，永順土官田菑、田豐等亦爭入，為賊所圍，皆死之。
HCH_012_310_000233	議者皆言督撫經略失宜，致永順兵再戰再北。
HCH_012_310_000234	及王江涇之戰，保靖掎之，永順角之，斬獲一千九百餘級，倭為奪氣，蓋東南戰功第一雲。
HCH_012_310_000235	時邀功者方行賞，翼南遂授昭毅將軍。
HCH_012_310_000236	已，升右參政管宣慰事，與明輔俱受銀幣之賜。
HCH_012_310_000237	時保、永二宣慰破倭後，兵驕，所過皆劫掠，緣江上下苦之。
HCH_012_310_000238	御史請究治，部議以土兵新有功，遽加罰，失遠人心，宜諭責之。
HCH_012_310_000239	並令浙、直練鄉勇，嗣後不得輕調土兵。
HCH_012_310_000240	四十二年以獻大木功再論賞，加明輔都指揮使，賜蟒衣，其子掌宣慰司事，右參政彭翼南為右布政使，賜飛魚服，仍賜敕獎勵。
HCH_012_310_000241	四十四年，永順復獻大木，詔加明輔、翼南二品服。
HCH_012_310_000242	萬歷二十五年，東事棘，調永順兵萬人赴援。
HCH_012_310_000243	宣慰彭元錦請自備衣糧聽調，既而支吾，有要挾之跡，命罷之。
HCH_012_310_000244	三十八年賜元錦都指揮銜，給蟒衣一襲，妻汪氏封夫人。
HCH_012_310_000245	四十七年，永順貢馬後期，減賞。
HCH_012_310_000246	兵部言：「前調宣慰元錦兵三千人援遼，已半載，至關者僅七百餘人。」
HCH_012_310_000247	命究主兵者。
HCH_012_310_000248	四十八年進元錦都督僉事。
HCH_012_310_000249	先是，元錦以調兵三千為不足立功，願以萬兵往。
HCH_012_310_000250	朝廷嘉其忠，加恩優渥。
HCH_012_310_000251	既而檄調八千，僅以三千，塞責，又上疏稱病，為巡撫所劾，得旨切責。
HCH_012_310_000252	元錦不得已行，兵抵通州北，聞三路敗恤，遂大潰。
HCH_012_310_000253	於是巡撫徐兆魁言：「調永順兵八千，費逾十萬，今奔潰，虛糜無益。」
HCH_012_310_000254	罷之。
HCH_012_310_000255	保靖，唐溪州地，宋置保靜州，元為保靖州安撫司。
HCH_012_310_000256	明太祖之初起也，安撫使彭世雄率其屬歸附，命仍為保靖安撫使。
HCH_012_310_000257	洪武元年，保靖安撫使彭萬里遣子德勝奉表貢馬及方物，詔升安撫司為保靖宣慰司，以萬里為之，隸湖廣都指揮使司。
HCH_012_310_000258	自是，朝貢如制。
HCH_012_310_000259	永樂元年以保靖族屬大蟲可宜等互仇殺，遣御史劉從政賫敕撫諭之。
HCH_012_310_000260	三年，辰州衛指揮龔能等招諭筸子坪等三十五寨生苗廖彪等，各遣子入貢，因設筸子坪長官司，以彪為之，隸保靖。
HCH_012_310_000261	九年，宣慰彭勇烈遣人來貢。
HCH_012_310_000262	十二年，筸子坪賊吳者泥自稱苗王，與蠻民苗金龍等為亂，總兵梁福平之。
HCH_012_310_000263	未幾，者泥子吳擔竹復誘苗吳亞麻糾貴州答意諸蠻叛，都督蕭授斬平之。
HCH_012_310_000264	二十一年，宣慰彭藥哈俾遣人貢馬。
HCH_012_310_000265	宣德元年，宣慰彭大蟲可宜遣子順來貢。
HCH_012_310_000266	四年，兵部奏：「保靖舊有二宣慰，一為人所殺，一以殺人當死，其同知以下官皆缺，請改流官治之。」
HCH_012_310_000267	帝以蠻性難馴，流官不諳土俗，令都督蕭授擇眾所推服者以聞。
HCH_012_310_000268	正統十四年，保靖宣慰與族人彭南木答等相訐奏，既而講和，願輸米贖誣奏罪，從之。
HCH_012_310_000269	景泰七年命調保靖土兵協剿銅鼓、五開、黎平諸蠻，先頒賞犒之。
HCH_012_310_000270	天順二年敕宣慰彭舍怕俾即選兵進討。
HCH_012_310_000271	三年，保靖奏夏災。
HCH_012_310_000272	成化二年，以保靖宣慰彭顯宗征蠻有功，命給誥命。
HCH_012_310_000273	三年復調保靖兵征都掌蠻。
HCH_012_310_000274	五年免保靖宣慰諸土司成化二年稅糧八百五十三石，以屢調征廣西及荊、襄、貴州有功也。
HCH_012_310_000275	七年，顯宗老不任事，命其子仕瓏代。
HCH_012_310_000276	十三年，以平苗功，顯宗、仕瓏皆進一階。
HCH_012_310_000277	十五年以災免保靖租賦。
