HCH_009_019_000192	梁檀兒盜金銀葉，憐其母老，李福興盜段匹，值坤厚陵禮成，家令本把盜銀器，值萬春節，皆委曲全活之。
HCH_009_019_000193	亡失物者，責其償而不加罪。
HCH_009_019_000194	聞四方饑饉，輒先奏，加賑贍。
HCH_009_019_000195	因田獵出巡，所過問民間疾苦。
HCH_009_019_000196	敬禮大臣，友愛兄弟。
HCH_009_019_000197	葬明德皇后于坤厚陵，諸妃皆祔，自磐甯宮發引，趙王惟中以其母挽車先發，令張黃蓋者前行，帝呼執蓋者不應，少府監張僅言欲奏其事，帝止之。
HCH_009_019_000198	嘗作《重光座銘》，及刻座右銘於小玉碑，並刻其碑陰，皆深有理致。
HCH_009_019_000199	最善射而不殫物，嘗奉詔拜陵，先獵，射一鹿獲之，即命罷獵，曰：「足奉祀事，焉用多殺？」
HCH_009_019_000200	好生蓋其天性雲。
HCH_009_019_000201	贊曰：遼王杲取中京，宗翰、宗望皆從，景宣別領合紮猛安。
HCH_009_019_000202	合紮猛安者，太祖之猛安也。
HCH_009_019_000203	宗翰請立熙宗，宗幹不敢違，太宗不能拒，其義正，其理直矣。
HCH_009_019_000204	舊史稱睿宗寬恕好施惠，熙宗不終，海陵隕斃，自時厥後，得大位者皆其子孫，有以夫。
HCH_009_019_000205	顯宗孝友惇睦，在東宮二十五年，不聞有過。
HCH_009_019_000206	承意開導，四方陰受其賜。
HCH_009_019_000207	天下不假之年，惜哉！
