HCH_012_260_000211	僧迎謂曰：「公誤矣。」
HCH_012_260_000212	文燦屏人問故，僧曰：「公自度所將兵足制賊死命乎？」
HCH_012_260_000213	曰：「不能。」
HCH_012_260_000214	曰：「諸將有可屬大事、當一面、不煩指揮而定者乎？」
HCH_012_260_000215	曰：「未知何如也。」
HCH_012_260_000216	曰：「二者既不能當賊，上特以名使公，厚責望，一不效，誅矣。」
HCH_012_260_000217	文燦卻立良久，曰：「撫之何如？」
HCH_012_260_000218	僧曰：「吾料公必撫。然流寇非海寇比，公其慎之。」
HCH_012_260_000219	文燦去，抵安慶，帝所遣中官劉元斌、盧九德監勇衛營軍者亦至。
HCH_012_260_000220	良玉宿將桀驁，不受文吏節制，會其下與粵軍不和，大詬。
HCH_012_260_000221	文燦不得已，遣還南兵，然良玉軍實不為用。
HCH_012_260_000222	嗣昌言於帝，乃以邊將馮舉、苗有才兵五千人隸焉。
HCH_012_260_000223	有才敗於真陽，而京營將黃得功連破賊兵，威甚振。
HCH_012_260_000224	當是時，嗣昌建「四正六隅」之策，增兵餉大半，期滅賊，賊頗懼。
HCH_012_260_000225	及文燦至，京軍屢捷，益懼。
HCH_012_260_000226	文燦顧決計招降。
HCH_012_260_000227	初抵安慶，即遣人招張獻忠、劉國能，二人聽命。
HCH_012_260_000228	乃益刊招降檄，布通都。
HCH_012_260_000229	又請盡遷民與粟閉城中，賊無所掠，當自退。
HCH_012_260_000230	帝怒，譙讓文燦。
HCH_012_260_000231	嗣昌亦心非之，既已任之，則曲為文燦解。
HCH_012_260_000232	因其請，畀以畿輔、山西兵各三千。
HCH_012_260_000233	明年，國能果降，而獻忠襲據谷城。
HCH_012_260_000234	會得功又大破賊舞陽，馬士秀、杜應金夜半降信陽城下。
HCH_012_260_000235	獻忠為左良玉所創，幾被擒，其下饑困多散去。
HCH_012_260_000236	獻忠窮蹙，亦因陳洪範以降。
HCH_012_260_000237	於是嗣昌議功罪，絀洪承疇、曹變蛟等，而稱文燦功焉。
HCH_012_260_000238	已而京軍解遂平圍，斬獲三千有奇。
HCH_012_260_000239	時文燦在裕州，馬進忠、羅汝才十三家賊聚南陽，文燦下令，殺賊者償死。
HCH_012_260_000240	賊不肯從，則賫金帛酒牢犒之，名曰「求賊」。
HCH_012_260_000241	帝诇得狀，曰：「文燦大言無實。」
HCH_012_260_000242	文燦恐。
HCH_012_260_000243	孫傳庭出關擊賊，文燦不救，而嗣昌已入政府掌中樞矣。
HCH_012_260_000244	九月，文燦次襄陽，賊分踞鄖、襄諸險。
HCH_012_260_000245	諸將請戰，文燦議分兵。
HCH_012_260_000246	盧九德曰：「兵分則力弱，一失利，全軍搖矣。莫若厚集其力而合擊之。」
