HCH_012_158_000378	邊將請增臨洮諸衛戍，九疇言：「邊城士卒非乏。將帥能嚴紀律，賞罰明信，則人人自奮。不然，徒冗食耳。」
HCH_012_158_000379	乃不增戍。
HCH_012_158_000380	邊民春夏出作田，秋冬輒徙入塞。
HCH_012_158_000381	九疇言：「邊將所以禦寇，衛民也。今使民避寇失業，安用將帥？」
HCH_012_158_000382	因禁民入徙。
HCH_012_158_000383	有被寇者，治守帥罪。
HCH_012_158_000384	四年，布政使許資言：「侍郎出鎮，與巡按御史不相統，事多拘滯，請改授憲職便。」
HCH_012_158_000385	乃轉右副都御史。
HCH_012_158_000386	大臣鎮守、巡撫皆授都御史，自九疇始。
HCH_012_158_000387	有旨市羊角為燈，九疇引宋蘇軾諫神宗買浙燈事，事乃寢。
HCH_012_158_000388	災異求言，請帝延儒碩，公賞罰，擇守令，簡將帥。
HCH_012_158_000389	優詔報焉。
HCH_012_158_000390	天順初，議事京師。
HCH_012_158_000391	帝顧侍臣曰：「九疇，廉正人也。」
HCH_012_158_000392	留為右都御史。
HCH_012_158_000393	罪人系都察院獄者不給米。
HCH_012_158_000394	九疇為言，乃日給一升，遂為令。
HCH_012_158_000395	已，上疏陳崇廉恥、清刑獄、勸農桑、節軍賞、重臺憲五事。
HCH_012_158_000396	帝皆嘉納。
HCH_012_158_000397	是年六月，御史張鵬等劾石亨、曹吉祥。
HCH_012_158_000398	亨等謂九疇實使之，遂並下獄。
HCH_012_158_000399	謫江西布政使，尋調四川。
HCH_012_158_000400	明年，禮部缺尚書。
HCH_012_158_000401	帝問李賢。
HCH_012_158_000402	賢曰：「老成清介，無如九疇。」
HCH_012_158_000403	乃召還。
HCH_012_158_000404	既至，憐其老，改南京刑部尚書。
HCH_012_158_000405	四年卒。
HCH_012_158_000406	謚清惠。
HCH_012_158_000407	子裕，自有傳。
HCH_012_158_000408	軒輗，字惟行，鹿邑人。
HCH_012_158_000409	永樂末年進士。
HCH_012_158_000410	授行人司副。
HCH_012_158_000411	宣德六年用薦改御史。
HCH_012_158_000412	按福建，剔蠹鋤奸，風采甚峻。
HCH_012_158_000413	正統元年清軍浙江，劾不職官四十餘人。
HCH_012_158_000414	五年言：「祖宗設御史官，為職綦重。今內外諸司有事，多擅遣御史，非制，請禁之。」
HCH_012_158_000415	立報可。
HCH_012_158_000416	是年，超擢浙江按察使。
HCH_012_158_000417	前使奢汰，輗力矯之。
HCH_012_158_000418	寒暑一青布袍，補綴殆遍，居常蔬食，妻子親操井臼。
HCH_012_158_000419	與僚屬約：三日出俸錢市肉，不得過一斤。
HCH_012_158_000420	僚屬多不能堪。
HCH_012_158_000421	故舊至，食惟一豆。
HCH_012_158_000422	或具雞黍，則人驚以為異。
HCH_012_158_000423	時鎮守內臣阮隨、布政使孫原貞、杭州知府陳復、仁和知縣許璞居官皆廉，一方大治。
HCH_012_158_000424	溫、處有銀場，洪武間歲課僅二千八百餘兩。
HCH_012_158_000425	永樂時增至八萬二千兩，民不堪命。
HCH_012_158_000426	帝即位，以大臣議罷之。
HCH_012_158_000427	至是參政俞士悅請復開，謂利歸於上，則礦盜自絕。
HCH_012_158_000428	下三司議，輗力持不可，乃止。
HCH_012_158_000429	既而給事中陳傅復請，朝廷遽從之，遂致葉宗留之變。
HCH_012_158_000430	會稽趙伯泰，宋苗裔也。
HCH_012_158_000431	奏孝宗、理宗及福王陵墓，俱為豪民侵奪。
HCH_012_158_000432	御史王琳謂福王降於元，北去，山陰安得墓？
HCH_012_158_000433	伯泰不平，復訴。
HCH_012_158_000434	帝命輗及巡按御史歐陽澄覆按。
