HCH_012_168_000321	深刻多計數，善陰伺人短，與安、孜省比。
HCH_012_168_000322	嘗嗾蕭彥莊攻李秉，又逐尹旻、羅璟，人皆惡而畏之。
HCH_012_168_000323	逾年，得風疾去。
HCH_012_168_000324	孝宗嗣位，安草登極詔書，禁言官假風聞挾私，中外嘩然。
HCH_012_168_000325	御史湯鼐詣閣。
HCH_012_168_000326	安從容言曰：「此裏面意也。」
HCH_012_168_000327	鼐即以其語奏聞，謂安抑塞言路，歸過於君，無人臣禮。
HCH_012_168_000328	於是庶吉士鄒智，御史文貴、姜洪等交章列其罪狀。
HCH_012_168_000329	先是，歙人倪進賢者，粗知書，無行，諂事安，日與講房中術。
HCH_012_168_000330	安昵之，因令就試，得進士。
HCH_012_168_000331	授為庶吉士，除御史。
HCH_012_168_000332	帝一日於宮中得疏一小篋，則皆論房中術者，末署曰「臣安進」。
HCH_012_168_000333	帝命太監懷恩持至閣曰：「此大臣所為耶？」
HCH_012_168_000334	安愧汗伏地，不能出聲。
HCH_012_168_000335	及諸臣彈章入，復令恩就安讀之。
HCH_012_168_000336	安數跪起求哀，無去意。
HCH_012_168_000337	恩直前摘其牙牌曰：「可出矣。」
HCH_012_168_000338	始惶遽索馬歸第，乞休去。
HCH_012_168_000339	時年已七十餘。
HCH_012_168_000340	尚於道上望三臺星，冀復用。
HCH_012_168_000341	居一年卒，贈太師，謚文康。
HCH_012_168_000342	初，孝穆皇太后之薨，內庭籍籍指萬貴妃。
HCH_012_168_000343	孝宗立，魚臺縣丞徐項上書發其事。
HCH_012_168_000344	廷臣議逮鞫萬氏戚屬曾出入宮掖者。
HCH_012_168_000345	安驚懼不知所為，曰：「我久不與萬氏往來矣。」
HCH_012_168_000346	而劉吉先與萬氏姻，亦自危。
HCH_012_168_000347	其黨尹直尚在閣，共擬旨寢之。
HCH_012_168_000348	孝宗仁厚，亦置不問，安、吉得無事。
HCH_012_168_000349	安在政府二十年，每遇試，必令其門生為考官，子孫甥婿多登第者。
HCH_012_168_000350	子翼，南京禮部侍郎。
HCH_012_168_000351	孫弘璧，翰林編修。
HCH_012_168_000352	安死無幾，翼、弘璧相繼死，安竟無後。
HCH_012_168_000353	劉珝，字叔溫，壽光人。
HCH_012_168_000354	正統十三年進士。
HCH_012_168_000355	改庶吉士，授編修。
HCH_012_168_000356	天順中，歷右中允，侍講東宮。
HCH_012_168_000357	憲宗即位，以舊宮僚屢遷太常卿，兼侍讀學士，直經筵日講。
HCH_012_168_000358	成化十年進吏部左侍郎，充講官如故。
HCH_012_168_000359	珝每進講，反覆開導，詞氣侃侃，聞者為悚。
HCH_012_168_000360	學士劉定之稱為講官第一，憲宗亦愛重之。
HCH_012_168_000361	明年詔以本官兼翰林學士，入閣預機務。
HCH_012_168_000362	帝每呼「東劉先生」，賜印章一，文曰「嘉猷贊翊」。
HCH_012_168_000363	尋進吏部尚書，再加太子少保、文淵閣大學士。
HCH_012_168_000364	《文華大訓》成。
HCH_012_168_000365	加太子太保，進謹身殿大學士。
HCH_012_168_000366	珝性疏直。
HCH_012_168_000367	自以宮僚舊臣，遇事無所回護。
HCH_012_168_000368	員外郎林俊以劾梁芳、繼曉下獄，珝於帝前解之。
HCH_012_168_000369	李孜省輩左道亂政，欲動搖東宮。
HCH_012_168_000370	珝密疏諫，謀少阻。
HCH_012_168_000371	素薄萬安，嘗斥安負國無恥。
HCH_012_168_000372	安積忿，日夜思中珝。
HCH_012_168_000373	初，商輅之劾汪直也，珝與萬安、劉吉助之爭，得罷西廠。
HCH_012_168_000374	他日，珝又折王越於朝，越慚而退。
HCH_012_168_000375	已而西廠復設，珝不能有所諍。
HCH_012_168_000376	至十八年，安見直寵衰，揣知西廠當罷，邀珝同奏。
HCH_012_168_000377	珝辭不與，安遂獨奏。
HCH_012_168_000378	疏上，帝頗訝無珝名。
HCH_012_168_000379	安陰使人訐珝與直有連。
HCH_012_168_000380	會珝子鎡邀妓狎飲，裏人趙賓戲為《劉公子曲》，或增飾穢語，雜教坊院本奏之。
HCH_012_168_000381	帝大怒，決意去珝。
HCH_012_168_000382	遣中官覃昌召安、吉赴西角門，出帝手封書一函示之。
HCH_012_168_000383	安等佯驚救。
HCH_012_168_000384	次日，珝具疏乞休。
HCH_012_168_000385	令馳驛，賜月廩、歲隸、白金、楮幣甚厚。
HCH_012_168_000386	其實排珝使去者，安、吉兩人謀也。
HCH_012_168_000387	時內閣三人，安貪狡，吉陰刻。
HCH_012_168_000388	珝稍優，顧喜譚論，人目為狂躁。
HCH_012_168_000389	珝既倉卒引退，而彭華、尹直相繼入內閣，安、吉之黨乃益固。
HCH_012_168_000390	珝初遭母憂，廬墓三年。
HCH_012_168_000391	比歸，侍父盡孝。
HCH_012_168_000392	父歿，復廬於墓。
HCH_012_168_000393	弘治三年卒，謚文和。
HCH_012_168_000394	嘉靖初，以言官請，賜祠額曰「昭賢」，仍遣官祭之。
HCH_012_168_000395	子鈗，字汝中。
HCH_012_168_000396	八歲時，憲宗召見，愛其聰敏，且拜起如禮，即命為中書舍人。
HCH_012_168_000397	宮殿門閾高，同官楊一清常提之出入。
HCH_012_168_000398	帝慮牙牌易損，命易以銀。
HCH_012_168_000399	歷官五十餘年，嘉靖中至太常卿，兼五經博士，仍供事內閣誥敕房。
HCH_012_168_000400	博學有行誼，與長洲劉棨並淹貫故實，時稱「二劉」。
HCH_012_168_000401	劉吉，字祐之，博野人。
HCH_012_168_000402	正統十三年進士。
HCH_012_168_000403	改庶吉士，授編修，充經筵官。
HCH_012_168_000404	《寰宇通志》成，進修撰。
HCH_012_168_000405	天順四年侍講讀於東宮，以憂歸。
HCH_012_168_000406	憲宗即位。
HCH_012_168_000407	召纂《英宗實錄》。
HCH_012_168_000408	至京，上疏乞終制。
HCH_012_168_000409	不允，進侍讀。
HCH_012_168_000410	《實錄》成，遷侍讀學士，直經筵。
HCH_012_168_000411	累遷禮部左侍郎。
HCH_012_168_000412	成化十一年與劉珝同受命，兼翰林學士，入閣預機務。
HCH_012_168_000413	尋進禮部尚書。
