HCH_012_089_000280	上直軍三日一更番，內臣出入必合符嚴索，以金幣出者驗視勘合，以兵器雜藥入門者擒治，失察者重罪之。
HCH_012_089_000281	民有事陳奏，不許固遏。
HCH_012_089_000282	帝念衛士勞苦，令家有婚喪、疾病、產子諸不得已事，得自言情，家無餘丁，父母俱病者，許假侍養，愈乃復。
HCH_012_089_000283	先是，新宮成，詔中書省曰：「軍士戰鬥傷殘，難備行伍，可於宮牆外造捨以居之，晝則治生，夜則巡警。」
HCH_012_089_000284	其後，定十二衛隨駕軍上直者，人給錢三百。
HCH_012_089_000285	二十八年，復於四門置捨，使恩軍為衛士執爨。
HCH_012_089_000286	恩軍者，得罪免死及諸降卒也。
HCH_012_089_000287	永樂中，定制，諸衛各有分地。
HCH_012_089_000288	自午門達承天門左右，逮長安左右門，至皇城東西，屬旗手、濟陽、濟川、府軍及虎賁右、金吾前、燕山前、羽林前八衛。
HCH_012_089_000289	東華門左右至東安門左右，屬金吾、羽林、府軍、燕山四左衛。
HCH_012_089_000290	西華門左右至西安門左右，屬四右衛。
HCH_012_089_000291	玄武門左右至北安門左右，屬金吾、府軍後及通州、大興四衛。
HCH_012_089_000292	衛有銅符，頒自太祖。
HCH_012_089_000293	曰承，曰東，曰西，曰北，各以其門名也。
HCH_012_089_000294	巡者左半，守者右半。
HCH_012_089_000295	守官遇巡官至，合契而從事。
HCH_012_089_000296	各門守衛官，夜各領銅令申字牌巡警，自一至十六。
HCH_012_089_000297	內皇城衛捨四十，外皇城衛捨七十二，俱設銅鐸，次第循環。
HCH_012_089_000298	內皇城左右坐更將軍百，每更二十人，四門走更官八，交互往來，鈐印於籍以為驗。
HCH_012_089_000299	都督及帶刀、千百戶日各一人，領申字牌直宿，及點各門軍士。
HCH_012_089_000300	後更定都督府，改命侯、伯歛書焉。
HCH_012_089_000301	洪熙初，更造衛士懸牌。
HCH_012_089_000302	時親軍缺伍，衛士不獲代。
HCH_012_089_000303	帝命選他衛軍守端、直諸門，尚書李慶謂不可。
HCH_012_089_000304	帝曰：「人主在佈德以屬人心，苟心相屬，雖非親幸，何患焉。」
HCH_012_089_000305	宣德三年，命御史點閱衛卒。
HCH_012_089_000306	天順中，復增給事中一人。
HCH_012_089_000307	成化十年，尚書馬文升言：「太祖置親軍指揮使司，不隸五府。文皇帝復設親軍十二衛，又增勇士數千員，屬御馬監，上直，而以腹心臣領之。比者日廢弛，勇士與諸營無異，皇城之內，兵衛無幾，諸監門卒尤疲羸，至不任受甲。宜敕御馬監官，即見軍選練。仍敕守衛官常嚴步伍，譏察出入，以防微銷萌。」
HCH_012_089_000308	帝然其言，亦未能有所整飭。
HCH_012_089_000309	正德初，嚴皇城紅舖巡徼，日令留守衛指揮五員，督內外夜巡軍。
HCH_012_089_000310	而兵部郎中、主事各一人，同御史、錦衣衛稽閱，毋攝他務。
HCH_012_089_000311	嘉靖七年，增直宿官軍衣糧，五年一給。
HCH_012_089_000312	萬歷十一年，於皇城內外設把總二員，分東西管理。
HCH_012_089_000313	時門禁益弛，衛軍役於中官，每至空伍，賃市兒行丐應點閱。
HCH_012_089_000314	叉刀、紅盔日出始一入直，直廬虛無人。
HCH_012_089_000315	坐更將軍皆納月鏹於所轄。
HCH_012_089_000316	凡提號、巡城、印簿、走更諸事悉廢。
HCH_012_089_000317	十五年，再申門禁。
HCH_012_089_000318	久之，給事中吳文煒乞盡復舊制。
HCH_012_089_000319	不報。
HCH_012_089_000320	末年，有失金牌久之始覺者。
HCH_012_089_000321	梃擊之事，張差一妄男子，得闌入殿廷，其積弛可知。
HCH_012_089_000322	是後中外多事，啟、禎兩朝雖屢申飭，竟莫能挽，侵尋以至於亡。
HCH_012_089_000323	京城巡捕之職，洪武初，置兵馬司，譏察奸偽。
HCH_012_089_000324	夜發巡牌，旗士領之，核城門扃鐍及夜行者。
HCH_012_089_000325	已改命衛所鎮撫官，而掌於中軍都督府。
HCH_012_089_000326	永樂中，增置五城兵馬司。
HCH_012_089_000327	宣德初，京師多盜，增官軍百人，協五城逐捕。
HCH_012_089_000328	已，復增夜巡候卒五百。
HCH_012_089_000329	成化中，始命錦衣官同御史督之。
HCH_012_089_000330	末年，撥給團營軍二百。
HCH_012_089_000331	弘治元年，令三千營選指揮以下四員，領精騎巡京城外，又令錦衣官五、旗手等衛官各一，分地巡警，巡軍給牌。
HCH_012_089_000332	五年，設把總都指揮，專職巡捕。
HCH_012_089_000333	正德中，添設把總，分畫京城外地，南抵海子，北抵居庸關，西抵盧溝橋，東抵通州。
HCH_012_089_000334	復增城內二員，而益以團營軍，定官卒賞罰例。
HCH_012_089_000335	末年，邏卒增至四千人，特置參將。
