HCH_012_011_000246	己卯，羣臣請建太子，不聽。
HCH_012_011_000247	壬午，武清侯石亨、副都御史徐有貞等迎上皇復位。
HCH_012_011_000248	二月乙未，廢帝為郕王，遷西內，皇太后吳氏以下悉仍舊號。
HCH_012_011_000249	癸丑，王薨於西宮，年三十。
HCH_012_011_000250	諡曰戾。
HCH_012_011_000251	毀所營壽陵，以親王禮葬西山，給武成中衞軍二百戶守護。
HCH_012_011_000252	成化十一年十二月戊子，制曰：「朕叔郕王踐阼，戡難保邦，奠安宗社，殆將八載。彌留之際，奸臣貪功，妄興讒構，請削帝號。先帝旋知其枉，每用悔恨，以次抵諸奸於法，不幸上賓，未及舉正。朕敦念親親，用成先志，可仍皇帝之號，其議諡以聞。」
HCH_012_011_000253	遂上尊諡。
HCH_012_011_000254	敕有司繕陵寢，祭饗視諸陵。
HCH_012_011_000255	贊曰：景帝當倥傯之時，奉命居攝，旋正大位以繫人心，事之權而得其正者也。
HCH_012_011_000256	篤任賢能，勵精政治，強寇深入而宗社乂安，再造之績良云偉矣。
HCH_012_011_000257	而乃汲汲易儲，南內深錮，朝謁不許，恩誼恝然。
HCH_012_011_000258	終於輿疾齋宮，小人乘間竊發，事起倉猝，不克以令名終。
HCH_012_011_000259	惜夫！
