HCH_012_253_000233	國瑞薄庶兄國臣，國臣憤，詭言「父貲四十萬，臣當得其半，今請助國為軍貲」。
HCH_012_253_000234	帝初未允，因國觀言，欲盡借所言四十萬者，不應則勒期嚴追。
HCH_012_253_000235	或教國瑞匿貲勿獻，拆毀居第，陳什器通衢鬻之，示無所有。
HCH_012_253_000236	嘉定伯周奎與有連，代為請。
HCH_012_253_000237	帝怒，奪國瑞爵，國瑞悸死。
HCH_012_253_000238	有司追不已，戚畹皆自危。
HCH_012_253_000239	因皇五子病，交通宦官宮妾，倡言孝定太后已為九蓮菩薩，空中責帝薄外家，諸皇子盡當夭，降神於皇五子。
HCH_012_253_000240	俄皇子卒，帝大恐，急封國瑞七歲兒存善為侯，盡還所納金銀，而追恨國觀，待隙而發。
HCH_012_253_000241	國觀素惡行人吳昌時。
HCH_012_253_000242	及考選，昌時虞國觀抑己，因其門人以求見。
HCH_012_253_000243	國觀偽與交歡，擬第一，當得吏科。
HCH_012_253_000244	迨命下，乃得禮部主事。
HCH_012_253_000245	昌時大恨，以為賣己，與所善東廠理刑吳道正謀，發丁憂侍郎蔡奕琛行賄國觀事。
HCH_012_253_000246	帝聞之，益疑。
HCH_012_253_000247	十三年六月，楊嗣昌出督師，有所陳奏。
HCH_012_253_000248	帝令擬諭，國觀乃擬旨以進。
HCH_012_253_000249	帝遂發怒，下五府九卿科道議奏。
HCH_012_253_000250	掌都督府魏國公徐允禎、吏部尚書傅永淳等不測帝意，議頗輕，請令致仕或閑住。
HCH_012_253_000251	帝度科道必言之，獨給事中袁愷會議不署名，且疏論永淳徇私狀，而微詆國觀藐肆妒嫉。
HCH_012_253_000252	帝不懌，抵疏於地曰：「成何糾疏！」
HCH_012_253_000253	遂奪國觀職，放之歸，怒猶未已。
HCH_012_253_000254	國觀出都，重車累累，偵事者復以聞。
HCH_012_253_000255	而東廠所遣伺國觀邸者，值陛彥至，執之，得其招搖通賄狀。
HCH_012_253_000256	詞所連及，永淳、奕琛暨通政使李夢辰、刑部主事朱永佑等十一人。
HCH_012_253_000257	命下陛彥詔獄窮治。
HCH_012_253_000258	頃之，愷再疏，盡發國觀納賄諸事，永淳、奕琛與焉。
HCH_012_253_000259	國觀連疏力辨，詆愷受昌時指使，帝不納。
HCH_012_253_000260	至十月，陛彥獄未成，帝以行賄有據，即命棄市，而遣使逮國觀。
HCH_012_253_000261	國觀遷延久不赴，明年七月入都。
HCH_012_253_000262	令待命外邸，不以屬吏，國觀自謂必不死。
HCH_012_253_000263	八月初八日夕，監刑者至門，猶鼾睡。
HCH_012_253_000264	及聞詔使皆緋衣，蹶然曰：「吾死矣！」
HCH_012_253_000265	倉皇覓小帽不得，取蒼頭帽覆之。
HCH_012_253_000266	宣詔畢，頓首不能出聲，但言「吳昌時殺我」，乃就縊。
HCH_012_253_000267	明日，使者還奏。
HCH_012_253_000268	又明日許收斂，懸梁者兩日矣。
HCH_012_253_000269	輔臣戮死，自世廟夏言後，此再見雲。
HCH_012_253_000270	法司坐其贓九千，沒入田六百畝，故宅一區。
HCH_012_253_000271	國觀險忮，然罪不至死，帝徒以私憤殺之，贓又懸坐，人頗有冤之者。
HCH_012_253_000272	袁愷，聊城人。
HCH_012_253_000273	既劾罪國觀，後為給事中宋之普所傾，罷去。
HCH_012_253_000274	福王時，起故官，道卒。
HCH_012_253_000275	程國祥，字仲若，上元人。
HCH_012_253_000276	舉萬歷三十二年進士。
HCH_012_253_000277	歷知確山、光山二縣，有清名。
HCH_012_253_000278	遷南京吏部主事，乞養歸。
HCH_012_253_000279	服闋，起禮部主事。
HCH_012_253_000280	天啟四年，吏部尚書趙南星知其可任，調為己屬，更歷四司。
HCH_012_253_000281	發御史楊玉珂請屬，玉珂被謫，國祥亦引疾歸。
HCH_012_253_000282	其冬，魏忠賢既逐南星，御史張訥劾國祥為南星邪黨，遂除名。
HCH_012_253_000283	崇禎二年，起稽勛員外郎。
HCH_012_253_000284	遷考功郎中，主外計，時稱公慎。
HCH_012_253_000285	御史龔守忠詆國祥通賄，國祥疏辯。
HCH_012_253_000286	帝褒以清執，下都察院核奏，事得白，守忠坐褫官。
HCH_012_253_000287	尋遷大理右寺丞。
HCH_012_253_000288	歷太常卿、南京通政使，就遷工部侍郎，復調戶部。
HCH_012_253_000289	九年冬，召拜戶部尚書。
HCH_012_253_000290	楊嗣昌議增餉，國祥不敢違。
HCH_012_253_000291	而是時度支益匱，四方奏報災傷者相繼。
HCH_012_253_000292	國祥多方區畫，亦時有所蠲減，最後建議，借都城賃舍一季租，可得五十萬，帝遂行之。
HCH_012_253_000293	勛戚奄豎悉隱匿不奏，所得僅十三萬，而怨聲載途。
HCH_012_253_000294	然帝由是眷國祥。
HCH_012_253_000295	十一年六月，帝將增置閣臣，出禦中極殿，召廷臣七十餘人親試之。
HCH_012_253_000296	發策言：「年來天災頻仍，今夏旱益甚，金星晝見五旬，四月山西大雪。朝廷腹心耳目臣，務避嫌怨。有司舉劾，情賄關其心。克期平賊無功，而剿兵難撤。外敵生心，邊餉日絀。民貧既甚，正供猶艱。有司侵削百方，如火益熱。若何處置得宜，禁戢有法，卿等悉心以對。」
HCH_012_253_000297	會天大雨，諸臣面對後，漏已深，終考者止三十七人。
HCH_012_253_000298	顧帝意已前定，特假是為名耳。
HCH_012_253_000299	居數日，改國祥禮部尚書，與楊嗣昌、方逢年、蔡國用、範復粹俱兼東閣大學士，入參機務。
HCH_012_253_000300	時劉宇亮為首輔，傅冠、薛國觀次之，又驟增國祥等五人。
HCH_012_253_000301	國觀、嗣昌最用事，國祥委蛇其間，自守而已。
HCH_012_253_000302	明年四月召對，無一言。
HCH_012_253_000303	帝傳諭責國祥緘默，大負委任，國祥遂乞休去。
HCH_012_253_000304	國祥始受業於焦竑，歷任卿相，布衣蔬食，不改儒素。
HCH_012_253_000305	與其子上俱撰有詩集。
HCH_012_253_000306	國祥歿後，家貧，不能舉火。
HCH_012_253_000307	上營葬畢，感疾卒，無嗣。
HCH_012_253_000308	蔡國用，金溪人。
HCH_012_253_000309	萬歷三十八年進士。
HCH_012_253_000310	由中書舍人擢御史。
HCH_012_253_000311	天啟五年陳時政六事，詆葉向高、趙南星，而薦亓詩教、趙興邦、邵輔忠、姚宗文等七人，魏忠賢喜，矯旨褒納。
HCH_012_253_000312	尋忤珰意，勒令閑住。
HCH_012_253_000313	崇禎元年起故官，屢遷工部右侍郎。
HCH_012_253_000314	督修都城，需石甚急，不克辦。
HCH_012_253_000315	國用建議取牙石用之。
HCH_012_253_000316	牙石者，舊列崇文、宣武兩街，備駕出除道者也。
HCH_012_253_000317	帝閱城，嘉其功，遂欲大用。
HCH_012_253_000318	十一年六月，廷推閣臣，國用望輕，不獲與，特旨擢禮部尚書，入閣辦事。
HCH_012_253_000319	累加少保，改吏部尚書、武英殿。
HCH_012_253_000320	十三年六月卒於官，贈太保，謚文恪。
HCH_012_253_000321	國用居位清謹，與同列張四知皆庸才，碌碌無所見。
HCH_012_253_000322	範復粹，黃縣人。
HCH_012_253_000323	萬歷四十七年進士。
HCH_012_253_000324	除開封府推官。
HCH_012_253_000325	崇禎元年為御史。
HCH_012_253_000326	廷議移毛文龍內地，復粹言：「海外億萬生靈誰非赤子，倘棲身無所，必各據一島為盜，後患方深。」
