HCH_015_027_000131	太祖在淮陰，安民遙相結事，明帝以為疑，徙安民為劉韞冠軍司馬、寧朔將軍、京兆太守，又除寧朔將軍、司州刺史，領義陽太守，竝不拜，重除本職，又不拜，改授寧朔將軍、山陽太守。
HCH_015_027_000132	泰始末，淮北民起義欲南歸，以安民督前鋒軍事，又請援接，不克，還。
HCH_015_027_000133	除越騎校尉，復為寧朔將軍、山陽太守。
HCH_015_027_000134	三巴擾亂，太守張澹棄涪城走，以安民假節、都督討蜀軍事、輔師將軍。
HCH_015_027_000135	五獠亂漢中，敕安民回軍至魏興，事寧，還至夏口。
HCH_015_027_000136	元徽初，除督司州軍事、司州刺史，領義陽太守，假節、將軍如故。
HCH_015_027_000137	別敕安民曰：「九江須防，邊備宜重，今有此授，以增鄢郢之勢，無所致辭也。」
HCH_015_027_000138	及桂陽王休範范起事，安民出頓，遣軍援京師。
HCH_015_027_000139	徵［授］左將軍，加給事中。
HCH_015_027_000140	建平王景素作難，冠軍黃回、游擊將軍高道慶、輔國將軍曹欣之等皆密遣致誠，而游擊將軍高道慶領衆出討，太祖慮其有變，使安民及南豫州刺史段佛榮行以防之。
HCH_015_027_000141	安民至京［口］，破景素軍於葛橋。
HCH_015_027_000142	景素誅，留安民行南徐州事。
HCH_015_027_000143	城局參軍王迥素為安民所親，盜絹二匹，安民流涕謂之曰：「我與卿契闊備嘗，今日犯王法，此乃卿負我也。」
HCH_015_027_000144	於軍門斬之，厚為斂祭，軍府皆震服。
HCH_015_027_000145	授冠軍將軍，驍衛將軍，不拜。
HCH_015_027_000146	轉征虜將軍、東中郎司馬、行會稽郡事。
HCH_015_027_000147	安民將東，太祖與別宴語，淹留日夜。
HCH_015_027_000148	安民密陳宋運將盡，歷數有歸。
HCH_015_027_000149	蒼梧縱虐，太祖憂迫無計，安民白太祖欲於東奉江夏王躋起兵，太祖不許，乃止。
HCH_015_027_000150	蒼梧廢，太祖徵安民為使持節督北討軍事、冠軍將軍、南兖州刺史。
HCH_015_027_000151	沈攸之反，太祖召安民以本官鎮白下，治城隍，加征虜將軍。
HCH_015_027_000152	進軍西討，又進前將軍。
HCH_015_027_000153	行至盆城，沈攸之平，仍授督郢州司州之義陽諸軍事、郢州刺史，持節、將軍如故。
HCH_015_027_000154	昇明三年，遷左衛將軍，領衛尉。
HCH_015_027_000155	太祖卽位，為中領軍，封康樂侯，邑千戶。
HCH_015_027_000156	宋泰始以來，內外頻有賊寇，將帥已下，各募部曲，屯聚京師。
HCH_015_027_000157	安民上表陳之，以為：「自非淮北常備，其外餘軍，悉皆輸遣。若親近宜立隨身者，聽限人數。」
HCH_015_027_000158	上納之，故詔斷衆募。
HCH_015_027_000159	時王敬則以勳誠見親，至於家國密事，上唯與安民論議，謂安民曰：「署事有卿名，我便不復細覽也。」
HCH_015_027_000160	尋為領軍將軍。
HCH_015_027_000161	虜寇壽春，至馬頭。
HCH_015_027_000162	詔安民出征，加鼓吹一部。
HCH_015_027_000163	虜退，安民沿淮進壽春。
HCH_015_027_000164	先是宋世亡命王元初聚黨六合山僣號，自云垂手過膝。
HCH_015_027_000165	州部討不能擒，積十餘年。
HCH_015_027_000166	安民遣軍偵候，生禽元初，斬建康市。
HCH_015_027_000167	加散騎常侍。
HCH_015_027_000168	其年，虜又南侵，詔安民持節履行緣淮清泗諸戍屯軍。
HCH_015_027_000169	虜攻朐山、連口、角城，安民頓泗口，分軍應赴。
HCH_015_027_000170	三年，引水步軍入清，于淮陽與虜戰，破之。
HCH_015_027_000171	虜退，安民知有伏兵，乃遣族弟馬軍主長文二百騎為前驅，自與軍副周盤龍、崔文仲係其後，分軍隱林。
HCH_015_027_000172	及長文至宿豫，虜見衆少，數千騎遮之。
HCH_015_027_000173	長文且退且戰，引賊向大軍，安民率盤龍等趨兵至，合戰於孫溪渚戰父彎側，虜軍大敗，赴清水死不可勝數。
HCH_015_027_000174	虜遣其菟頭公送攻車材至布丘，左軍將軍孫文顯擊破走之，燒其車材。
HCH_015_027_000175	淮北四州聞太祖受命，咸欲南歸。
HCH_015_027_000176	至是徐州人桓摽之、兖州人徐猛子等，合義衆數萬，柴險求援。
HCH_015_027_000177	太祖詔曰：「青徐泗州，義舉雲集。安民可長轡遐馭，指授羣帥。」
HCH_015_027_000178	安民赴救留遲，虜急兵攻摽之等皆沒，上甚責之。
HCH_015_027_000179	太祖崩，遺詔加侍中。
HCH_015_027_000180	世祖卽位，遷撫軍將軍、丹陽尹。
HCH_015_027_000181	永明二年，遷尚書左僕射，將軍如故。
HCH_015_027_000182	安民時屢啟密謀見賞，又善結尚書令王儉，故世傳儉啟有此授。
HCH_015_027_000183	尋上表以年疾求退，改授散騎常侍、金紫光祿大夫，將軍如故。
HCH_015_027_000184	四年，為安東將軍、吳興太守，常侍如故。
HCH_015_027_000185	卒官，年五十八。
HCH_015_027_000186	賻錢十萬，布百匹。
HCH_015_027_000187	吳興有項羽神護郡聽事，太守不得上。
HCH_015_027_000188	太守到郡，必須祀以軛下牛。
HCH_015_027_000189	安民奉佛法，不與神牛，著屐上聽事。
HCH_015_027_000190	又於聽上設八關齋。
HCH_015_027_000191	俄而牛死，葬廟側，今呼為「李公牛冢」。
HCH_015_027_000192	及安民卒，世以神為祟。
HCH_015_027_000193	詔曰：「安民歷位內外，庸績顯著。忠亮之誠，每簡朕心。敷政近畿，方申任寄。奄至殞喪，痛傷于懷。贈鎮東將軍，鼓吹一部，常侍、太守如故。諡曰肅侯。」
HCH_015_027_000194	王玄載，字彥休，下邳人也。
HCH_015_027_000195	祖宰，偽北地太守。
HCH_015_027_000196	父蕤，東莞太守。
HCH_015_027_000197	玄載解褐江夏王國侍郎、太宰行參軍。
HCH_015_027_000198	泰始初，為長水校尉。
HCH_015_027_000199	隨張永征彭城，臺軍大敗，玄載全軍據下邳城拒虜，假冠軍將軍。
HCH_015_027_000200	官軍新敗，人情恐駭，以玄載士望，板為徐州刺史、持節、監徐州豫州梁郡軍事、寧朔將軍、平胡中郎將，尋又領山陽、東海二郡太守。
HCH_015_027_000201	五年，督青、兖二州刺史，將軍、東海郡如故。
HCH_015_027_000202	七年，復為徐州，督徐兖二州、鍾離太守，將軍、郎將如故。
HCH_015_027_000203	遷左軍將軍。
HCH_015_027_000204	仍為寧朔將軍、歷陽太守，改持節、都督二豫、冠軍將軍、南豫州刺史，太守如故。
HCH_015_027_000205	遷撫軍司馬。
HCH_015_027_000206	出為持節、督梁南北秦三州軍事、冠軍將軍、西戎校尉、梁秦二州刺史。
HCH_015_027_000207	進號征虜將軍。
HCH_015_027_000208	尋徙督益寧二州、益州刺史、建寧太守，將軍、持節如故。
HCH_015_027_000209	沈攸之之難，玄載起義送誠，進號后軍將軍，封鄂縣子。
HCH_015_027_000210	征散騎常侍，領后軍，未拜，建元元年，為左民尚書，鄂縣子如故。
HCH_015_027_000211	會虜動，南兖州刺史王敬則奔京師，上遣玄載領廣陵，加平北將軍、假節、行南兖州事，本官如故。
HCH_015_027_000212	事寧，為光祿大夫、員外散騎常侍。
HCH_015_027_000213	永明四年，為持節監兖州緣淮諸軍事、平北將軍、兖州刺史。
HCH_015_027_000214	六年，卒，時年七十六。
HCH_015_027_000215	諡烈子。
HCH_015_027_000216	玄載夷雅好玄言，脩士操，在梁益有清績，西州至今思之。
HCH_015_027_000217	從弟玄謨子瞻，宋明帝世為黃門郎，素輕世祖。
HCH_015_027_000218	世祖時在大床寢，瞻謂豫章王曰：「帳中物亦復隨人寢興。」
HCH_015_027_000219	世祖銜之，未嘗形色。
HCH_015_027_000220	建元元年，為冠軍將軍、永嘉太守，詣闕跪拜不如儀，為守寺所列。
HCH_015_027_000221	有司以啟世祖，世祖召瞻入東宮，仍送付廷尉殺之。
HCH_015_027_000222	遣左右口啟上曰：「父辱子死，王瞻傲慢朝廷，臣輒以收治。」
HCH_015_027_000223	太祖曰：「語郎，此何足計！」
HCH_015_027_000224	旣聞瞻已死，乃默無言。
