HCH_012_231_000316	九年，條上戰守之策，並論賊三可擊狀。
HCH_012_231_000317	帝如議敕行。
HCH_012_231_000318	十一年，黃道周、劉同升等諫楊嗣昌奪情，被貶謫。
HCH_012_231_000319	範景文等疏救，春名與焉。
HCH_012_231_000320	明年正月，削景文籍，置春不問。
HCH_012_231_000321	春為御史，甚有聲。
HCH_012_231_000322	及居大僚，循職無咎。
HCH_012_231_000323	會上疏請改折白糧，忤旨，罷歸。
HCH_012_231_000324	是年卒。
HCH_012_231_000325	於孔兼，字元時，金壇人。
HCH_012_231_000326	萬歷八年進士。
HCH_012_231_000327	授九江推官。
HCH_012_231_000328	入為禮部主事，再遷儀制郎中。
HCH_012_231_000329	疏論都御史吳時來晚節不終，不當謚忠恪，因請謚楊爵、陳瓚、孟秋。
HCH_012_231_000330	乃奪時來謚，而謚爵忠介。
HCH_012_231_000331	大學士王家屏以爭冊立求去。
HCH_012_231_000332	孔兼上言：「陛下徇內嬖之情，而搖主鬯之器。不納輔臣之言，反重諫官之罰。且移怒吏部，削籍三人。夫萬國欽獲罪申時行，饒伸獲罪王錫爵，非獲罪於陛下也。輔臣於數千里外，能遙制朝權若此，毋乃陛下以此示恩，欲其復來共成他圖耶！自陛下有近日之舉，而善類寒心，邪臣鼓掌。將來逢君必巧，豫教無期，申生、楊廣再見於今，此宗廟之不利，非直臣等憂也。」
HCH_012_231_000333	帝得疏，怒甚。
HCH_012_231_000334	已，竟留中。
HCH_012_231_000335	明年正月，有詔並封三王。
HCH_012_231_000336	孔兼與員外郎陳泰來合疏爭曰：「立嫡之訓，自古有之。然歷考祖宗以來，未有虛東宮之位以候嫡子者。昔陛下正位東宮，年甫六歲，仁聖皇太后方在盛年，先皇帝曾不少待，陛下豈不省記乎？地逼則嫌生，禮殊則分定。願收還新諭，建儲、封王一時並舉，宗社幸甚。」
HCH_012_231_000337	未報。
HCH_012_231_000338	孔兼又言：「陛下堅持待嫡之說，既疑群臣謗訕，又謂朝綱倒持，遂欲坐諫者以無禮於君之罪。夫謂元子當立不容緩者，君子也。此有禮於君者，王如堅諸人是也。謂並封可行逢上意者，小人也。此無禮於君者，許夢熊一人是也。今欲以無禮之罪，而加之有禮於其君者，何以服人心，昭國法？臣又惟巫蠱之謗啟於堯母；承乾之誅成於偏愛。自古亂臣，未有不窺人君之隙而逢迎以遂其奸者。始錫爵之兩諭並擬，其負國誤君大矣。既不能轉移君心決計於初，乃以杜門求去為計。夫前無失策，一去可以成名。失而後爭，爭而不得，雖去不足塞責矣。人謂錫爵言無不盡，特苦陛下聽斷之不行。臣則雲陛下悔心已萌，特憂錫爵感孚之未至。若姑雲徐徐，坐視君父之過舉，錫爵縱不為宗社計，獨不為身名計乎？」
HCH_012_231_000339	會廷臣多諫者，其事竟寢。
HCH_012_231_000340	亡何，考功郎中趙南星坐京察削籍。
HCH_012_231_000341	孔兼、泰來各疏救。
HCH_012_231_000342	帝積前恨，謫孔兼安吉判官，泰來饒平典史。
HCH_012_231_000343	孔兼投牒歸。
HCH_012_231_000344	家居二十年，杜門讀書，矩矱整肅，鄉人稱之無間言。
HCH_012_231_000345	泰來，字伯符，平湖人。
HCH_012_231_000346	年十九，舉萬歷五年進士，授順天教授，進國子博士。
HCH_012_231_000347	見執政與言路相水火，上書規之，坐是五年不調。
