HCH_012_047_000210	壇南置石龕，以藏神位。
HCH_012_047_000211	王府州縣社主皆用石，長二尺五寸，廣尺五寸。
HCH_012_047_000212	日月壇神位，以松柏爲之。
HCH_012_047_000213	長二尺五寸，廣五寸，趺高五寸。
HCH_012_047_000214	硃漆金字。
HCH_012_047_000215	餘仿此。
HCH_012_047_000216	祭器南郊。
HCH_012_047_000217	洪武元年定，正位，登一，籩豆各十二，簠簋各二，爵三；壇上，太尊二，著尊、犧尊、山罍各一；壇下，太尊一，山罍二。
HCH_012_047_000218	從祀位，登一，籩豆各下，簠簋各二，東西各設著尊二，犧尊二。
HCH_012_047_000219	北郊同。
HCH_012_047_000220	七年增圜丘從祀，共設酒尊六於壇西，大明，夜明位各三。
HCH_012_047_000221	天下神祇，鉶三，籩豆各八，簠簋各二，壝內外東西各設酒尊三，每位爵三。
HCH_012_047_000222	方丘、嶽鎮，各設酒尊三，壝內東西各設酒尊三，壝外東西各設酒尊三，每位爵三。
HCH_012_047_000223	神祇與圜丘同。
HCH_012_047_000224	八年，圜丘從祀，更設登一、鉶二。
HCH_012_047_000225	每位增酒睟，星辰、天下神祇各三十，太歲、風雲雷雨、嶽鎮海瀆各十五。
HCH_012_047_000226	方丘，從祀同。
HCH_012_047_000227	十年，定合祀之典，各壇陳設如舊，惟太歲、風雲雷雨酒盞各十，東西廡俱共設酒尊三、爵十八於壇南。
HCH_012_047_000228	二十一年更定，正殿上三壇，每壇登一，籩豆各十二，簠簋各二，共設酒尊六、爵九於殿東南，西向。
HCH_012_047_000229	丹墀內四壇，大明、夜明各登一，籩豆十，簠簋二，酒尊三，爵三。
HCH_012_047_000230	星辰二壇，各登一，鉶二，酒盞三十，餘與大明同。
HCH_012_047_000231	壝外二十壇，各登一，鉶二，籩豆各十，簠簋各二，酒盞十，酒尊三，爵三。
HCH_012_047_000232	神祇壇，鉶三，籩豆各八。
HCH_012_047_000233	帝王、山川、四瀆、中嶽、風雲雷雨神祇壇，酒盞各三十，餘並同嶽鎮。
HCH_012_047_000234	太廟時享。
HCH_012_047_000235	洪武元年定，每廟登一，鉶三，籩豆各十二，簠簋各二，共酒尊三、金爵八、瓷爵十六於殿東西向。
HCH_012_047_000236	二十一年更定，每廟登二，鉶二。
HCH_012_047_000237	弘治時，九廟通設酒尊九，祫祭加一，金爵十七，祫祭加二，瓷爵三十四，祫祭加四。
HCH_012_047_000238	親王配享，洪武三年定，登鉶各三，籩豆各十二，簠簋各二，酒尊三，酒注二。
HCH_012_047_000239	二十一年更定，登鉶各一，爵各三，籩豆各十，簠簋各二，共用酒尊三於殿東。
HCH_012_047_000240	功臣配享，洪武二年定，每位籩豆各二，簠簋各二。
HCH_012_047_000241	三年增定，共用酒尊二，酒注二。
HCH_012_047_000242	二十一年更定，十壇，每壇鉶一，籩豆各二，簠簋各一，爵三，共用酒尊於殿西。
HCH_012_047_000243	太社稷。
HCH_012_047_000244	洪武元年定，鉶三，籩豆各十，簠簋各二，配位同。
HCH_012_047_000245	正配位皆設酒尊三於壇東。
HCH_012_047_000246	十一年更定，每位登一，鉶二，籩豆十二，正配位共設酒尊三，爵九。
HCH_012_047_000247	後太祖、成祖並配時，增酒尊一，爵三。
HCH_012_047_000248	府、州、縣社稷，鉶一，籩豆四，簠簋二。
HCH_012_047_000249	朝日、夕月。
HCH_012_047_000250	洪武三年定，太尊、著尊、山罍各二，在壇上東南隅，北面。
HCH_012_047_000251	象尊、壺尊、山罍各二，在壇下，籩豆各十，簠簋各二，登鉶各三。
HCH_012_047_000252	先農，與社稷同，加登一，籩豆減二。
HCH_012_047_000253	神祇。
HCH_012_047_000254	洪武二年定，每壇籩豆各四，簠簋登爵各一。
HCH_012_047_000255	九年更定，正殿共設酒尊三，爵七，兩廡各設酒尊三，爵三，餘如舊。
HCH_012_047_000256	二十一年更定，每壇登一，鉶二，籩豆各十，簠簋各二，酒盞三十。
HCH_012_047_000257	星辰，正殿中登一，鉶二。
HCH_012_047_000258	餘九壇，鉶二。
HCH_012_047_000259	每壇籩豆十，簠簋各一，酒盞三十，爵一，共設酒尊三。
HCH_012_047_000260	太歲諸神，籩豆各八，簠簋各二，酒尊三。
HCH_012_047_000261	嶽瀆山川同。
HCH_012_047_000262	歷代帝王。
HCH_012_047_000263	洪武四年定，登一，鉶二，籩豆各八，簠簋各一，俎一，爵三，尊三。
HCH_012_047_000264	七年更定，登、鉶、簠簋各一，籩豆各十，爵各三，共設酒尊五於殿西階，酒尊三於殿東階。
HCH_012_047_000265	二十一年增定，每位鉶二，簠簋各二，五室共設酒尊三，爵四十八。
HCH_012_047_000266	配位每壇籩豆各二，簠簋各一，饋盤一，每位鉶一，酒盞三。
HCH_012_047_000267	三皇，籩豆各八，簠簋各二，登、鉶各二，爵三，犧尊、象尊、山罍各一。
HCH_012_047_000268	配位，籩豆各四，簠簋各二，鉶一，爵三，犧尊、象尊各一。
HCH_012_047_000269	至聖先師。
HCH_012_047_000270	洪武元年定，籩豆各六，簠簋各二，登一，鉶二，犧尊、象尊、山罍各一。
HCH_012_047_000271	四配位，籩豆各四，簠簋各一，登一。
HCH_012_047_000272	十哲，兩廡，籩豆二。
HCH_012_047_000273	四年更定，正位，籩豆各十，酒尊三，爵三，餘如舊。
HCH_012_047_000274	四配，每位酒尊一，餘同正位。
HCH_012_047_000275	十哲，東西各爵一，每位籩豆各四，簠簋各一，鉶一，酒盞一。
HCH_012_047_000276	兩廡，東西各十三壇，東西各爵一，每壇籩豆各四，簠簋各一，酒盞四。
HCH_012_047_000277	十五年更定，正位，酒尊一，爵三，登一，鉶二，籩豆各八，簠簋各二。
HCH_012_047_000278	四配位，共酒尊一，各爵三，登一，鉶二，籩豆各六，簠簋各一。
HCH_012_047_000279	十哲，共酒尊一，東西各爵五，鉶一，籩豆各四，簠簋各一。
HCH_012_047_000280	東西廡，每四位爵四，籩豆各二，簠簋各一。
HCH_012_047_000281	景泰六年增兩廡籩豆各二，簠簋各一。
HCH_012_047_000282	成化十二年，增正位籩豆爲十二。
HCH_012_047_000283	嘉靖九年，仍減爲十。
HCH_012_047_000284	旗纛，與先農同。
HCH_012_047_000285	馬神，籩豆各四，簠簋、登、象尊、壺尊各一。
HCH_012_047_000286	玉三等：上帝，蒼璧；皇地祇，黃琮；太社、太稷，兩圭有邸；朝日、夕月，圭璧五寸。
HCH_012_047_000287	帛五等：曰郊祀制帛，郊祀正配位用之。
HCH_012_047_000288	上帝，蒼；地祇，黃；配位，白。
HCH_012_047_000289	曰禮神制帛，社稷以下用之。
