HCH_012_219_000315	三十六年秋，命始下。
HCH_012_219_000316	諸人列言路，方欲見風采，而給事中若霖先嘗忤賡，及是見黜，適當賡病起入直時。
HCH_012_219_000317	切謂賡修郤，攻訐四起，先後疏論至五十餘人。
HCH_012_219_000318	給事中喻安性者，賡里人，為賡上疏言：「今日政權不由內閣，盡移於司禮。」
HCH_012_219_000319	言者遂交章劾安性，復侵賡。
HCH_012_219_000320	是時賡已寢疾，乞休疏二十餘上。
HCH_012_219_000321	言者慮其復起，攻不已，而賡以十一月卒於官。
HCH_012_219_000322	遺疏陳時政，語極悲切。
HCH_012_219_000323	賡先加少保兼太子太保，進吏部尚書、文華殿大學士。
HCH_012_219_000324	及卒，贈太保，諡文懿。
HCH_012_219_000325	御史彭端吾復疏詆賡，給事中胡忻請停其贈諡，帝不聽。
HCH_012_219_000326	賡醇謹無大過，與沈一貫同鄉相比，暱給事中陳治則、姚文蔚等，以故蒙詬病云。
HCH_012_219_000327	子敬循，官禮部郎中，改稽勳。
HCH_012_219_000328	前此無正郎改吏部者，自敬循始。
HCH_012_219_000329	終右通政。
HCH_012_219_000330	贊曰：四維等當軸處中，頗滋物議。
HCH_012_219_000331	其時言路勢張，恣為抨擊。
HCH_012_219_000332	是非瞀亂，賢否混淆，羣相敵仇，罔顧國是。
HCH_012_219_000333	詬誶日積，又烏足為定論乎。
HCH_012_219_000334	然謂光明磊落有大臣之節，則斯人亦不能無愧辭焉。
HCH_012_219_000335	踰一日時行亦罷一日，原作「一月」。
HCH_012_219_000336	本書卷一一０宰輔年表萬曆十九年：時行「九月致仕」，國「九月致仕」。
HCH_012_219_000337	兩人致仕都在九月。
HCH_012_219_000338	神宗實錄卷二四０萬曆十九年九月、國榷卷七五頁四六五八都作壬申許國去，甲戌，申時行去，正踰一日。
HCH_012_219_000339	據改。
HCH_012_219_000340	用給事中馮景隆御史孫維城薦孫維城，原作「孫惟成」，據神宗實錄卷一三三萬曆十一年丙戌條、明進士題名碑錄隆慶辛未科改。
