HCH_012_235_000292	國泰欲釋人疑，惟明告貴妃，力求陛下速執保、成下吏。
HCH_012_235_000293	如果國泰主謀，是乾坤之大逆，九廟之罪人，非但貴妃不能庇，即陛下亦不能庇也。
HCH_012_235_000294	借劍尚方，請自臣始。
HCH_012_235_000295	或別有主謀，無與國泰事，請令國泰自任，凡皇太子、皇長孫起居悉屬國泰保護，稍有疏虞，罪即坐之，則臣與在廷諸臣亦願陛下保全國泰身，無替恩禮。
HCH_012_235_000296	若國泰畏有連引，預熒惑聖聰，久稽廷訊，或潛散黨與，俾之遠逃，或陰斃張差，以冀滅口，則罪愈不容誅矣。
HCH_012_235_000297	惟聖明裁察。
HCH_012_235_000298	疏入，帝大怒，欲罪之，念事已有跡，恐益致人言。
HCH_012_235_000299	而吏部先以士晉為東林黨，擬出為浙江僉事，候命三年未下。
HCH_012_235_000300	至是，帝急簡部疏，命如前擬。
HCH_012_235_000301	吏部言闕官已補，請改命。
HCH_012_235_000302	帝不許，命調前補者。
HCH_012_235_000303	吏部又以士晉積資已深，秩當參議。
HCH_012_235_000304	帝怒，切責尚書，奪郎中以下俸。
HCH_012_235_000305	士晉之官四年，移廣西參議。
HCH_012_235_000306	光宗立，擢尚寶少卿，遷太僕。
HCH_012_235_000307	天啟二年，以右僉都御史巡撫廣西。
HCH_012_235_000308	安南入犯，督將吏屢擊卻之。
HCH_012_235_000309	四年，擢兵部右侍郎，總督兩廣軍務，兼巡撫廣東。
HCH_012_235_000310	明年四月，魏忠賢大熾，爭梃擊者率獲罪。
HCH_012_235_000311	御史田景新希旨，誣叛臣安邦彥賄士晉十萬金，阻援兵。
HCH_012_235_000312	遂除士晉名，征賄助餉。
HCH_012_235_000313	士晉憤郁而卒。
HCH_012_235_000314	有司征贓急，家人但輸數百金，產已罄。
HCH_012_235_000315	會莊烈帝立，獲免，復官賜恤。
HCH_012_235_000316	陸大受，字凝遠，武進人。
HCH_012_235_000317	萬歷三十五年進士。
HCH_012_235_000318	授行人，屢遷戶部郎中。
HCH_012_235_000319	福王將之國，詔賜莊田四萬頃。
HCH_012_235_000320	大受請大減田額，因劾鄭國泰驕恣亂法狀，疏留中。
HCH_012_235_000321	王之寀發張差事，大受抗疏言：「青宮何地，張差何人，敢白晝持梃，直犯儲蹕，此乾坤何等時耶！業承一內官，何以不知其名？業承一大第，何以不知其所？彼三老、三太互相表裏，而霸州武舉高順寧者，今皆匿於何地？奈何不嚴竟而速斷耶？」
HCH_012_235_000322	戶部主事蒲州張庭者，大受同年生也，亦上言：「奸人突入大內，狙擊青宮，陛下宜何如震怒，立窮主謀。乃廷臣交章，一無批答，何也？君側藏奸，上下蒙蔽，皆由陛下精神偏註，皇太子召見甚稀，而前此冊立、選婚及近時東宮出講、郭妃卜葬諸事，陛下皆弗勝遲回，強而後可。彼宦寺者安得不妄生測度，陰蓄不逞，以僥幸於萬一哉！」
HCH_012_235_000323	皆不報。
HCH_012_235_000324	大受尋出為撫州知府，以清潔著聞。
HCH_012_235_000325	居二年，徐紹吉、韓浚以京察奪其官。
HCH_012_235_000326	庭再遷郎中，被齮龁。
HCH_012_235_000327	引退，抑郁以死。
HCH_012_235_000328	又有聞喜李俸者，為刑部郎中。
HCH_012_235_000329	當諸司會鞫時，張差語涉逆謀，郎中胡士相等相顧不敢錄。
HCH_012_235_000330	俸力爭，乃得入獄詞，遂為鄭氏黨所惡。
HCH_012_235_000331	及遷鳳翔知府，諸黨人以言懾之，竟不敢之任。
HCH_012_235_000332	後復中以京察，卒於家。
HCH_012_235_000333	天啟初，御史張慎言、方震孺、魏光緒、楊新期交章訟三人冤。
HCH_012_235_000334	乃贈庭、俸光祿寺少卿，大受起補韶州。
HCH_012_235_000335	已，都御史高攀龍請加庭、俸蔭謚，不果。
HCH_012_235_000336	大受未幾卒。
HCH_012_235_000337	王德完，字子醇，廣安人。
HCH_012_235_000338	萬歷十四年進士。
HCH_012_235_000339	選庶吉士，改兵科給事中。
