HCH_012_237_000213	棟如疏辨，因請非時考察京官，用清朋黨。
HCH_012_237_000214	朝貴大恨，遂下詔獄，榜掠備至。
HCH_012_237_000215	五年秋，坐贓戍滁陽。
HCH_012_237_000216	崇禎初，復官。
HCH_012_237_000217	致仕卒。
HCH_012_237_000218	王之翰，絳州人。
HCH_012_237_000219	官棗陽。
HCH_012_237_000220	力阻開礦，遂被逮拷死。
HCH_012_237_000221	天啟初，贈光祿少卿。
HCH_012_237_000222	孔時既長繋，廷臣救者數十上。
HCH_012_237_000223	帝皆不省。
HCH_012_237_000224	四十一年，萬壽節，葉向高復以為言，乃削籍放還。
HCH_012_237_000225	熹宗立，起南京刑部員外郎。
HCH_012_237_000226	吳宗堯，字仁叔，歙縣人。
HCH_012_237_000227	萬曆二十三年進士。
HCH_012_237_000228	授益都知縣。
HCH_012_237_000229	性強項。
HCH_012_237_000230	中官陳增以開礦至，誣奏福山知縣韋國賢阻撓，被逮削籍。
HCH_012_237_000231	守令多屈節如屬吏，宗堯獨具賓主禮。
HCH_012_237_000232	增黨程守訓，宗堯邑子也。
HCH_012_237_000233	宗堯惡其奸，不與通。
HCH_012_237_000234	驛丞金子登說增開孟丘山礦，宗堯叱其欺罔。
HCH_012_237_000235	子登懼，構於增。
HCH_012_237_000236	日征千人鑿山，多捶死；又誣富民盜礦，三日捕系五百人。
HCH_012_237_000237	二十六年九月，宗堯盡發增不法事。
HCH_012_237_000238	帝得疏意動，持不下。
HCH_012_237_000239	會給事中包見捷極論增罪，請撤還。
HCH_012_237_000240	帝責增，令檢下。
HCH_012_237_000241	見捷同官郝敬復請治增罪，帝乃不悅，責宗堯狂逞要名。
HCH_012_237_000242	已而山東巡撫尹應元劾增背旨虐民二十罪。
HCH_012_237_000243	帝遂發怒，切責應元，削宗堯籍。
HCH_012_237_000244	敬復抗疏諫，帝益怒，奪俸一年，並奪應元俸。
HCH_012_237_000245	增遂劾宗堯阻撓礦務，且令守訓誣訐之。
HCH_012_237_000246	帝既遣逮治，御史劉景辰、給事中侯慶遠爭之，不聽。
HCH_012_237_000247	使者至，民大嘩，欲殺增。
HCH_012_237_000248	宗堯行，民哭聲震地。
HCH_012_237_000249	既至，下詔獄拷訊，系經年。
HCH_012_237_000250	禮部郎鮑應鰲等言於沈一貫曰：「南康守吳寶秀已得安居牖下，宗堯何獨不然？」
HCH_012_237_000251	一貫揭入，即釋為民，未幾卒。
HCH_012_237_000252	天啟時，贈光祿少卿，賜祭，錄一子。
HCH_012_237_000253	吳寶秀，字汝珍，平陽人。
HCH_012_237_000254	萬曆十七年進士。
HCH_012_237_000255	授大理評事。
HCH_012_237_000256	歷寺正，出為南康知府。
HCH_012_237_000257	湖口稅監李道橫甚，寶秀不與通。
HCH_012_237_000258	漕舟南還，乘風揚帆入湖口。
HCH_012_237_000259	道欲榷其貨，遣卒急追之，舟覆，有死者。
HCH_012_237_000260	道遣吏捕漕卒，寶秀拒不發。
HCH_012_237_000261	道怒，劾寶秀及星子知縣吳一元、青山巡檢程資阻撓稅務，詔俱逮治。
HCH_012_237_000262	給事中楊應文等請下撫按公勘。
HCH_012_237_000263	大學士沈一貫、吏部尚書李戴、國子祭酒方從哲等交章為言，俱不報。
HCH_012_237_000264	寶秀妻陳氏慟哭，請偕行，寶秀不可。
HCH_012_237_000265	乃括余貲及簪珥付其妾曰：「夫子行，以為路費。」
HCH_012_237_000266	夜自經死。
HCH_012_237_000267	寶秀至京，下詔獄。
HCH_012_237_000268	大學士趙誌臯上言：「頃臣臥病，聞中外人情洶洶，皆為礦稅一事。南康守吳寶秀逮系時，其妻至投繯自盡，闔郡號呼，幾成變亂。事關民生向背，宗社安危，臣不敢以將去之身，隱默而不言。」
HCH_012_237_000269	星子民陳英者，方廬墓，約儒士熊應鳳等走京師，伏闕訟冤，乞以身代。
HCH_012_237_000270	於是撫按及南北諸臣論救者疏十餘上，帝皆不省。
HCH_012_237_000271	一日，司禮田義匯諸疏進御前，帝怒擲地。
HCH_012_237_000272	義從容拾起，復進之，叩首曰：「閣臣跪候朝門外，不奉處分不敢退。」
HCH_012_237_000273	帝怒稍平，取閱閣臣疏，命移獄刑部。
HCH_012_237_000274	皇太后亦聞陳氏之死，從容為帝言。
HCH_012_237_000275	至九月，與一元等並釋為民。
HCH_012_237_000276	歸家，逾年卒。
HCH_012_237_000277	初，南康士民建祠，特祀陳氏，後合寶秀祀之。
HCH_012_237_000278	天啟中，贈太僕少卿，賜祭，錄其一子。
HCH_012_237_000279	華鈺，字德夫，丹徒人。
HCH_012_237_000280	萬曆二十三年進士。
HCH_012_237_000281	授荊州推官。
HCH_012_237_000282	稅監陳奉仆直馳府署中，鈺笞之。
HCH_012_237_000283	奉佯謝，銜之刺骨。
HCH_012_237_000284	奉所受敕止江稅，乃故移之市，又倍蓰征之。
HCH_012_237_000285	稍與辨，輒毆擊破面。
HCH_012_237_000286	商賈怖匿，負擔者不敢出其途。
HCH_012_237_000287	鈺白御史嚴戢，奉益恨。
HCH_012_237_000288	奉欲榷沙市稅，沙市人群起逐之，奉疑鈺所使。
HCH_012_237_000289	已，欲榷黃州團風鎮稅，復為鎮民所逐，奉又疑經歷車任重教之。
HCH_012_237_000290	遂上疏極論鈺、任重阻撓罪，並及巡按御史曹楷、襄陽知府李商耕、黃州知府趙文煥、荊門知州高則巽等數十人。
HCH_012_237_000291	帝切責楷，貶商耕等三人官，鈺、任重皆被逮。
HCH_012_237_000292	時二十七年八月也。
HCH_012_237_000293	既至，下鎮撫獄訊治，俾引御史楷。
HCH_012_237_000294	鈺堅不承，繫獄中。
HCH_012_237_000295	初，吳宗堯、吳寶秀皆不久即釋。
HCH_012_237_000296	帝欲痛折辱以懼之，於是鈺與馮應京、王正誌等先後十餘人悉長繋。
HCH_012_237_000297	廷臣論救章數上，皆不報。
HCH_012_237_000298	獄中有鳥，形類鶴而小，怪鳴，則逮者至。
HCH_012_237_000299	一夕，鳥鳴甚哀。
HCH_012_237_000300	鈺起坐俟之，則應京至。
HCH_012_237_000301	居久之，語鈺以主靜窮理之學，日相與研究。
HCH_012_237_000302	三十二年六月，長陵災，肆赦，鈺與任並釋為民。
HCH_012_237_000303	家居四年卒。
HCH_012_237_000304	天啟中，贈尚寶少卿，賜祭，錄一子。
HCH_012_237_000305	王正誌，祥符人。
HCH_012_237_000306	萬曆二十六年進士。
HCH_012_237_000307	除富平知縣。
HCH_012_237_000308	二十八年，稅使梁永、趙欽肆虐，正誌捕其黨李英，杖殺之，因極論二人不法罪。
HCH_012_237_000309	欽亦以李英事訐奏，帝怒，命逮之。
HCH_012_237_000310	給事中陳惟春言正誌劾欽罪多，宜提訊；欽所劾正誌事宜下撫按核實，免其逮系。
HCH_012_237_000311	御史李時華亦言近日所逮吳應鴻、勞養魁、蔡如川、甘學書及正誌等，俱宜敕下撫按勘虛實，不得以一人單詞枉害良善。
HCH_012_237_000312	皆不報。
HCH_012_237_000313	未幾，梁永亦訐正誌。
HCH_012_237_000314	帝命諸抗違欺隱者悉指名劾奏，重治之。
HCH_012_237_000315	宦官盆張，長吏皆喪氣。
HCH_012_237_000316	正誌系詔獄四年，三十一年夏，瘐死。
HCH_012_237_000317	天啟時，贈祭，蔭子，皆視鈺。
HCH_012_237_000318	自礦稅興，中使四出，跆藉有司。
HCH_012_237_000319	謗書一聞，駕帖立下。
HCH_012_237_000320	二十四年，則遼東參將梁心；二十五年，則山東福山知縣韋國賢；二十六年，則山東益都知縣吳宗堯；二十七年，則江西南康知府吳寶秀、星子知縣吳一元、山東臨清守備王煬；二十八年，則廣東新會在籍通判吳應鴻，舉人勞養魁、鐘聲朝、梁鬥輝，雲南尋甸知府蔡如川，趙州知州甘學書及正誌；二十九年，則湖廣按察僉事馮應京、襄陽通判邸宅、推官何棟如、棗陽知縣王之翰、武昌同知卞孔時、江西饒州通判陳奇可；三十年，則鳳陽臨淮知縣林錝；三十四年，則陜西咸陽知縣宋時際；三十五年，則陜西咸寧知縣滿朝薦；三十六年，則遼東海防同知王邦才、參將李獲陽；皆幽系詔獄，久者至十餘年。
HCH_012_237_000321	煬、應鴻、獲陽斃獄中，其他削籍、貶官有差。
HCH_012_237_000322	至士民幽系死亡者，尤不可勝紀也。
HCH_012_237_000323	贊曰：神宗二十四年，軍府千戶仲春請開礦助大工，遂命戶部錦衣官各一人同仲春開采。
HCH_012_237_000324	給事中程紹言嘉靖中采礦，費帑金三萬餘，得礦銀二萬八千五百，得不償失，因罷其役。
HCH_012_237_000325	給事中楊應文繼言之。
HCH_012_237_000326	皆不納。
HCH_012_237_000327	由是卑秩冗僚，下至市井黠桀，奮起言利。
HCH_012_237_000328	而珰使四出，毒流海內，民不聊生，至三十三年乃罷。
HCH_012_237_000329	嗣是軍興征發，加派再三。
HCH_012_237_000330	府庫未充，膏脂已竭，明室之亡，於是決矣。
