HCH_012_041_000000	山東《禹貢》青、兗二州地。
HCH_012_041_000301	東南有故城，元時縣治在焉。
HCH_012_041_000302	今治本王陵店，洪武十三年徙置。
HCH_012_041_000303	南有梁山濼，即故大野澤下流。
HCH_012_041_000304	東北有會通河，又有沙灣，弘治前黃河經此，後堙。
HCH_012_041_000305	西南有梁山集巡檢司。
HCH_012_041_000306	曹州正統十年十二月以曹縣之黃河北舊土城置。
HCH_012_041_000307	東有舊黃河，洪武初，引河入泗以通運處也。
HCH_012_041_000308	永樂中，亦嘗條浚。
HCH_012_041_000309	南有灉河。
HCH_012_041_000310	東南有菏澤，流爲菏水。
HCH_012_041_000311	東北距府三百里。
HCH_012_041_000312	領縣二：曹州東南。
HCH_012_041_000313	元曹州，治濟陰縣，直隸中書省。
HCH_012_041_000314	洪武元年省濟陰縣入州。
HCH_012_041_000315	二年，州治自北徙於盤石鎮。
HCH_012_041_000316	四年降爲縣，屬濟寧府。
HCH_012_041_000317	正統十年十二月置州，以縣屬焉。
HCH_012_041_000318	西南有黃陵岡，與河南儀封縣界。
HCH_012_041_000319	弘治五年，黃河決於此，河遂在縣南，東入單縣界，至南直徐州，合泗入淮。
HCH_012_041_000320	又西有賈魯河，嘉靖前猶爲運道，後廢。
HCH_012_041_000321	東南有楚丘縣，元屬曹州，洪武初省。
HCH_012_041_000322	又西北有安陵鎮巡檢司。
HCH_012_041_000323	定陶州東南。
HCH_012_041_000324	元屬曹州。
HCH_012_041_000325	洪武元年屬濟寧府。
HCH_012_041_000326	十年五月省入城武縣。
HCH_012_041_000327	十三年十一月復置，仍屬濟寧府。
HCH_012_041_000328	正統十年十二月來屬。
HCH_012_041_000329	西有黃河故道。
HCH_012_041_000330	弘治前，河經此，至張秋之沙灣入會通河。
HCH_012_041_000331	沂州元屬益都路，後省州治臨沂縣入州。
HCH_012_041_000332	洪武元年屬濟寧府。
HCH_012_041_000333	五年屬濟南府。
HCH_012_041_000334	七年十二月屬青州府。
HCH_012_041_000335	十八年來屬。
HCH_012_041_000336	弘治四年八月建涇王府，嘉靖十六年除。
HCH_012_041_000337	西有艾山。
HCH_012_041_000338	東有沂水，源自青州沂水縣，南流至州境，與枋水合，下流入泗。
HCH_012_041_000339	又有沭水，流經南直安東縣爲漣水，入淮。
