HCH_012_042_000426	東有史河，西有淠河，俱入南直霍丘縣界，下流入淮。
HCH_012_042_000427	又東北有硃皋鎮，與南直潁州界，有巡檢司。
HCH_012_042_000428	息州西北。
HCH_012_042_000429	元息州，洪武四年二月屬中都臨濠府。
HCH_012_042_000430	尋降爲縣，屬潁州。
HCH_012_042_000431	七年仍來屬。
HCH_012_042_000432	南濱淮。
HCH_012_042_000433	東北有汝水。
HCH_012_042_000434	北有楊莊店巡檢司，後移於縣東北之固城倉。
HCH_012_042_000435	商城州東南。
HCH_012_042_000436	成化十一年四月析固始縣地置。
HCH_012_042_000437	南有金剛台山。
HCH_012_042_000438	又東南有竹根山。
HCH_012_042_000439	東有大蘇山，灌水出焉，流入南直霍丘縣。
HCH_012_042_000440	又東有牛山河，即史河上源也。
HCH_012_042_000441	西南有五水關河。
HCH_012_042_000442	又南有五河，下流俱入於史河。
HCH_012_042_000443	又南有金剛臺巡檢司，本置金剛台山下，嘉靖二十七年移於縣東南之水東案。
HCH_012_042_000444	又南有長嶺關，東南有松子關，俱接湖廣羅田縣界。
HCH_012_042_000445	南陽府元直隸河南江北行省。
HCH_012_042_000446	洪武初，因之。
HCH_012_042_000447	領州二，縣十一。
HCH_012_042_000448	距布政司六百八十里。
HCH_012_042_000449	南陽倚。
HCH_012_042_000450	洪武二十四年建唐王府。
HCH_012_042_000451	城南有精山。
HCH_012_042_000452	北有百重山、雉衡山。
HCH_012_042_000453	又有分水嶺，其水北流入於汝水，南流入於淯水。
HCH_012_042_000454	西南有臥龍岡。
HCH_012_042_000455	東有淯水，一名白河，下流至湖廣襄陽縣界入漢水。
HCH_012_042_000456	西南有湍水，西北有洱水，皆流入淯水。
HCH_012_042_000457	鎮平府西。
HCH_012_042_000458	洪武十年五月省入南陽縣。
HCH_012_042_000459	十三年十一月復置。
HCH_012_042_000460	西北有五朵山，產銅。
HCH_012_042_000461	東有潦河，流入淯河。
HCH_012_042_000462	唐府東南。
HCH_012_042_000463	洪武三年以故比陽縣地置。
HCH_012_042_000464	南有唐子山。
HCH_012_042_000465	東北有大狐山，亦曰壺山，沘水所出。
HCH_012_042_000466	又西有黃淳水，又有泌水，下流皆入淯水。
HCH_012_042_000467	又東北有石夾口關。
HCH_012_042_000468	泌陽府東。
HCH_012_042_000469	元爲唐州治。
HCH_012_042_000470	洪武二年二月省入州。
HCH_012_042_000471	十三年十一月，州廢，復置縣。
HCH_012_042_000472	東有銅山，泌水出焉。
HCH_012_042_000473	又北有潕水，東北有瀙水，下流俱入汝水。
HCH_012_042_000474	又象河關在縣東北，有巡檢司。
HCH_012_042_000475	桐柏府東南。
HCH_012_042_000476	本唐縣之桐柏鎮巡檢司。
HCH_012_042_000477	成化十二年十二月改置縣，而移巡檢司於毛家集。
HCH_012_042_000478	東有桐柏山，淮水所經，下流至南直安東縣入海，行二千三百餘里。
HCH_012_042_000479	又東有大復山。
HCH_012_042_000480	西北有胎簪山，淮水所出。
HCH_012_042_000481	又西有澧水，亦曰醴水，下流入泌水。
HCH_012_042_000482	南召府北。
HCH_012_042_000483	成化十二年十二月以南陽縣南召堡置。
HCH_012_042_000484	北有丹霞山，一名留山。
HCH_012_042_000485	北有魯陽關，即三鴉路口也，與魯山縣界。
HCH_012_042_000486	有鴉路鎮巡檢司，成化十二年十二月移於窪石口。
HCH_012_042_000487	鄧州元治穰縣。
HCH_012_042_000488	洪武二年二月，縣廢。
HCH_012_042_000489	十三年十一月復置縣。
HCH_012_042_000490	十四年五月復省入州。
HCH_012_042_000491	南有析隈山。
HCH_012_042_000492	西北有白崖山。
HCH_012_042_000493	北有湍水，又東有涅水，亦名趙河，自北來入焉。
HCH_012_042_000494	東北距府百二十里。
HCH_012_042_000495	領縣三：內鄉州北少西。
HCH_012_042_000496	東有熊耳山，湍水所出。
HCH_012_042_000497	西南有淅水，又有丹水。
HCH_012_042_000498	又北有菊潭。
HCH_012_042_000499	東北有金斗山巡檢司，後廢。
HCH_012_042_000500	又西北有西硤口關巡檢司。
HCH_012_042_000501	又西南有黨子口關。
HCH_012_042_000502	又西有武關，路出陝西商州。
HCH_012_042_000503	新野州東南。
HCH_012_042_000504	西有清水，又有湍水，又北有沘水，東有棘水，皆流入於淯水。
HCH_012_042_000505	淅川州西。
HCH_012_042_000506	成化六年析內鄉縣地置。
HCH_012_042_000507	東南有太白山。
HCH_012_042_000508	又有丹崖山。
HCH_012_042_000509	東有均水，又西南有淅水，北有丹水俱流入焉，南入於漢水。
HCH_012_042_000510	西北有花園頭巡檢司，又有荊子口關。
HCH_012_042_000511	又西有峽口鎮，南接湖廣均州界。
HCH_012_042_000512	裕州洪武初，以州治方城縣省入。
HCH_012_042_000513	東北有方城山，渚水出焉，下流入沘水。
HCH_012_042_000514	西南距府百二十里。
