HCH_013_079_000207	有數百騎至齊化門迤平則門而西，營兵屯近郊者詰之，曰：「陽和兵之勤王者。」
HCH_013_079_000208	實皆賊候騎也。
HCH_013_079_000209	時人心洶洶，皆言：「天子南狩，有內官數十騎擁護出得勝門矣。」
HCH_013_079_000210	守門皆內官爲政，卿貳勳戚不得上。
HCH_013_079_000211	乙巳昧爽，開西直門納避難者，內官坐城上，以令箭下，門立啓，無敢詰問，勳戚大臣惟坐視而已。
HCH_013_079_000212	上早朝，召對諸臣而泣，俯首書御案十二字，以示司禮監王之心，尋拭去。
HCH_013_079_000213	漏下已刻，急足叩城下，曰：「遠塵衝天，寇深矣。」
HCH_013_079_000214	守城內臣使騎探之，報曰：「哨騎也。」
HCH_013_079_000215	不爲意。
HCH_013_079_000216	日且午，有五六十騎彎弓貫矢，大呼「開門」。
HCH_013_079_000217	守卒亟發礮，斃二十騎，難民死數十人，門始閉。
HCH_013_079_000218	須臾，賊大至，方報「過蘆溝橋」，俄攻平則、彰義等門矣。
HCH_013_079_000219	城外三大營皆潰降，火車、巨礮、蒺藜、鹿角皆爲賊有。
HCH_013_079_000220	賊反礮攻城，轟聲震地。
HCH_013_079_000221	京軍五月無餉，一時驅守，率多不至，每堵一人多不及。
HCH_013_079_000222	諸臣方侍班，襄城伯李國楨匹馬馳闕下，汗浹霑衣，內侍呵止之，國楨曰：「此何時也！君臣卽求相見，不可多得矣。」
HCH_013_079_000223	內臣叩之，曰：「守軍不用命，鞭一人起，一人復臥如故。」
HCH_013_079_000224	上召入，因命內臣俱守城，譁曰：「諸文武何爲？」
HCH_013_079_000225	且言：「官止內操，我甲械俱無，奈何？」
HCH_013_079_000226	或曰：「我輩月食五十萬，效死固當。」
HCH_013_079_000227	乃請如己巳歲所派數，俱乘城，凡數千人。
HCH_013_079_000228	上括中外庫金二十萬犒軍。
HCH_013_079_000229	是日，細民有痛哭輸金者，或三百金，或四百金，各授錦衣衞千戶。
HCH_013_079_000230	丙午，寇攻城，礮聲不絕，流矢雨集。
HCH_013_079_000231	仰語守兵曰：「亟開門，否且屠矣！」
HCH_013_079_000232	守者懼，空礮向外，不實鉛子，徒以硝燄鳴之，猶揮手示賊，賊稍退，礮乃發。
HCH_013_079_000233	賊驅居民負木石，塡濠急攻。
HCH_013_079_000234	我發「萬人敵」大礮，誤傷數十人，守者驚潰，盡傳城陷，闔城號哭奔竄。
HCH_013_079_000235	賊駕飛梯攻西直、平則、德勝三門，勢甚危急。
HCH_013_079_000236	太常少卿吳麟徵累土塡西直門，因單騎馳入西安門。
HCH_013_079_000237	吏部侍郎沈惟炳守門，曰：「內守有宦寺，百官不得入，奈何？」
HCH_013_079_000238	麟徵排門而入，太監王德化語麟徵曰：「守城人少奈何？請增益之。」
HCH_013_079_000239	麟徵至午門，遇大學士魏藻德，止之曰：「兵部調度兵餉已足，公何事張皇耶？藻德且出閣。上方休，公安從入？」
HCH_013_079_000240	麟徵流涕，固請得以非時見，藻德挽之出。
HCH_013_079_000241	是日，封劉澤清東平伯。
HCH_013_079_000242	時左諭德楊士聰、衞胤文入直，語閣臣：「左良玉、吳三桂俱封，而遺劉澤清。且臨清地近，可虞也。」
HCH_013_079_000243	閣揭上，得封。
HCH_013_079_000244	都察院左都御史李邦華至正陽門，欲登城，中貴拒之。
HCH_013_079_000245	李自成對彰義門設座，晉王、代王左右席地坐，太監杜勳侍其下，呼：「城上人莫射，我杜勳也。可縋下一人以語。」
HCH_013_079_000246	守者曰：「留一人下爲質，請公上。」
HCH_013_079_000247	勳曰：「我杜勳無所畏，何質爲！」
HCH_013_079_000248	提督太監王承恩縋之上，同入見大內，盛稱「賊勢重，皇上可自爲計」。
HCH_013_079_000249	守陵太監申芝秀自昌平降賊，亦縋上入見，備述賊犯上不道語，請遜位。
HCH_013_079_000250	上怒叱之。
HCH_013_079_000251	諸內臣請留勳，勳曰：「有秦、晉二王爲質，不返，則二王不免矣。」
HCH_013_079_000252	乃縱之出，仍縋下。
HCH_013_079_000253	勳語守璫王則堯、褚憲章輩曰：「吾黨富貴自在也。」
HCH_013_079_000254	初，聞勳殉難，贈司禮監太監，廕錦衣衞指揮僉事，立祠，至是，始知勳固從賊爲逆也。
HCH_013_079_000255	兵部尚書張縉彥奏曰：「時勢如此危急，臣屢至城閾，欲覘城上守禦，輒爲監視抑沮。今聞王化成等擅縋賊杜勳上城，未知何意，恐有奸宄不測。」
HCH_013_079_000256	章上，上手書遣縉彥上城按之。
HCH_013_079_000257	至城，內監沮之如故。
HCH_013_079_000258	示以上傳，始登。
HCH_013_079_000259	問：「杜勳安在？」
HCH_013_079_000260	云：「昨暮上，今晨下之。已上聞，無容致詰。」
HCH_013_079_000261	又曰：「尚有秦、晉二王在城下，亦欲通語。」
HCH_013_079_000262	縉彥曰：「秦、晉二王旣降寇，如何可上！」
HCH_013_079_000263	內監拂衣去。
HCH_013_079_000264	因閱城上，守卒寥寥。
HCH_013_079_000265	兵部侍郎王家彥痛哭云：「賊勢如此，監視將營兵調去，李襄城處尚有十之四。家彥所守，兩堵僅一卒。」
HCH_013_079_000266	語未竟，城下坎牆聲急，太監王承恩礮擊之，連斃數人。
HCH_013_079_000267	王化成等飲酒自若。
HCH_013_079_000268	縉彥馳至內閣，約同奏，至宮門，傳止之。
HCH_013_079_000269	上下詔親征。
HCH_013_079_000270	召駙馬都尉鞏永固，謀以家丁護太子南行，對曰：「臣等安敢私蓄家丁，卽有之，何足當賊！」
HCH_013_079_000271	乃罷。
HCH_013_079_000272	已，召王承恩亟飭內員備親征。
HCH_013_079_000273	申刻，彰義門啓，蓋太監曹化淳獻城開門也。
HCH_013_079_000274	賊恣殺掠，前太學士蔣德璟宿會館被創。
HCH_013_079_000275	上亟召閣臣入，曰：「卿等知外城破乎？」
HCH_013_079_000276	曰：「不知。」
HCH_013_079_000277	上曰：「事亟矣，今出何策？」
HCH_013_079_000278	俱曰：「陛下之福，自當亡慮。如其不利，臣等巷戰，誓不負國。」
HCH_013_079_000279	命退。
HCH_013_079_000280	是夕，上不能寢。
HCH_013_079_000281	內城陷，一閹奔告，上曰：「大營兵安在？李國楨何往？」
HCH_013_079_000282	答曰：「大營兵散矣。皇上宜急走。」
HCH_013_079_000283	其人卽出，呼之不應。
HCH_013_079_000284	上卽同王承恩幸南宮，登萬歲山，望烽火燭天，徘徊踰時。
HCH_013_079_000285	回乾清宮，朱書諭內閣：「命成國公朱純臣提督內外諸軍事，來輔東宮。」
HCH_013_079_000286	內臣持至閣。
HCH_013_079_000287	因命進酒，連沃數觥，歎曰：「苦我民爾！」
HCH_013_079_000288	以太子、永王、定王分送外戚周、田二氏。
HCH_013_079_000289	語皇后曰：「大事去矣。」
HCH_013_079_000290	各泣下。
HCH_013_079_000291	宮人環泣，上揮去，令各爲計。
HCH_013_079_000292	皇后頓首曰：「妾事陛下十有八年，卒不聽一語，至有今日。」
HCH_013_079_000293	皇后拊太子、二王慟甚，遣之出。
HCH_013_079_000294	后自經。
HCH_013_079_000295	上召公主至，年十五，歎曰：「爾何生我家！」
HCH_013_079_000296	左袖掩面，右揮刀斷左臂，未殊死，手慄而止。
HCH_013_079_000297	命袁貴妃自經，繫絕，久之蘇，上拔劍刃其肩。
HCH_013_079_000298	又刃所御妃嬪數人。
HCH_013_079_000299	召王承恩對飲，少頃，易靴出中南門。
HCH_013_079_000300	手持三眼槍，雜內豎數十人，皆騎而持斧，出東華門。
HCH_013_079_000301	內監守城，疑有內變，施矢石相向。
HCH_013_079_000302	時成國公朱純臣守齊化門，因至其第，閽人辭焉，上太息而去。
HCH_013_079_000303	走安定門，門堅不可啓，天且曙矣。
HCH_013_079_000304	帝御前殿，鳴鐘集百官，無一至者。
HCH_013_079_000305	遂仍回南宮，登萬歲山之壽皇亭自經。
HCH_013_079_000306	亭新成，所閱內操處也。
HCH_013_079_000307	太監王承恩對縊。
HCH_013_079_000308	上披髮，御藍衣，跣左足，右朱履，衣前書曰：「朕自登極十七年，逆賊直逼京師。雖朕薄德匪躬，上干天咎，然皆諸臣之誤朕也。朕死無面目見祖宗於地下，去朕冠冕，以髮覆面，任賊分裂朕屍，勿傷百姓一人。」
HCH_013_079_000309	又書一行：「百官俱赴東宮行在。」
HCH_013_079_000310	猶謂閣臣已得硃諭也。
HCH_013_079_000311	不知內官持硃諭至閣，閣臣已散，置几上而反，文武羣臣無一人知者。
HCH_013_079_000312	丁未昧爽，天忽雨，俄微雪。
HCH_013_079_000313	須臾，城陷。
HCH_013_079_000314	賊先入東直門，殺守門御史王章，守卒蟻墜。
HCH_013_079_000315	兵部侍郎張伯鯨走匿民舍。
HCH_013_079_000316	賊騎塞巷，大呼民間速獻騾馬。
HCH_013_079_000317	賊經象房橋，羣象哀鳴，淚下如雨。
HCH_013_079_000318	內臣前導。
HCH_013_079_000319	兵部侍郎王家彥自經於民舍。
HCH_013_079_000320	大學士魏藻德等未聞變，猶傳單醵金，方岳貢、范景文方傳導至西長安門，亟還。
