HCH_012_167_000244	王師敗於土木，守邊者無固誌，澤與其子儼訣而行。
HCH_012_167_000245	受事未數日，也先兵大入，守將呂鐸遁。
HCH_012_167_000246	澤督兵扼山口，大風揚沙，不辨人馬。
HCH_012_167_000247	或請移他關避敵，澤不可。
HCH_012_167_000248	寇至，眾潰，澤按劍厲聲叱賊，遂被殺。
HCH_012_167_000249	事聞，遣官葬祭，錄儼為大理評事。
HCH_012_167_000250	袁彬，字文質，江西新昌人。
HCH_012_167_000251	正統末，以錦衣校尉扈帝北征。
HCH_012_167_000252	土木之變，也先擁帝北去，從官悉奔散，獨彬隨侍，不離左右。
HCH_012_167_000253	也先之犯大同、宣府，逼京師，皆奉帝以行。
HCH_012_167_000254	上下山阪，涉溪澗，冒危險，彬擁護不少懈。
HCH_012_167_000255	帝駐蹕土城，欲奉書皇太后貽景帝及諭群臣，以彬知書令代草。
HCH_012_167_000256	帝既入沙漠，所居止毳帳敝幃，旁列一車一馬，以備轉徙而已。
HCH_012_167_000257	彬周旋患難，未嘗違忤。
HCH_012_167_000258	夜則與帝同寢，天寒甚，恒以脅溫帝足。
HCH_012_167_000259	有哈銘者，蒙古人。
HCH_012_167_000260	幼從其父為通事，至是亦侍帝。
HCH_012_167_000261	帝宣諭也先及其部下，嘗使銘。
HCH_012_167_000262	也先輩有所陳請，亦銘為轉達。
HCH_012_167_000263	帝獨居氈廬，南望悒郁。
HCH_012_167_000264	二人時進諧語慰帝，帝亦為解顏。
HCH_012_167_000265	中官喜寧為也先腹心。
HCH_012_167_000266	也先嘗謂帝曰：「中朝若遣使來，皇帝歸矣。」
HCH_012_167_000267	帝曰：「汝自送我則可，欲中朝遣使，徒費往返爾。」
HCH_012_167_000268	寧聞，怒曰：「欲急歸者彬也，必殺之。」
HCH_012_167_000269	寧勸也先西犯寧夏，掠其馬，直趨江表，居帝南京。
HCH_012_167_000270	彬、銘謂帝曰：「天寒道遠，陛下又不能騎，空取凍饑。且至彼而諸將不納，奈何？」
HCH_012_167_000271	帝止寧計。
HCH_012_167_000272	寧又欲殺二人，皆帝力解而止。
HCH_012_167_000273	也先將獻妹於帝，彬請駕旋而後聘，帝竟辭之。
HCH_012_167_000274	也先惡彬、銘二人，欲殺者屢矣。
HCH_012_167_000275	一日縛彬至曠埜，將支解之。
HCH_012_167_000276	帝聞，如失左右手，急趨救，乃免。
HCH_012_167_000277	彬嘗中寒，帝憂甚，以身壓其背，汗浹而愈。
HCH_012_167_000278	帝居漠北期年，視彬猶骨肉也。
HCH_012_167_000279	及帝還京，景帝僅授彬錦衣試百戶。
HCH_012_167_000280	天順復辟，擢指揮僉事。
HCH_012_167_000281	尋進同知。
