HCH_012_224_000225	如蔡文範、習孔教輩並掛察籍，不為眾所服。
HCH_012_224_000226	辛巳，居正威福已成，王國光唯諾惟謹，考功郎中孫惟清與吏科秦耀謀盡錮建言諸臣吳中行等。
HCH_012_224_000227	今輔臣趙誌臯、張位、撫臣趙世卿亦掛名南北京察，公論冤之。
HCH_012_224_000228	丁亥，御史王國力折給事中楊廷相、同官馬允登之邪議。
HCH_012_224_000229	而尚書楊巍素性模棱，考功郎徐一槚立調停之畫。
HCH_012_224_000230	涇、渭失辯，亦為時議所議。
HCH_012_224_000231	獨今春之役，旁咨博采，核實稱情，邪諂盡屏，貪墨必汰；乃至鑨割渭陽之情，南星忍秦、晉之好，公正無逾此者。
HCH_012_224_000232	元輔錫爵兼程赴召，人或疑其欲幹計典。
HCH_012_224_000233	今其親故皆不能庇，欲甘心南星久矣。
HCH_012_224_000234	故道隆章上，而專權結黨之旨旋下。
HCH_012_224_000235	夫以吏部議留一二庶僚為結黨，則兩都大僚被拾遺者二十有二人，而閣臣議留者六，詹事劉虞夔以錫爵門生而留，獨可謂之非黨耶？
HCH_012_224_000236	且部權歸閣，自高拱兼攝以來，已非一日。
HCH_012_224_000237	尚書自張瀚、嚴清而外，選郎自孫钅廣、陳有年而外，莫不奔走承命。
HCH_012_224_000238	其流及於楊巍，至劉希孟、謝廷寀而掃地盡矣。
HCH_012_224_000239	尚書宋纁稍欲振之，卒為故輔申時行齮龁以死。
HCH_012_224_000240	尚書陸光祖、文選郎王教、考功郎鄒觀光矢誌澄清，輔臣王家屏虛懷以聽，銓敘漸清。
HCH_012_224_000241	乃時行身雖還裏，機伏垣墻，授意內榼張誠、田義及言路私人，教、觀光遂不久斥逐。
HCH_012_224_000242	今祖其故智，借拾遺以激聖怒，是內榼與閣臣表裏，箝勒部臣，而陛下未之察也。
HCH_012_224_000243	疏入，帝怒，謫孔兼、泰來等。
HCH_012_224_000244	世達又抗疏論救，帝怒，盡斥南星、淳熙、於廷黃為民。
HCH_012_224_000245	鑨乃上疏言：「吏部雖以用人為職，然進退去留，必待上旨。是權固有在，非臣部得專也。今以留二庶僚為專權，則無往非專矣；以留二司屬為結黨，則無往非黨矣。如避專權結黨之嫌，畏縮選愞，使銓職之輕自臣始，臣之大罪也。臣任使不效，徒潔身而去，俾專權結黨之說終不明於當時，後來者且以臣為戒，又大罪也。」
HCH_012_224_000246	固請賜骸骨，仍不允。
HCH_012_224_000247	鑨遂杜門稱疾。
HCH_012_224_000248	疏累上，帝猶溫旨慰留，賜羊豕、酒醬、米物，且敕侍郎蔡國珍暫署選事，以需鑨起。
HCH_012_224_000249	鑨堅臥三月，疏至十上，乃許乘傳歸。
HCH_012_224_000250	居三年卒。
HCH_012_224_000251	贈太子太保，謚清簡。
HCH_012_224_000252	鑨嘗曰：「大臣不合，惟當引去。否則有職業在，謹自守足矣。」
HCH_012_224_000253	其誌節如此。
HCH_012_224_000254	子如法，官刑部主事。
HCH_012_224_000255	以諫阻鄭貴妃進封，貶潮陽典史。
HCH_012_224_000256	久之，移疾歸。
HCH_012_224_000257	廷臣累薦，悉報寢。
HCH_012_224_000258	卒，贈光祿少卿。
HCH_012_224_000259	陳有年，字登之，余姚人。
HCH_012_224_000260	父克宅，字即卿，正德九年進士。
HCH_012_224_000261	嘉靖中官御史。
HCH_012_224_000262	哭爭「大禮」，有大僚欲去，克宅扼其項曰：「奈何先去為人望？」
HCH_012_224_000263	其人愧而止。
HCH_012_224_000264	俄繫獄廷杖。
HCH_012_224_000265	獲釋，先後按貴州、河南，多所彈劾。
HCH_012_224_000266	吏部尚書廖紀姻為所劾罷，惡之，出為松潘副使。
HCH_012_224_000267	累遷右副都御史，巡撫貴州。
HCH_012_224_000268	都勻苗王阿向作亂，據凱口囤。
HCH_012_224_000269	克宅與總兵官楊仁攻斬阿向。
HCH_012_224_000270	論功，進秩。
HCH_012_224_000271	旋移撫蘇、松。
HCH_012_224_000272	既行，而阿向黨復叛，坐罷官候勘。
HCH_012_224_000273	巡撫汪珊討平賊，推功克宅。
HCH_012_224_000274	克宅已卒，乃賜恤典。
HCH_012_224_000275	有年舉嘉靖四十一年進士，授刑部主事。
HCH_012_224_000276	改吏部，歷驗封郎中。
HCH_012_224_000277	萬歷元年，成國公朱希忠卒，其弟錦衣都督希孝賄中官馮保援張懋例乞贈王，大學士張居正主之。
HCH_012_224_000278	有年持不可，草奏言：「令典：功臣歿，公贈王，侯贈公，子孫襲者，生死止本爵。懋贈王，廷議不可，即希忠父輔亦言之。後竟贈，非制。且希忠無勛伐，豈當濫寵。」
HCH_012_224_000279	左侍郎劉光濟署部事，受指居正，為刪易其稿。
HCH_012_224_000280	有年力爭，竟以原奏上。
HCH_012_224_000281	居正不懌，有年即日謝病去。
HCH_012_224_000282	十二年起稽勛郎中，歷考功、文選，謝絕請寄。
HCH_012_224_000283	除目下，中外皆服。
HCH_012_224_000284	遷太常少卿，以右僉都御史巡撫江西。
HCH_012_224_000285	尚方所需陶器，多奇巧難成，後有詔許量減，既而如故。
HCH_012_224_000286	有年引詔旨請，不從。
HCH_012_224_000287	內閣申時行等固爭，乃免十之三。
HCH_012_224_000288	南畿、浙江大祲，詔禁鄰境閉糴，商舟皆集江西，徽人尤眾。
HCH_012_224_000289	而江西亦歲儉，群乞有年禁遏。
HCH_012_224_000290	有年疏陳濟急六事，中請稍弛前禁，令江西民得自救。
HCH_012_224_000291	南京御史方萬山劾有年違詔。
HCH_012_224_000292	帝怒，奪職歸。
HCH_012_224_000293	薦起督操江，累遷吏部右侍郎。
HCH_012_224_000294	改兵部，又改吏部。
HCH_012_224_000295	尚書孫鑨、左侍郎羅萬化皆鄉里，有年力引避，朝議不許。
HCH_012_224_000296	尋由左侍郎擢南京右都御史。
HCH_012_224_000297	二十一年與吏部尚書溫純共典京察，所黜鹹當。
HCH_012_224_000298	未幾，遂代純位。
HCH_012_224_000299	其秋，鑨謝事，召拜吏部尚書。
HCH_012_224_000300	止宿公署中，見賓則於待漏所。
HCH_012_224_000301	引用僚屬，極一時選。
HCH_012_224_000302	明年，王錫爵將謝政，廷推閣臣，詔無拘資品。
HCH_012_224_000303	有年適在告，侍郎趙參魯、盛訥、文選郎顧憲成往咨之，列故大學士王家屏、故禮部尚書沈鯉、故吏部尚書孫鑨、禮部尚書沈一貫、左都御史孫丕揚、吏部侍郎鄧以贊、少詹事馮琦七人名上。
HCH_012_224_000304	蓋鑨丕揚非翰林，為不拘資，琦四品，為不拘品也。
HCH_012_224_000305	家屏以爭國本去位，帝意雅不欲用。
HCH_012_224_000306	又推及吏部尚書、左都御史非故事，嚴旨責讓。
HCH_012_224_000307	謂：「不拘資品乃昔年陸光祖自為內閣地。今推鑨、丕揚，顯屬徇私。前吏部嘗兩推閣臣，可具錄姓名以上。」
HCH_012_224_000308	於是備列沈鯉、李世達、羅萬化、陳於陛、趙用賢、朱賡、於慎行、石星、曾同亨、鄧以讃等。
HCH_012_224_000309	而世達故左都御史也，帝復不悅。
HCH_012_224_000310	謂：「詔旨不許推都御史，何復及世達。家屏舊輔臣，不當擅議起用。」
HCH_012_224_000311	乃命於陛、一貫入閣，而謫憲成及員外郎黃縉、王同休，主事章嘉禎、黃中色為雜職。
HCH_012_224_000312	錫爵首疏救，有年及參魯等疏繼之，帝並不納。
HCH_012_224_000313	趙誌臯張位亦佯為言。
HCH_012_224_000314	而二人者故不由廷推，因謂：「輔臣當出特簡，廷推由陸光祖交通言路為之，不可為法。」
HCH_012_224_000315	帝喜。
HCH_012_224_000316	隆旨再譙責，遂免縉等貶謫，但停俸一年。
HCH_012_224_000317	給事中盧明諏疏救憲成。
HCH_012_224_000318	帝怒，貶明諏秩，斥憲成為民。
HCH_012_224_000319	有年抗疏言：「閣臣廷推，其來舊矣。曩楊巍秉銓，臣署文選，廷推閣臣六人，今元輔錫爵即是年所推也。臣邑前有兩閣臣，弘治時謝遷，嘉靖時呂本，並由廷推，官止四品，而耿裕、聞淵則以吏部尚書居首。是廷推與推及吏部，皆非自今創也。至不拘資品，自出聖諭，臣敢不仰承。」
HCH_012_224_000320	因固乞骸骨。
HCH_012_224_000321	帝得疏，以其詞直，溫旨慰答。
HCH_012_224_000322	有年自是累疏稱疾乞罷。
HCH_012_224_000323	帝猶慰留，賚食物、羊酒。
HCH_012_224_000324	有年請益力。
HCH_012_224_000325	最後，以身雖退，遺賢不可不錄，力請帝起廢。
HCH_012_224_000326	帝報聞。
HCH_012_224_000327	有年遂杜門不出。
HCH_012_224_000328	數月中，疏十四上。
HCH_012_224_000329	乃予告，乘傳歸。
HCH_012_224_000330	歸裝，書一篋，衣一笥而已。
HCH_012_224_000331	二十六年正月卒，年六十有八。
HCH_012_224_000332	四月詔起南京右都御史，而有年已前卒。
HCH_012_224_000333	贈太子太保，謚恭介。
HCH_012_224_000334	故事，吏部尚書未有以他官起者。
HCH_012_224_000335	屠滽掌都察院，楊博、嚴清掌兵部，皆用原銜領之。
HCH_012_224_000336	南京兵部尚書楊成起掌南院，亦領以故銜。
HCH_012_224_000337	有年以右都御史起，蓋帝欲用之，而政府陰抑之也。
HCH_012_224_000338	有年風節高天下。
HCH_012_224_000339	兩世朊仕，無宅居其妻孥，至以油莫障漏。
HCH_012_224_000340	其歸自江西，故廬火，乃僦一樓居妻孥，而身棲僧舍。
HCH_012_224_000341	其刻苦如此。
HCH_012_224_000342	孫丕揚，字叔孝，富平人。
HCH_012_224_000343	嘉靖三十五年進士。
HCH_012_224_000344	授行人。
HCH_012_224_000345	擢御史。
HCH_012_224_000346	歷按畿輔、淮、揚，矯然有風裁。
HCH_012_224_000347	隆慶中，擢大理丞。
HCH_012_224_000348	以嘗劾高拱，拱門生給事中程文誣劾丕揚，落職候勘。
HCH_012_224_000349	拱罷，事白，起故官。
HCH_012_224_000350	萬歷元年擢右僉都御史，巡撫保守諸府。
HCH_012_224_000351	以嚴為治，屬吏皆惴惴。
HCH_012_224_000352	按行關隘，增置敵樓三百餘所，築邊墻萬餘丈。
HCH_012_224_000353	錄功，進右副都御史。
HCH_012_224_000354	中官馮保家在畿內，張居正屬為建坊，丕揚拒不應。
HCH_012_224_000355	知二人必怒，五年春引疾歸。
HCH_012_224_000356	其冬大計京官，言路希居正指劾之。
HCH_012_224_000357	詔起官時，調南京用。
HCH_012_224_000358	御史按陜西者，知保等憾不已，密諷西安知府羅織其贓。
HCH_012_224_000359	知府遣吏報御史，吏為虎噬。
HCH_012_224_000360	及再報，則居正已死，事乃解。
HCH_012_224_000361	起應天府尹。
HCH_012_224_000362	召拜大理卿，進戶部右侍郎。
HCH_012_224_000363	十五年，河北大饑。
HCH_012_224_000364	丕揚鄉邑及鄰縣蒲城、同官至采石為食。
HCH_012_224_000365	丕揚傷之，進石數升於帝，因言：「今海內困加派，其窮非止啖石之民也。宜寬賦節用，罷額外徵派有諸不急務，損上益下，以培蒼生大命。」
HCH_012_224_000366	帝感其言，頗有所減罷。
HCH_012_224_000367	尋由左侍郎擢南京右都御史，以病歸。
HCH_012_224_000368	召拜刑部尚書。
HCH_012_224_000369	丕揚以獄多滯囚，由公移牽制。
HCH_012_224_000370	議刑部、大理各置籍，凡獄上刑部，次日即詳讞大理，大理審允，次日即還刑部，自是囚無淹系。
