HCH_009_092_000285	遣使者諭之曰：「統軍使未嘗以留守兼之，此朕意也。可過京師入見。」
HCH_009_092_000286	克寧至京師，複拜平章政事，授世襲不紮土河猛安兼親管謀克。
HCH_009_092_000287	世宗欲以制書親授克寧，主者不知上意，及克寧已受制，上謂克寧曰：「此制朕欲親授與卿，誤授之於外也。」
HCH_009_092_000288	又曰：「朕欲盡徙卿宗族在山東者居之近地，卿族多，官田少，無以盡給之。」
HCH_009_092_000289	乃選其最親者徙之。
HCH_009_092_000290	十九年，拜右丞相，徙封譚國公。
HCH_009_092_000291	克寧辭曰：「臣無功，不明國家大事，更內外重任，當自愧。乞歸田裏，以盡餘年。」
HCH_009_092_000292	上曰：「朕念眾人之功無出卿右者，卿慎重得大臣體，毋複多讓。」
HCH_009_092_000293	克寧出朝，上使徒單懷忠諭之曰：「凡人醉時醒時處事不同，卿今日親賓慶會，可一飲，過今日可勿飲也。」
HCH_009_092_000294	克寧頓首謝曰：「陛下念臣及此，臣之福也。」
HCH_009_092_000295	克寧為相，持正守大體，至於簿書期會，不屑屑然也。
HCH_009_092_000296	世宗嘗曰：「習顯在樞密，未嘗有過舉。」
HCH_009_092_000297	謂克寧曰：「宰相之職，進賢為上。」
HCH_009_092_000298	克寧謝曰：「臣愚幸得備位宰輔，但不能明於知人，以此為恨耳。」
HCH_009_092_000299	二十一年，左丞相守道為尚書令，克寧為左丞相，徙封定國公，懇求致仕。
HCH_009_092_000300	上曰：「汝立功立事，乃登相位，朝廷是賴，年雖及，未可去也。」
HCH_009_092_000301	後三日，與守道奏事，俱跪而請曰：「臣等齒發皆衰，幸陛下賜以餘年。」
HCH_009_092_000302	上曰：「上相坐而論道，不惟其官惟其人，豈可屢改易之邪？」
HCH_009_092_000303	頃之，克寧改樞密使，而難其代。
HCH_009_092_000304	複以守道為左丞相，虛尚書令位者數年，其重如此。
HCH_009_092_000305	未幾，以司徒兼樞密使。
HCH_009_092_000306	二十二年，詔賜今名。
HCH_009_092_000307	二十三年，克寧複以年老為請。
HCH_009_092_000308	上曰：「卿昔在政府，勤勞夙夜，除卿樞密使亦可以優逸矣。朕念舊臣無幾人，萬一邊隅有警，選將帥，授方略，山川險要，兵道軍謀，舍卿誰可與共者？勉為朕留！」
HCH_009_092_000309	克寧乃不敢複言。
HCH_009_092_000310	二十四年，世宗幸上京，皇太子守國，詔左丞相守道與克寧俱留中都輔太子。
HCH_009_092_000311	上謂克寧曰：「朕巡省之後，萬一有事，卿必躬親之，毋忽細微，圖難於其易可也。」
HCH_009_092_000312	二十五年，左丞相守道賜宴北部，詔克寧行左丞相事。
HCH_009_092_000313	是時，世宗自上京還，次天平山清暑，皇太子薨于京師，諸王妃主入宮吊哭，奴婢從入者多，頗喧雜不嚴。
HCH_009_092_000314	克寧遣出之，身護宮門，嚴飭殿廷宮門禁衛如法，然後聽宗室外戚入臨，從者有數。
HCH_009_092_000315	謂東宮官屬曰：「主上巡幸，未還宮闕，太子不幸至於大故，汝等此時能以死報國乎？吾亦不敢愛吾生也。」
HCH_009_092_000316	辭色俱厲，聞者肅然敬憚。
HCH_009_092_000317	章宗時為金源郡王，哀毀過甚，克寧諫曰：「哭泣，常禮也。郡王身居塚嗣，豈以常禮而忘宗社之重乎？」
