HCH_012_025_000315	西洋人湯若望曰「天啟三年九月十五夜，戌初初刻望，月食，京師初虧在酉初一刻十二分，而西洋意大裡雅諸國望在晝，不見。推其初虧在巳正三刻四分，相差三時二刻八分，以裡差計之，殆距京師之西九十九度半也。故欲定東西偏度，必須兩地同測一月食，較其時刻。若早六十分時之二則為偏西一度，遲六十分時之二則為偏東一度。節氣之遲早亦同。今各省差數未得測驗，據廣輿圖計裡之方約略條列，或不致甚舛也。南京應天府、福建福州府並偏東一度，山東濟南府偏東一度十五分，山西太原府偏西六度，湖廣武昌府、河南開封府偏西三度四十五分，陝西西安府、廣西桂林府偏西八度半，浙江杭州府偏東三度，江西南昌府偏西二度半，廣東廣州府偏西五度，四川成都府偏四十三度，貴州貴陽府偏西九度半，雲南雲南府偏西十七度。」
HCH_012_025_000316	右偏度，載《崇禎歷書》交食歷指。
HCH_012_025_000317	其時開局修歷，未暇分測，度數實多未確，存之以備考訂云。
HCH_012_025_000318	古今中星不同，由於歲差。
HCH_012_025_000319	而歲差之說，中西復異。
HCH_012_025_000320	中法謂節氣差而西，西法謂恆星差而東，然其歸一也。
HCH_012_025_000321	今將李天經、湯若望等所推崇禎元年京師昏旦時刻中星列於後。
HCH_012_025_000322	春分，戌初二刻五分昏，北河三中；寅正一刻一十分旦，尾中。
HCH_012_025_000323	清明，戌初三刻十三分昏，七星偏東四度；昏旦時或無正中之星，則取中前、中後之大星用之。
HCH_012_025_000324	距中三度以內者，為時不及一刻，可勿論。
HCH_012_025_000325	四度以上，去中稍遠，故紀其偏度焉。
HCH_012_025_000326	寅正初刻二分旦，帝座中。
HCH_012_025_000327	谷雨，戌正一刻七分昏，翼偏東七度；寅初二刻八分旦，箕偏東四度。
HCH_012_025_000328	立夏，戌正三刻二分昏，軫偏東五度；寅初初刻十三分旦，箕偏西四度。
HCH_012_025_000329	小滿，亥初初刻十二分昏，角中；醜正三刻三分旦，箕中。
HCH_012_025_000330	芒種，亥初一刻十二分昏，大角偏西六度；醜正二刻三分旦，河鼓二中。
HCH_012_025_000331	夏至，亥初二刻五分昏，房中；醜正一刻一十分旦，須女中。
HCH_012_025_000332	小暑，亥初一刻十二分昏，尾中；醜正二刻三分旦，危中。
HCH_012_025_000333	大暑，亥初初刻十二分昏，箕偏東七度；醜正三刻三分旦，營室中。
HCH_012_025_000334	立秋，戌正三刻二分昏，箕中；寅初三刻十三分旦，婁偏東六度。
HCH_012_025_000335	處暑，戌正一刻七分昏，織女一中；寅初二刻八分旦，婁中。
HCH_012_025_000336	白露，戌初三刻十三分昏，河鼓二偏東四度；寅正初刻二分旦，昴偏東四度。
