HCH_009_011_000181	庚辰，以上京留守徒單鎰為平章政事，封濟國公。
HCH_009_011_000182	辛巳，定本國婚聘禮制。
HCH_009_011_000183	改山東東路舊皇城猛安名曰合裏哥阿鄰。
HCH_009_011_000184	四月丙戌朔，文武百官再請上尊號。
HCH_009_011_000185	不許，丙午，尚書省進《律義》。
HCH_009_011_000186	五月乙卯朔，定猛安謀克鬥毆殺人遇赦免死罷世襲制。
HCH_009_011_000187	以雨足，遣使報祭社稷。
HCH_009_011_000188	丁巳，定策論進士及承廕人試弓箭格。
HCH_009_011_000189	戊午，敕來日重五拜天，服公裳者拜禮仍舊，諸便服者並用女直拜。
HCH_009_011_000190	己未，敕諸路按察司，糾察親民官以大杖棰人者。
HCH_009_011_000191	乙亥，親王、文武百官、六學各上表請上尊號。
HCH_009_011_000192	不許。
HCH_009_011_000193	庚辰，地震。
HCH_009_011_000194	詔定進納官有犯決斷法。
HCH_009_011_000195	六月乙巳，遣有司祈晴，望祭嶽瀆。
HCH_009_011_000196	七月乙卯朔，以晴，遣官望祭嶽鎮海瀆。
HCH_009_011_000197	癸亥，定居祖父母喪婚娶聽離法。
HCH_009_011_000198	初置蒲思衍群牧。
HCH_009_011_000199	辛未，平章政事萬公特則賜告兩月。
HCH_009_011_000200	甲戌，獵於近郊。
HCH_009_011_000201	八月壬辰，幸香山。
HCH_009_011_000202	乙未，至自香山。
HCH_009_011_000203	丁未，敕審官院奏事，其院官皆許升殿。
HCH_009_011_000204	戊申，更定鎮防軍犯徒配役法。
HCH_009_011_000205	九月甲寅朔，天壽節，宋、高麗遣使來賀。
HCH_009_011_000206	戊午，命樞密使宗浩、禮部尚書賈鉉佩金符行省山東等路括地。
HCH_009_011_000207	己未，尚書省奏：「西北路招討使獨吉思忠言，各路邊堡牆隍，西自坦舌，東至胡烈公，幾六百里，向以起築匆遽，並無女牆副堤。近令修完，計工七十五萬，止役戍軍，未嘗動民，今已畢功。」
HCH_009_011_000208	上賜詔獎諭。
HCH_009_011_000209	修《玉牒》成。
HCH_009_011_000210	定皇族收養異姓男為子者徒三年，姓同者減二等，立嫡違法者徒一年。
HCH_009_011_000211	癸亥，如薊州秋山。
HCH_009_011_000212	冬十月庚寅，至自秋山。
HCH_009_011_000213	庚子，風霾。
HCH_009_011_000214	宋遣使來告哀。
HCH_009_011_000215	辛丑，集百官於尚書省，問：「間者亢旱，近則久陰，豈政有錯謬而致然歟？」
HCH_009_011_000216	各以所見對。
HCH_009_011_000217	以禮部郎中劉公憲為高麗生日使。
HCH_009_011_000218	丁未，獵於近郊。
HCH_009_011_000219	以宿直將軍完顏觀音奴為夏國生日使。
HCH_009_011_000220	十一月癸丑朔，日有食之。
HCH_009_011_000221	乙卯，以國史院編修官呂卿雲為左補闕兼應奉翰林文字。
HCH_009_011_000222	審官院以資淺駁奏，上諭之曰：「明昌間，卿雲嘗上書言宮掖事，辭甚切直，皆他人不能言者，卿輩蓋不知也。臣下言事不令外人知，乃是謹密，正當顯用，卿宜悉之。」
HCH_009_011_000223	以工部尚書烏古論誼等為宋弔祭使。
HCH_009_011_000224	初定品官過闕則下制。
HCH_009_011_000225	己巳，宋復遣使來告哀。
HCH_009_011_000226	辛未，以殿前右副點檢紇石烈忠定為賀宋正旦使。
HCH_009_011_000227	十二月癸未朔，詔改明年為泰和元年。
HCH_009_011_000228	以河南路統軍使充等為宋弔祭使。
HCH_009_011_000229	乙未，定管軍官受所部財物輒放離役及令人代役法。
HCH_009_011_000230	辛丑，詔宮籍監戶，百姓自願以女為婚者聽。
HCH_009_011_000231	癸卯，定造作不如法，三年內有損壞者罪有差。
HCH_009_011_000232	泰和元年正月壬子朔，宋、高麗、夏遣使來賀。
HCH_009_011_000233	壬戌，宋遣使獻先帝遺留物。
HCH_009_011_000234	己巳，乙太府監孫復言：「方今在仕者三萬七千餘員，而門廕補敘居三之二，諸司待闕，動至累年。蓋以補廕猥多，流品混淆，本未相舛，至於進納之人，既無勞績，又非科第，而亦廕及子孫，無所分別，欲流之清，必澄其源。」
HCH_009_011_000235	乃更定廕敘法而頒行之。
HCH_009_011_000236	尚書省奏：「今杖式輕細，民不知畏，請用大杖。」
HCH_009_011_000237	詔不許過五分。
HCH_009_011_000238	庚午，如長春宮春水。
HCH_009_011_000239	辛未，上以方春，禁殺含胎兔，犯者罪之，告者賞之。
HCH_009_011_000240	甲戌，初命文武官官職俱至三品者許贈其祖。
HCH_009_011_000241	二月壬辰，去造土茶律。
HCH_009_011_000242	丁未，至自春水。
HCH_009_011_000243	三月乙丑，夏國遣使來謝。
