HCH_012_189_000132	獄囚久淹，悉按法出之。
HCH_012_189_000133	守備中官侵蘆洲，判歸之民。
HCH_012_189_000134	應天諸府災，上荒政四事。
HCH_012_189_000135	尋進員外郎。
HCH_012_189_000136	武宗立，應詔陳八事，中言：「宣、大被寇，殺卒幾千人。監督中官苗逵妄報首功，宜召還候勘。宦官典兵，于古未見。唐始用之，而宗社丘墟；我正統朝用之，而鑾輿北狩。自今軍務勿遣監督，鎮守者亦宜撤還。且國初宦官悉隸禮部，秩不過四品，職不過掃除。今請仍隸之部，易置司禮，俾供雜役。罷革東廠，移為他署。斯左右不得擅權，而後天下可安也。」
HCH_012_189_000137	又乞召還劉大夏，宥諫官戴銑等。
HCH_012_189_000138	劉瑾怒，坐斷獄詿誤，逮下詔獄，削籍歸。
HCH_012_189_000139	講學西江。
HCH_012_189_000140	瑾誅，起禮部員外郎，未聞命卒。
HCH_012_189_000141	學者祀之石鼓書院。
HCH_012_189_000142	時又有工部主事劉天麒者，臨桂人，釗同年進士。
HCH_012_189_000143	分司呂梁。
HCH_012_189_000144	奄人過者不為禮，訴之瑾，逮下詔獄，謫貴州安莊驛丞卒。
HCH_012_189_000145	嘉靖初，復官予祭。
HCH_012_189_000146	戴冠，信陽人。
HCH_012_189_000147	正德三年進士。
HCH_012_189_000148	為戶部主事。
HCH_012_189_000149	見寵倖日多，廩祿多耗，乃上疏極諫，略曰：「古人理財，務去冗食。近京師勢要家子弟僮奴苟竊爵賞，錦衣官屬數至萬餘，次者系籍勇士，投充監局匠役，不可數計，皆國家蠹也。歲漕四百萬，宿有嬴餘。近絀水旱，所入不及前，而歲支反過之，計為此輩耗三之一。陛下何忍以赤子膏血，養無用之蠹乎！兵貴精，不貴多。邊軍生長邊士，習戰陣，足以守禦。今遇警輒發京軍，而宣府調入京操之軍，累經臣下論列，堅不遣還。不知陛下何樂於邊軍，而不為關塞慮也。天子藏富天下，務鳩聚為帑藏，是匹夫商賈計也。逆瑾既敗，所籍財產不歸有司，而貯之豹房，遂創新庫。夫供禦之物，內有監局，外有部司，此庫何所用之。」
HCH_012_189_000150	疏入，帝大怒，貶廣東烏石驛丞。
HCH_012_189_000151	嘉靖初，起官，曆山東提學副使，以清介聞。
HCH_012_189_000152	黃鞏，字仲固，莆田人。
HCH_012_189_000153	弘治十八年進士。
HCH_012_189_000154	正德中，由德安推官入為刑部主事，掌諸司奏牘。
HCH_012_189_000155	曆職方武選郎中。
HCH_012_189_000156	十四年三月，有詔南巡，鞏上疏曰：陛下臨禦以來，祖宗之綱紀法度一壞於逆瑾，再壞於佞幸，又再壞于邊帥，蓋蕩然無餘矣。
HCH_012_189_000157	天下知有權臣，不知有天子，亂本已成，禍變將起。
HCH_012_189_000158	試舉當今最急者陳之。
HCH_012_189_000159	一，崇正學。
HCH_012_189_000160	臣聞聖人主靜，君子慎動。
HCH_012_189_000161	陛下盤游無度，流連忘返，動亦過矣。
HCH_012_189_000162	臣願陛下高拱九重，凝神定慮，屏紛華，斥異端，遠佞人，延故老，訪忠良。
HCH_012_189_000163	可以涵養氣質，薰陶德性，而聖學維新，聖政自舉。
HCH_012_189_000164	二，通言路。
HCH_012_189_000165	言路者，國家之命脈也。
HCH_012_189_000166	古者明王導人以言，用其言而顯其身。
HCH_012_189_000167	今則不然。
HCH_012_189_000168	臣僚言及時政者，左右匿不以聞。
HCH_012_189_000169	或事關權臣，則留中不出，而中傷以他事。
HCH_012_189_000170	使其不以言獲罪，而以他事獲罪。
HCH_012_189_000171	由是，雖有安民長策，謀國至計，無因自達。
HCH_012_189_000172	雖必亂之事，不軌之臣，陛下亦何由知？
