HCH_012_139_000161	入見，太祖喜曰：「吾求子久，何相見晚也！」
HCH_012_139_000162	除黃州同知。
HCH_012_139_000163	曰：「朕姑以民事試子，行召子矣。」
HCH_012_139_000164	期年，治行聞。
HCH_012_139_000165	十四年，命為大理寺卿。
HCH_012_139_000166	帝自踐阼後，頗好釋氏教。
HCH_012_139_000167	詔徵東南戒德僧，數建法會於蔣山。
HCH_012_139_000168	應對稱旨者輒賜金襴袈裟衣，召入禁中，賜坐與講論。
HCH_012_139_000169	吳印、華克勤之屬，皆拔擢至大官，時時寄以耳目。
HCH_012_139_000170	由是其徒橫甚，讒毀大臣。
HCH_012_139_000171	舉朝莫敢言，惟仕魯與給事中陳汶輝相繼爭之。
HCH_012_139_000172	汶輝疏言：「古帝王以來，未聞縉紳緇流，雜居同事，可以相濟者也。今勛舊耆德咸思辭祿去位，而緇流憸夫乃益以讒間。如劉基、徐達之見猜，李善長、周德興之被謗，視蕭何、韓信，其危疑相去幾何哉？伏望陛下於股肱心膂，悉取德行文章之彥，則太平可立致矣。」
HCH_012_139_000173	帝不聽。
HCH_012_139_000174	諸僧怙寵者，遂請為釋氏創立職官。
HCH_012_139_000175	於是以先所置善世院為僧錄司。
HCH_012_139_000176	設左、右善世、左、右闡教、左、右講經覺義等官，皆高其品秩。
HCH_012_139_000177	道教亦然。
HCH_012_139_000178	度僧尼道士至逾數萬。
HCH_012_139_000179	仕魯疏言：「陛下方創業，凡意指所向，即示子孫萬世法程，奈何捨聖學而崇異端乎！」
HCH_012_139_000180	章數十上，亦不聽。
HCH_012_139_000181	仕魯性剛介，由儒術起，方欲推明朱氏學，以辟佛自任。
HCH_012_139_000182	及言不見用，遽請於帝前，曰：「陛下深溺其教，無惑乎臣言之不入也！還陛下笏，乞賜骸骨歸田裏。」
HCH_012_139_000183	遂置笏於地。
HCH_012_139_000184	帝大怒，命武士捽搏之，立死階下。
HCH_012_139_000185	陳汶輝，字耿光，詔安人。
HCH_012_139_000186	以薦授禮科給事中，累官至大理寺少卿。
HCH_012_139_000187	數言得失，皆切直。
HCH_012_139_000188	最後忤旨，懼罪，投金水橋下死。
HCH_012_139_000189	仕魯與汶輝死數歲，帝漸知諸僧所為多不法，有詔清理釋道二教云。
HCH_012_139_000190	葉伯巨，字居升，寧海人。
HCH_012_139_000191	通經術。
HCH_012_139_000192	以國子生授平遙訓導。
HCH_012_139_000193	洪武九年星變，詔求直言。
HCH_012_139_000194	伯巨上書，略曰：書上，帝大怒曰：「小子間吾骨肉，速逮來，吾手射之！」
HCH_012_139_000195	既至，丞相乘帝喜以奏，下刑部獄。
HCH_012_139_000196	死獄中。
HCH_012_139_000197	先是，伯巨將上書，語其友曰：「今天下惟三事可患耳，其二事易見而患遲，其一事難見而患速。縱無明詔，吾猶將言之，況求言乎。」
HCH_012_139_000198	其意蓋謂分封也。
HCH_012_139_000199	然是時諸王止建藩號，未曾裂土，不盡如伯巨所言。
HCH_012_139_000200	迨洪武末年，燕王屢奉命出塞，勢始強。
HCH_012_139_000201	後因削奪稱兵，遂有天下，人乃以伯巨為先見云。
HCH_012_139_000202	鄭士利，字好義，寧海人。
HCH_012_139_000203	兄士元，剛直有才學，由進士歷官湖廣按察使僉事。
HCH_012_139_000204	荊、襄卒乘亂掠婦女，吏不敢問，士元立言於將領，還所掠。
HCH_012_139_000205	安陸有冤獄，御史臺已讞上，士元奏其冤，得白。
HCH_012_139_000206	會考校錢穀冊書，空印事覺。
HCH_012_139_000207	凡主印者論死，佐貳以下榜一百，戍遠方。
HCH_012_139_000208	士元亦坐是繫獄。
HCH_012_139_000209	時帝方盛怒，以為欺罔，丞相御史莫敢諫。
HCH_012_139_000210	士利嘆曰：「上不知，以空印為大罪。誠得人言之，上聖明，寧有不悟？」
HCH_012_139_000211	會星變求言。
HCH_012_139_000212	士利曰：「可矣。」
HCH_012_139_000213	既而讀詔：「有假公言私者，罪。」
HCH_012_139_000214	士利曰：「吾所欲言，為天子殺無罪者耳。吾兄非主印者，固當出。需吾兄杖出乃言，即死不恨。」
HCH_012_139_000215	士元出，士利乃為書數千言，言數事，而於空印事尤詳。
HCH_012_139_000216	曰：「陛下欲深罪空印者，恐奸吏得挾空印紙，為文移以虐民耳。夫文移必完印乃可。今考較書策，乃合兩縫印，非一印一紙比。縱得之，亦不能行，況不可得乎？錢穀之數，府必合省，省必合部，數難懸決，至部乃定。省府去部遠者六七千里，近亦三四千里，冊成而後用印，往返非期年不可。以故先印而後書。此權宜之務，所從來久，何足深罪？且國家立法，必先明示天下而後罪犯法者，以其故犯也。自立國至今，未嘗有空印之律。有司相承，不知其罪。今一旦誅之，何以使受誅者無詞？朝廷求賢士，置庶位，得之甚難。位至郡守，皆數十年所成就。通達廉明之士，非如草菅然，可刈而復生也。陛下奈何以不足罪之罪，而壞足用之材乎？臣竊為陛下惜之。」
HCH_012_139_000217	書成，閉門逆旅泣數日。
HCH_012_139_000218	兄子問曰：「叔何所苦？」
HCH_012_139_000219	士利曰：「吾有書欲上，觸天子怒，必受禍。然殺我，生數百人，我何所恨！」
HCH_012_139_000220	遂入奏。
HCH_012_139_000221	帝覽書，大怒，下丞相御史雜問，究使者。
HCH_012_139_000222	士利笑曰：「顧吾書足用否耳。吾業為國家言事，自分必死，誰為我謀？」
HCH_012_139_000223	獄具，與士元皆輸作江浦，而空印者竟多不免。
HCH_012_139_000224	方徵，字可久，莆田人。
HCH_012_139_000225	以鄉舉授給事中。
HCH_012_139_000226	嘗侍遊後苑，與聯詩句。
HCH_012_139_000227	太祖知其有母在，賜白金，馳驛歸省。
HCH_012_139_000228	還改監察御史，出為懷慶知府。
HCH_012_139_000229	徵志節甚偉，遇事敢直言。
