HCH_012_319_000285	漢武帝平南粵，始置珠崖、儋耳二郡。
HCH_012_319_000286	歷晉、隋、唐、宋叛服不一，事具前史。
HCH_012_319_000287	元改置瓊州路，屬海北海南道宣慰司。
HCH_012_319_000288	天歷初，改乾寧軍民安撫司。
HCH_012_319_000289	洪武元年，征南將軍廖永忠平廣東，改乾寧安撫司為瓊州府，以崖州吉陽軍、儋州萬安軍俱為州，南建州為定安縣隸焉。
HCH_012_319_000290	六年，儋州宜倫縣民陳昆六等作亂，攻陷州城。
HCH_012_319_000291	廣東指揮使司奏言：「近儋州山賊亂，已調兵剿。其儋、萬二州，山深地曠，宜設兵衛鎮之。」
HCH_012_319_000292	詔置儋、萬二州守禦千戶所。
HCH_012_319_000293	七年，儋州黎人符均勝等作亂，海南衛指揮張仁率兵討平之。
HCH_012_319_000294	又海南羅屯等洞黎人作亂，千戶周旺等討平之。
HCH_012_319_000295	澄邁縣賊王官舍亂，典史彭禎領民兵捕斬之。
HCH_012_319_000296	十五年，萬、崖二州民陳鼎叔等作亂，陷陵水縣，為海南衛官軍擊敗，追至藤橋，斬鼎叔等三百餘人，余黨悉平。
HCH_012_319_000297	十七年，儋州宜倫縣黎民唐那虎等亂，海南衛指揮張信發兵討之。
HCH_012_319_000298	那虎及其黨鄭銀等敗遁，信追擒之，送京師。
HCH_012_319_000299	知州魏世吉受賄，縱銀去。
HCH_012_319_000300	帝謂兵部曰：「知州不能捕賊，及官軍捕至而反縱之乎？」
HCH_012_319_000301	命遣力士即其州杖世吉，責捕所縱者。
HCH_012_319_000302	永樂三年，廣東都司言：「瓊州所屬七縣八洞生黎八千五百人，崖州抱有等十八村一千餘戶，俱已向化，惟羅活諸洞生黎尚未歸附。」
HCH_012_319_000303	帝命遣通判劉銘賫敕撫諭之。
HCH_012_319_000304	御史汪俊民言：「瓊州周圍皆海，中有大、小五指，黎母等山，皆生熟黎人所居。比歲軍民有逃入黎洞者，甚且引誘生黎，侵擾居民。朝廷屢使招諭，黎性頑狠，未見信從。又山水峻惡，風氣亦異，罹其瘴毒，鮮能全活。近訪宜倫縣熟黎峒首王賢祐、嘗奉命招諭黎民，歸化者多。請仍詔賢祐，量授以官，俾招諭未服，戒約諸峒，無納逋逃。其熟黎則令隨產納稅，悉免差徭；其生黎歸化者，免稅三年；峒首則量所招民數多寡授以職。如此庶幾黎人順服。」
HCH_012_319_000305	從之。
HCH_012_319_000306	遣知縣潘隆本賫敕撫諭。
HCH_012_319_000307	四年，瓊州屬縣生黎峒首羅顯、許誌廣、陳忠等三十三人來朝。
HCH_012_319_000308	初以生黎多未向化，遣銘招撫。
HCH_012_319_000309	至是向化者萬餘戶，顯等從銘來朝，且乞以銘撫其眾。
HCH_012_319_000310	帝遂授銘瓊州知府，專職撫黎，仍授顯等知縣、縣丞、巡檢等官，賜冠帶鈔幣，遣還。
HCH_012_319_000311	自是諸黎感悅，相繼來歸。
HCH_012_319_000312	瓊山、臨高諸縣生黎峒首王罰、鐘異、王琳等來朝，命為主簿、巡檢。
HCH_012_319_000313	六年，銘復率土黎峒首王賢祐、王惠、王存禮等來朝，貢馬。
HCH_012_319_000314	命賢祐為儋州同知，惠、存禮為萬寧縣主簿。
HCH_012_319_000315	八年，文昌縣斬腳寨黎首周振生等來歸，賜以鈔幣，俾仍往招諸峒。
