HCH_013_004_000227	稱嘆久之。
HCH_013_004_000228	良在江陰十年，終始戒嚴，夜嘗宿城樓，枕戈待旦。
HCH_013_004_000229	暇日延經術士，講明經史、兵法。
HCH_013_004_000230	訓敕將校，馭胥吏，不少假借。
HCH_013_004_000231	敦教化，興學校，修屯田，足軍餉，境內帖然。
HCH_013_004_000232	太祖有事江、漢，東藩無擾，皆良等為之捍蔽也。
HCH_013_004_000233	馮國勝圍高郵，張士誠將俞同僉詐遣人來降，約推女牆為應。
HCH_013_004_000234	勝信之，夜遣康泰率兵踰城而入，皆為所殺。
HCH_013_004_000235	三月，徐達自宜興還攻高郵。
HCH_013_004_000236	初，士誠遣左丞徐義由海道入淮，援高郵，義屯太倉，觀望不敢進。
HCH_013_004_000237	徐達遣使，請以指揮孫興祖守海安，平章常遇春督水軍為高郵聲援，從之。
HCH_013_004_000238	遣使諭達曰：「張士誠由高郵嘯聚，以有吳、越，高郵其巢穴也，大軍攻之，彼必來救。今聞徐義兵已入海，或由射陽湖，或出瓠子角，或出寶應趨高郵，不可不備。」
HCH_013_004_000239	達得書，遂會兵進攻，一鼓克之，戮其將俞同僉等。
HCH_013_004_000240	興祖守海安，士誠兵來侵，擊敗之，擒將士二百餘人。
HCH_013_004_000241	進攻通州，通州守將拒戰，興祖督將士奮擊，大破之。
HCH_013_004_000242	自是士誠不敢犯海安。
HCH_013_004_000243	夏四月，徐達移師會常遇春攻淮安。
HCH_013_004_000244	徐義舟師集馬漯港，夜率兵襲破之，義泛海遁去，獲戰艦百餘艘，進薄城下。
HCH_013_004_000245	士誠將梅思祖封府庫，籍甲兵，出降，並獻所部四州。
HCH_013_004_000246	太祖嘉其知命保民，授都督府副使，以華雲龍守之。
HCH_013_004_000247	徐達還兵攻興化。
HCH_013_004_000248	先是，達圖泰州、興化、海安、通州、高郵山川地形要害以進，太祖覽之，見瓠子角為興化要地，寇兵所經之路，令達以兵絕其隘。
HCH_013_004_000249	戊午，遂克興化，淮地悉平。
HCH_013_004_000250	命韓政進取濠州。
HCH_013_004_000251	濠自郭子興棄後，屢為人所竊據，最後張士誠將李濟守之。
HCH_013_004_000252	太祖命李善長以書招之，不報。
HCH_013_004_000253	太祖曰：「濠州吾家鄉，今為張士誠竊據，是吾有國而無家也！」
HCH_013_004_000254	即命韓政督顧時等攻之。
HCH_013_004_000255	至濠，攻其水簾月城，又攻其西門，城中拒守甚堅。
HCH_013_004_000256	政乃督兵以雲梯砲石四面並攻，城中不能支，庚申，守將李濟以城降。
HCH_013_004_000257	太祖幸濠，省陵墓，宴父老。
HCH_013_004_000258	太祖以淮東諸郡既平，遂議討張士誠，召中書省大都督府臣謂曰：「張士誠據姑蘇，數侵擾吾近地，為吾境內之寇，不可不討。諸公其熟計之！」
HCH_013_004_000259	李善長對曰：「張氏宜討久矣。然以臣愚觀之，其勢雖屢屈，而兵力未衰，土沃民富，又多積儲，恐難猝拔，宜候隙而動。」
HCH_013_004_000260	徐達進曰：「張氏驕橫，暴殄奢侈，此天亡之時也。其所任驕將如李伯昇、呂珍之徒，皆齷齪不足數，惟擁兵將為富貴之娛耳。居中用事，黃、蔡、葉三參軍輩，迂闊書生，不知大計。臣奉主上威德，率精銳之師，聲罪致討，三吳可計日而定。」
HCH_013_004_000261	太祖大喜，顧達曰：「諸人局于所見，獨汝合吾意，事必濟矣。」
HCH_013_004_000262	于是命諸將簡閱士卒，擇日出師。
HCH_013_004_000263	八月辛亥，命徐達為大將軍，常遇春為副將軍，帥師二十萬伐張士誠，集諸將佐諭之曰：「自大亂以來，豪傑並起，所在割據。西有陳友諒，東有張士誠，皆連地千里，擁眾數十萬。今介乎二人之間，相與抗者十餘年。觀二人所為，志不在民，不過貪富貴，劫奪寇攘而已。友諒既敗滅，獨士誠據有浙西，北連兩淮，恃其強力，數侵疆埸。賴諸將連歲征討，克取兩淮，惟浙西、姑蘇諸郡未下，故令卿等討之。卿等宜戒飭士卒，毋肆擄掠，毋妄殺戮，毋發丘壠，毋燬廬舍。聞士誠母葬姑蘇城外，慎勿侵毀其墓。汝等毋忘吾言！諸將帥務相輯睦，勿縱左右凌士卒。凡為將必資士卒，善撫恤之。大抵克敵者必以成功為效，樹德者必以廣恩為務。卿等勉之。」
HCH_013_004_000264	諸將皆再拜受命出。
HCH_013_004_000265	太祖復御西苑，召達、遇春曰：「爾等此行，用師孰先？」
HCH_013_004_000266	遇春對曰：「逐梟者必覆其巢，去鼠者必熏其穴。此行當直搗平江，平江既破，其餘諸郡可不勞而下。」
HCH_013_004_000267	太祖曰：「不然。士誠起鹽販，與張天騏、潘原明輩皆強梗之徒，相為手足。士誠窮蹙，天騏輩懼俱斃，必併力救之。今不先分其勢，而遽攻姑蘇，若天騏出湖州，原明出杭州，援兵四合，難以取勝。莫若先攻湖州，使其疲于奔命，羽翼既披，然後移兵姑蘇，取之必矣。」
HCH_013_004_000268	太祖乃屏左右，謂達、遇春曰：「吾欲遣熊天瑞從行，俾為吾間也。天瑞之降，非其本意，心常怏怏。適來之謀，戒諸將勿令知之，但云直搗姑蘇，天瑞知之，必叛從張氏，以輸此言。如此，則墮吾計矣。」
HCH_013_004_000269	癸丑，大將軍徐達等率諸將發龍江，而別遣李文忠趨杭州，華雲龍向嘉興，以分其兵。
HCH_013_004_000270	辛酉，師至太湖。
HCH_013_004_000271	己巳，遇士誠將尹義、陳旺逆戰，破擒之，遂次洞庭山。
