HCH_009_112_000203	乘金困憊，乃開鈞州路縱之走，而以生軍夾擊之。
HCH_009_112_000204	金軍遂潰，聲如崩山，忽天氣開霽，日光皎然，金軍無一人得逃者。
HCH_009_112_000205	武仙率三十騎入竹林中，楊、樊、張三軍爭路，北兵圍之數重，及高英殘兵共戰于柿林村南，沃衍、澤、英皆死，惟張惠步持大槍奮戰而歿。
HCH_009_112_000206	蒲阿走京師，未至，追及，擒之。
HCH_009_112_000207	七月，械至官山，召問降否，往復數百言，但曰：「我金國大臣，惟當金國境內死耳。」
HCH_009_112_000208	遂見殺。
HCH_009_112_000209	贊曰：金自南渡，用兵克捷之功，史不絕書，然而地不加辟，殺傷相當，君子疑之。
HCH_009_112_000210	異時伐宋，唐州之役，喪師七百，主將訛論匿之，而以捷聞。
HCH_009_112_000211	禦史納蘭糾之，宣宗獎禦史，而不罪訛論，是君臣相率而為虛聲也。
HCH_009_112_000212	禹山之捷，兩省為欺，遂致誤國，豈非宣宗前事有以啟之耶？
HCH_009_112_000213	至於三峰山之敗，不可收拾，上下暿咢眙，而金事已去十九。
HCH_009_112_000214	天朝取道襄、漢，懸軍深入，機權若神，又獲天助，用能犯兵家之所忌，以建萬世之俊功，合達雖良將，何足以當之。
HCH_009_112_000215	蒲阿無謀，獨以一死無愧，猶足取焉爾。
