HCH_012_280_000303	十一月，大兵自湖南逼全州，式耜偕騰蛟拒卻。
HCH_012_280_000304	已，梧州復破，王方在象州，欲走南寧。
HCH_012_280_000305	以大臣力爭，乃以十二月還桂林。
HCH_012_280_000306	五年二月，南安侯郝永忠駐桂林，惡城外團練兵，盡破水東十八村，殺戮無算，與式耜構難。
HCH_012_280_000307	式耜力調劑，永忠乃駐興安。
HCH_012_280_000308	大兵前驅至靈川，永忠戰敗，奔入桂林，請王即夕西走。
HCH_012_280_000309	式耜力爭，不聽。
HCH_012_280_000310	左右皆請速駕，式耜又爭。
HCH_012_280_000311	王曰：「卿不過欲予死社稷爾。」
HCH_012_280_000312	式耜為泣下沾衣。
HCH_012_280_000313	王甫行，永忠即大掠，捶殺太常卿黃太元。
HCH_012_280_000314	式耜家亦被掠，家人矯騰蛟令箭，乃出城。
HCH_012_280_000315	日中，趙印選諸營自靈川至，亦大掠，城內外如洗。
HCH_012_280_000316	永忠走柳州，印選等走永寧。
HCH_012_280_000317	明日，式耜息城中余燼，安撫遠近。
HCH_012_280_000318	焦璉及諸鎮周金、湯兆佐、胡一青等各率所部至，騰蛟軍亦至。
HCH_012_280_000319	三月，大兵知桂林有變，來襲，抵北門。
HCH_012_280_000320	騰蛟督諸將拒戰，城獲全。
HCH_012_280_000321	時王駐南寧，式耜遣使慰三宮起居。
HCH_012_280_000322	王始知式耜無恙，為泣下。
HCH_012_280_000323	閏三月，廣東李成棟、江西金聲桓皆叛大清，據地歸，式耜請王還桂林。
HCH_012_280_000324	王從成棟請，將赴廣州。
HCH_012_280_000325	式耜慮成棟挾王自專，如劉承胤事，力爭之，乃駐肇慶。
HCH_012_280_000326	十一月，永州、寶慶、衡州並復。
HCH_012_280_000327	式耜以機會可乘，請王還桂林，圖出楚之計，不納。
HCH_012_280_000328	慶國公陳邦傳守潯州，自稱世守廣西，欲如黔國公例。
HCH_012_280_000329	式耜特疏劾之，會中外多爭者，邦傳乃止。
HCH_012_280_000330	廣西巡撫魯可藻自署銜巡撫兩廣，式耜亦疏駁之。
HCH_012_280_000331	式耜身在外，政有闕，必疏諫。
HCH_012_280_000332	嘗曰：「臣與主上患難相隨，休戚與共，不同他臣。一切大政，自得與聞。」
HCH_012_280_000333	王為褒納。
HCH_012_280_000334	而是時成棟子元胤專朝政，知敬式耜，袁彭年、丁時魁、金堡等遂爭相倚附。
HCH_012_280_000335	六年正月，時魁等逐朱天麟，不欲何吾騶為首輔。
HCH_012_280_000336	召式耜入直，以文淵印畀之，式耜終不入也。
HCH_012_280_000337	未幾，騰蛟、聲桓、成棟相繼敗歿，國勢大危。
HCH_012_280_000338	朝士方植黨相角，式耜不能禁。
HCH_012_280_000339	七年正月，南雄破。
HCH_012_280_000340	王懼，走梧州。
HCH_012_280_000341	諸大臣訐時魁等下獄，式耜七疏論救。
HCH_012_280_000342	胡執恭之擅封孫可望也，式耜疏請斬之。
HCH_012_280_000343	皆不納。
HCH_012_280_000344	九月，全州破。
HCH_012_280_000345	開國公趙印選居桂林，衛國公胡一青守榕江，與寧遠伯王永祚皆懼不出兵，大兵遂入嚴關。
HCH_012_280_000346	十月，一青、永祚入桂林分餉，榕江無戍兵，大兵益深入。
HCH_012_280_000347	十一月五日，式耜檄印選出，不肯行，再趣之，則盡室逃。
HCH_012_280_000348	一青及武陵侯楊國棟、綏寧伯蒲纓、寧武伯馬養麟亦逃去。
HCH_012_280_000349	永祚迎降，城中無一兵。
HCH_012_280_000350	式耜端坐府中，家人亦散。
HCH_012_280_000351	部將戚良勛請式耜上馬速走，式耜堅不聽，叱退之。
HCH_012_280_000352	俄總督張同敞至，誓偕死，乃相對飲酒，一老兵侍。
HCH_012_280_000353	召中軍徐高付以敕印，屬馳送王。
HCH_012_280_000354	是夕，兩人秉燭危坐。
HCH_012_280_000355	黎明，數騎至。
HCH_012_280_000356	式耜曰：「吾兩人待死久矣」，遂與偕行，至則踞坐於地。
HCH_012_280_000357	諭之降，不聽，幽於民舍。
HCH_012_280_000358	兩人日賦詩倡和，得百餘首。
HCH_012_280_000359	至閏十一月十有七日，將就刑，天大雷電，空中震擊者三，遠近稱異，遂與同敞俱死。
HCH_012_280_000360	同敞，大學士居正曾孫，事見《居正傳》。
HCH_012_280_000361	時桂林殉難者光祿少卿汪皞投水死。
HCH_012_280_000362	其破平樂也，守將鎮西將軍朱旻如自剄。
HCH_012_280_000363	有周震者，官中書舍人，居全州，慷慨尚氣節，武岡失，全州危，震邀文武將吏盟於神，誓死拒守。
HCH_012_280_000364	條城守事宜，上之留守瞿式耜。
HCH_012_280_000365	式耜即題為御史，監全州軍。
HCH_012_280_000366	無何，郝永忠、盧鼎自全州撤兵還桂林。
