HCH_013_028_000242	對曰：「漢光武廢后，詔書曰：「異常之事，非國休福。』宋仁宗廢后，後來甚悔。願陛下慎之。」上不懌而罷。他日又詔問，士奇曰：「皇太后必有主張。」上曰：「與爾等語，太后意也。」一日，獨召士奇至文華殿，屏左右，諭曰：「若何處置為當？」士奇因問：「中宮與貴妃若何？」上曰：「甚和睦，相親愛。但朕重皇子，而中宮祿命不宜子，故欲正其母以別之。中宮今病踰月矣，貴妃日往視，慰藉甚勤也。」士奇曰：「然則乘今有疾，而導之辭讓，則進退以禮，而恩眷不衰。」上頷之。數日，復召士奇曰：「爾前說甚善，中宮果欣然辭。貴妃堅不受，太后亦尚未聽辭。然中宮辭甚力。」士奇曰：「若此，則願陛下待兩宮當均一。昔宋仁宗廢郭后，而待郭氏恩意加厚。」上曰：「然，吾不食言。」其議遂定。敕曰：「皇后胡氏，自惟多疾，不能承祭養，重以無子，固懷謙退，上表請閑。朕念夫婦之義，拒之不從。而陳詞再三，乃從所志，就閑別宮。其稱號、服食、侍從悉如舊。貴妃孫氏，皇祖太宗選嬪于朕。十有餘年，德義之茂，冠于後宮。實生長子，已立為皇太子。羣臣咸謂《春秋》之義，母以子貴，宜正位中宮。今允所請，冊妃孫氏為皇后。」上御文華殿，諭侍臣曰：「治民有本末，制田里，設學校，本也。
HCH_013_028_000243	不幸而有愚頑者，然後刑之。
HCH_013_028_000244	然觀肉刑，則過于慘。
HCH_013_028_000245	侍臣曰：「古人用肉刑，則人人自愛而重犯法。至漢文帝除之，自是人輕冒法。」
HCH_013_028_000246	上曰：「古人教民之道周備，故犯法者少，後世教民之道不至，故犯法者多，未必係肉刑之存否。舜法有流宥金贖，而四凶之罪止于流放竄殛，可見當時被肉刑者，必當重罪。況漢承秦敝，以不教之民而遽斷其支體，刻其肌膚，傷殘者多矣。隋、唐以後，以笞杖徒流死為五刑，亦良法也。」
HCH_013_028_000247	又曰：「漢文除肉刑，唐太宗觀《明堂針灸圖》，禁鞭背，皆後世仁政。漢、唐享國長久，有以哉！」
HCH_013_028_000248	三月，召蹇義、夏原吉、楊士奇、楊榮等十有八人遊萬歲山，命乘馬，中官導引，登山周覽。
HCH_013_028_000249	上指御舟曰：「以操以濟，羣卿之力也。」
HCH_013_028_000250	義等叩頭呼萬歲。
HCH_013_028_000251	上喜，特召士奇、榮諭曰：「天下無事，雖不可流于安逸，然古人遊豫之樂，不可廢也。」
HCH_013_028_000252	復命乘馬遊小山。
HCH_013_028_000253	中官出酒饌，皆珍奇。
HCH_013_028_000254	及歸，醉，出西安門，天已暝。
HCH_013_028_000255	工部侍郎李新自河南還，言：「山西民饑，流徙至南陽諸郡，不下十餘萬。有司遣人捕逐，民死亡者多。」
HCH_013_028_000256	上諭夏原吉曰：「民饑流亡，豈其得已。昔富弼知青州，飲食居處醫藥，皆為區畫，山林河泊之利，聽民取之，全活五十餘萬人。今乃驅逐使之失所，不仁甚矣。」
HCH_013_028_000257	乃遣官往山西、河南賑濟，禁捕治。
HCH_013_028_000258	夏四月，吏部尚書蹇義請裁內外冗員，從之。
HCH_013_028_000259	寧王權奏乞賜南昌土田。
HCH_013_028_000260	上曰：「王者食租衣稅，今有歲祿足矣。一鄉之田，民所衣食，不當奪以自養。」
HCH_013_028_000261	五月，巡撫大理卿胡槩請增設杭、嘉、湖管糧布政司官一員。
HCH_013_028_000262	上曰：「糧稅自有常賦，朕方裁抑冗濫。古語：『省事不如省官。』」
HCH_013_028_000263	不許。
HCH_013_028_000264	六月，出左都御史劉觀，以通政使顧佐為左都御史。
HCH_013_028_000265	上罷朝，諭朝臣：「貪濁奈何？」
HCH_013_028_000266	楊士奇對曰：「貪風始永樂末，今更甚。」
HCH_013_028_000267	上問：「何如？」
HCH_013_028_000268	對曰：「太宗自十五六年，數疾不視朝，扈從之臣，請託賄賂，公行無忌。」
HCH_013_028_000269	楊榮曰：「當是時，惟方賓有貪名。」
HCH_013_028_000270	上即顧榮問：「今日貪者誰甚？」
HCH_013_028_000271	對曰：「莫甚劉觀。」
HCH_013_028_000272	士奇曰：「風憲所以肅百僚。憲長如此，則不肖御史皆效之。御史奉巡四方，則不肖有司皆效之。」
HCH_013_028_000273	上歎息曰：「除惡務本，顧觀去，誰代觀者？」
HCH_013_028_000274	士奇曰：「通政使顧佐廉公有威。」
HCH_013_028_000275	榮曰：「佐為京尹，能禁防下吏，政清弊革。」
HCH_013_028_000276	上喜曰：「顧佐乃能如是！」
HCH_013_028_000277	閱數月，乃命觀巡閱河道，而以佐代之。
HCH_013_028_000278	尋下觀獄。
