HCH_012_026_000000	洪武元年五月甲申，犯填星。
HCH_012_026_001019	十八年八月丁酉，入太微垣。
HCH_012_026_001020	二十一年十月壬子，入氐。
HCH_012_026_001021	二十二年十月癸卯，犯氐。
HCH_012_026_001022	二十五年八月庚午，犯上将。
HCH_012_026_001023	二十七年七月辛丑，犯鬼。
HCH_012_026_001024	十一月庚子，犯键闭。
HCH_012_026_001025	二十八年正月丁酉，犯垒壁。
HCH_012_026_001026	五月甲辰，犯天樽。
HCH_012_026_001027	三十年十二月甲辰，犯建。
HCH_012_026_001028	建文四年六月庚午，犯积薪。
HCH_012_026_001029	永乐二年四月丁酉，犯毕。
HCH_012_026_001030	癸卯，犯诸王。
HCH_012_026_001031	五月丁卯，犯轩辕大星。
HCH_012_026_001032	十月己丑，犯斗杓。
HCH_012_026_001033	三年六月己卯，犯轩辕大星。
HCH_012_026_001034	六年正月庚戌朔，犯垒壁。
HCH_012_026_001035	二月癸巳，又犯。
HCH_012_026_001036	十六年六月戊子，犯轩辕大星。
HCH_012_026_001037	宣德元年五月丁未，犯鬼。
HCH_012_026_001038	二年十一月丙戌，犯氐。
HCH_012_026_001039	五年闰十二月丁酉，犯建。
HCH_012_026_001040	戊戌，又犯。
HCH_012_026_001041	七年五月辛巳，犯积尸。
HCH_012_026_001042	正统十三年十月丙辰，犯亢。
HCH_012_026_001043	景泰四年五月己未，犯积薪。
HCH_012_026_001044	成化十二年三月壬戌，犯昴。
HCH_012_026_001045	弘治五年十一月庚辰，犯罚。
HCH_012_026_001046	十二年六月壬子，犯鬼。
HCH_012_026_001047	十月壬子，犯房北第一星。
HCH_012_026_001048	十七年七月丙辰，犯灵台。
HCH_012_026_001049	十八年五月庚子，犯鬼。
HCH_012_026_001050	十一月戊子，犯键闭。
HCH_012_026_001051	正德七年六月丙寅，犯鬼。
HCH_012_026_001052	嘉靖元年正月戊午，犯罗堰。
HCH_012_026_001053	二年八月壬寅，犯上将。
HCH_012_026_001054	天启七年三月辛未，退犯房。
HCH_012_026_001055	按两星经纬同度曰掩，光相接曰犯，亦曰凌。
HCH_012_026_001056	纬星出入黄道之内外，凡恒星之近黄道者，皆其必由之道，凌犯皆由于此。
HCH_012_026_001057	而行迟则凌犯少，行速则多，数可预定，非如彗孛飞流之无常。
HCH_012_026_001058	然则天象之示炯戒者，应在彼而不在此。
HCH_012_026_001059	历代史志凌犯多系以事应，非附会即偶中尔。
HCH_012_026_001060	兹取纬星之掩犯恒星者次列之。
HCH_012_026_001061	比事以观，其有验者，十无一二，后之人可以观矣。
HCH_012_026_001062	至于月道与纬星相似，而行甚速，其出入黄道也，二十七日而周，计其掩犯恒星殆无虚日，岂皆有休咎可占，今见于《实录》者不及百分之一，然已不可胜书，故不书。
