HCH_015_042_000241	有子廞，字偉卿，年十二，聞收至，謂家人曰：「伯旣如此，無心獨存。」
HCH_015_042_000242	赴井死。
HCH_015_042_000243	後帝於後堂騎馬致適，顧謂左右曰：「江祏若在，我當復能騎此不？」
HCH_015_042_000244	暄字士穆，出身南陽國常侍。
HCH_015_042_000245	遙光起事，以討暄爲名。
HCH_015_042_000246	事平，暄遷領軍將軍，封平都縣侯，千戶。
HCH_015_042_000247	其年，又見殺。
HCH_015_042_000248	和帝中興元年，贈祏衞將軍，暄散騎常侍、撫軍將軍，竝開府儀同三司，祀散騎常侍、太常卿。
HCH_015_042_000249	史臣曰：士死知己，蓋有生所共情，雖愚智之品有二，而逢迎之運唯一。
HCH_015_042_000250	夫懷可知之才，受知人之眄，無慚外物，此固天理，其猶藏在中心，銜恩念報。
HCH_015_042_000251	況乎義早蕃僚，道同遇合，踰越勝己，顧邁先流，弃子如遺，曾微舊德，使狗之喻，人致前譏，慚包疚心，我無其事。
HCH_015_042_000252	嗚呼！
HCH_015_042_000253	陸機所以賦豪士也。
HCH_015_042_000254	贊曰：王蕭提契，世祖基之。
HCH_015_042_000255	樂羊食子，里克無辭。
HCH_015_042_000256	江、劉后戚，明嗣是維。
HCH_015_042_000257	廢興異論，終用乖疑。
HCH_015_042_000258	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
