HCH_009_016_000256	乙酉，陝西西路行省請以厚賞募河西蕃部族寺僧，圖復大通城，命行省樞密院籌之。
HCH_009_016_000257	癸巳，上諭宰臣，宋人以重兵攻平輿、褒信，我師力戰卻之，又偵知其事狀之詳。
HCH_009_016_000258	若俟帥府上功推賞，豈急於勸獎之道？
HCH_009_016_000259	其遣清望官，齎空名宣敕，核實給之。
HCH_009_016_000260	乙未，詔諭河南、陝西。
HCH_009_016_000261	大元兵屯葭州。
HCH_009_016_000262	壬寅，權定行省、樞府、元帥府輒杖左右司、經歷司官罪法。
HCH_009_016_000263	甲辰，上念鄜延被兵，又延安受圍，嘗發民粟給軍。
HCH_009_016_000264	詔除延安、鄜、坊、丹、葭、綏德稅租，仍令有司償其粟直，不足者許補官。
HCH_009_016_000265	戊申，恆州軍變，萬戶呼延棫等千餘人殺掠城中，焚廬舍而去。
HCH_009_016_000266	己酉，遣元帥左監軍訛可行元帥府事，節制三路軍馬伐宋，同簽樞密院事時全行院事，副之。
HCH_009_016_000267	三月辛酉，宋人掠確山縣之劉村。
HCH_009_016_000268	丙寅，歲星犯太微左執法。
HCH_009_016_000269	戊辰，樞密院委差官賈天安上書言利害。
HCH_009_016_000270	壬申，尚書右丞徒單思忠以病馬輸官，冒取高價，御史劾之，有司以監主自盜論死，上顧惜大體，降授陳州防禦使。
HCH_009_016_000271	癸酉，提控李師林敗夏人於永木嶺。
HCH_009_016_000272	郭文振表，近得俘者言，南北合兵將攻河南、陝西。
HCH_009_016_000273	詔樞密備禦。
HCH_009_016_000274	夏四月辛巳，以金吾衛上將軍、勸農使訛可簽樞密院事。
HCH_009_016_000275	置大司農司，設大司農卿、少卿、丞，京東、西、南三路置行司，並兼採訪事。
HCH_009_016_000276	壬午，大元兵攻陵川縣。
HCH_009_016_000277	丁酉，林懷路行元帥府事惟良削官兩階，罷之。
HCH_009_016_000278	更定辟舉縣令之法，而復行之。
HCH_009_016_000279	戊戌，籍丁憂待闕、追殿等官，備防秋。
HCH_009_016_000280	丁未，行樞密院報淮南之捷。
HCH_009_016_000281	五月戊申朔，大元兵屯隰、吉、翼等州。
HCH_009_016_000282	壬戌，訛可、時全軍大敗。
HCH_009_016_000283	甲子，訛可以敗績當死，上面數而責之，勉其後效命，朘官兩階。
HCH_009_016_000284	丁卯，召致政胥鼎等赴省議利害。
HCH_009_016_000285	壬申，時全伏誅。
HCH_009_016_000286	六月戊寅朔，造舟運陝西糧，由大慶關渡抵湖城。
HCH_009_016_000287	癸未，大赦。
HCH_009_016_000288	陳州防禦使呂子羽坐乏軍興，自盡。
HCH_009_016_000289	制諸監官及八品以下職事，丁憂、待闕、任滿、遙授者，試補侍衛親軍。
HCH_009_016_000290	命各路司農司設捕盜方略。
HCH_009_016_000291	丁酉，紅襖賊掠柳子鎮，驅百姓及驛馬而去，提控張瑀追擊，奪所掠還。
HCH_009_016_000292	偽監軍王二據黎陽縣，提控王泉討之，復其城。
HCH_009_016_000293	秋七月庚戌，大元將按察鄔以其眾屯晉安、冀州之境。
HCH_009_016_000294	丙辰，上党公完顏開復澤州。
HCH_009_016_000295	己未，歸德行樞密院王庭玉報曹州破紅襖賊之捷。
HCH_009_016_000296	庚申，定監當官選法。
HCH_009_016_000297	河北群盜犯封丘、開封界，令樞密院禦捕。
HCH_009_016_000298	甲子，京東總帥紇石烈牙吾塔請自今行院帥府幕職，有過得自決之。
HCH_009_016_000299	不允。
HCH_009_016_000300	戊辰，紅襖賊襲徐州之十八里砦，又襲古城、桃園，官軍破之。
HCH_009_016_000301	乙亥，太白晝見經天，與日爭光。
HCH_009_016_000302	八月丁丑，定西征將士官賞有差。
HCH_009_016_000303	己卯，彗星見西方。
HCH_009_016_000304	甲申，增定藏匿逃亡親軍罪及告捕賞格。
HCH_009_016_000305	積石州蕃族叛附于夏，鞏州提控尼旁古三郎討之，獲羊千口，進尚膳，詔卻之。
HCH_009_016_000306	以彗星見，改元，大赦。
HCH_009_016_000307	諭旨宰臣曰：「赦書已頒，時刻之間，人命所系。其令將命者速往，計期而至。」
HCH_009_016_000308	以大司農把胡魯為參知政事。
HCH_009_016_000309	癸巳，河間公移剌眾家奴、高陽公張甫兵復河間府，是日，報捷者始達。
HCH_009_016_000310	上以道途梗塞，報者艱虞，命厚賞之。
HCH_009_016_000311	夏人入德順。
HCH_009_016_000312	壬寅，祈雨。
HCH_009_016_000313	九月丙午朔，以左右警巡使兼彈壓。
HCH_009_016_000314	諭陝西行省備邊。
HCH_009_016_000315	壬子，牙吾塔請以兵由壽州渡淮，搗宋人巢穴，不從。
HCH_009_016_000316	乙卯，議經略淮南。
HCH_009_016_000317	己巳，宋人掠遂平縣之石砦店，復侵南陽，唐州提控夾穀九住敗之。
HCH_009_016_000318	冬十月丁丑，夏人掠德順之神林堡。
HCH_009_016_000319	壬午，宋張惠攻零子鎮，為斡魯朵所敗，虜其裨將二人。
HCH_009_016_000320	河中府萬戶孫仲威執其安撫使阿不罕胡魯剌據城叛，陝西行省遣將討平之。
HCH_009_016_000321	癸未，復曹州。
HCH_009_016_000322	甲申，上獵於近郊，詔免百官送迎，且勿令治道，以勞百姓。
HCH_009_016_000323	庚寅，徙彰德招撫使杜先軍于衛州。
HCH_009_016_000324	乙未，大元兵下榮州之胡壁堡及臨晉。
HCH_009_016_000325	庚子，詔所司巡護避兵民資產。
HCH_009_016_000326	甲辰，以京兆官民避兵南山者多至百萬，詔兼同知府事完顏霆等安撫其眾。
HCH_009_016_000327	十一月丁未，大元兵徇同州，定國軍節度使李復亨、同知定國軍節度使訛可皆自盡。
HCH_009_016_000328	甲寅，京東總帥牙吾塔報臨淮破宋兵之捷。
HCH_009_016_000329	戊辰，大元蒙古蒲花攻鳳翔府。
